,ticker,date,time,headline,neg,neu,pos,compound
0,AAPL,2020-09-25,09:38AM,Apple Shares Slip As EU Commission Appeals $15 Billion Tax Ruling,0.0,0.82,0.18,0.296
1,AAPL,2020-09-25,09:30AM,"Dow Jones Stocks To Buy And Watch In September 2020: Amgen, Apple, Home Depot, Microsoft",0.0,1.0,0.0,0.0
2,AAPL,2020-09-25,09:30AM,Is Qualcomm Stock a Buy?,0.0,1.0,0.0,0.0
3,AAPL,2020-09-25,08:50AM,Apple Stock Really Cant Go Much Higher. Buy These Tech Stocks Instead.,0.0,1.0,0.0,0.0
4,AAPL,2020-09-25,08:16AM,Dow Jones Futures Fall: Look For This Bullish Stock Market Signal; Tech Titans Hold Key Support,0.0,0.847,0.153,0.4019
5,AAPL,2020-09-25,06:00AM,The #MeToo movement blew up the way Hollywood operates: Jessica Alba,0.0,1.0,0.0,0.0
6,AAPL,2020-09-25,05:53AM,Apple says has always abided by Irish law as EU appeals court ruling,0.0,1.0,0.0,0.0
7,AAPL,2020-09-25,05:52AM,EU's Vestager appeals court veto of $15 billion Apple tax order,0.0,1.0,0.0,0.0
8,AAPL,2020-09-25,05:35AM,EU's Vestager appeals court ruling against $15 bln Apple tax order,0.0,1.0,0.0,0.0
9,AAPL,2020-09-25,04:47AM,Apple Dives Deeper In Podcast Game With Scout FM Acquisition,0.0,1.0,0.0,0.0
10,AAPL,2020-09-24,09:40PM,Apple critics form coalition to challenge App Store fees,0.21,0.667,0.124,-0.2263
11,AAPL,2020-09-24,09:10PM,"Apple: Favorable Mix Expected Ahead of iPhone 12 Launch, Says 5-Star Analyst",0.0,0.78,0.22,0.4767
12,AAPL,2020-09-24,07:40PM,"Amazon Chases Google, Microsoft in the Game-Streaming Market",0.0,0.805,0.195,0.1779
13,AAPL,2020-09-24,07:39PM,Election Chaos Might Be Looming. How to Invest Now.,0.426,0.574,0.0,-0.6369
14,AAPL,2020-09-24,06:48PM,Apple Buys Startup That Creates Radio-Like Stations for Podcasts,0.0,0.792,0.208,0.2732
15,AAPL,2020-09-24,06:39PM,Launch Center Pro lets you build custom icons to customize your iOS 14 home screen,0.0,1.0,0.0,0.0
16,AAPL,2020-09-24,05:33PM,Fitbit Sense review,0.0,1.0,0.0,0.0
17,AAPL,2020-09-24,04:36PM,PayPal and Square Could Gain as EU Mulls iPhone Payments Rules,0.0,0.746,0.254,0.5267
18,AAPL,2020-09-24,04:25PM,"Apple Inc. stock rises Thursday, outperforms market",0.0,1.0,0.0,0.0
19,AAPL,2020-09-24,04:22PM,Dow Jones Finishes Higher After Weak Jobless Claims Report As Tesla Shows This Bullish Chart Action,0.162,0.838,0.0,-0.4404
20,AAPL,2020-09-24,04:21PM,Tesla Stocks Stall Could Explain the Markets Downturn,0.205,0.795,0.0,-0.2023
