,ticker,date,time,headline,neg,neu,pos,compound
0,AMZN,2020-09-25,10:00AM,Should You Avoid GameStop No Matter How Good the Price?,0.306,0.417,0.278,-0.1027
1,AMZN,2020-09-25,09:45AM,"Is Amazon Stock A Buy Right Now? Here's What Earnings, Charts Show",0.0,0.855,0.145,0.1779
2,AMZN,2020-09-25,09:31AM,Look What Amazon is Unveiling Next,0.0,0.746,0.254,0.1779
3,AMZN,2020-09-25,09:19AM,Microsoft Declares War on Twilio With a New Cloud Service,0.328,0.672,0.0,-0.5994
4,AMZN,2020-09-25,08:54AM,FedEx Stock Is on Fire. Wall Street Says Its Still a Buy.,0.194,0.806,0.0,-0.34
5,AMZN,2020-09-25,08:05AM,Palantir Is Going Public. What You Need to Know.,0.0,1.0,0.0,0.0
6,AMZN,2020-09-25,07:55AM,Amazon Unveiled New Hardware at Its Virtual Product Event. Heres Whats New.,0.0,0.866,0.134,0.1779
7,AMZN,2020-09-25,07:30AM,"[video]4 Thoughts on Amazon's Echo, Fire TV and Cloud Gaming Launches",0.194,0.806,0.0,-0.34
8,AMZN,2020-09-25,07:15AM,"Got $3,000? Here Are 3 Surefire High-Growth Stocks That Are Just Getting Started",0.0,0.846,0.154,0.25
9,AMZN,2020-09-25,06:00AM,The #MeToo movement blew up the way Hollywood operates: Jessica Alba,0.0,1.0,0.0,0.0
10,AMZN,2020-09-25,05:35AM,Amazon's $250 Ring Camera Will Fly Around The House  And Record Everything,0.0,1.0,0.0,0.0
11,AMZN,2020-09-24,10:56PM,"Amazon Launches Luna, a Cloud-Based Video Game Service",0.0,0.779,0.221,0.1779
12,AMZN,2020-09-24,09:35PM,Amazon Joins Fellow Tech Giants In The 'Game Wars' With 'Luna' Launch,0.235,0.654,0.111,-0.4404
13,AMZN,2020-09-24,08:58PM,Amazon's Fire TV Gets a Makeover to Better Compete With Roku,0.18,0.602,0.218,0.128
14,AMZN,2020-09-24,07:40PM,"Amazon Chases Google, Microsoft in the Game-Streaming Market",0.0,0.805,0.195,0.1779
15,AMZN,2020-09-24,06:48PM,Apple Buys Startup That Creates Radio-Like Stations for Podcasts,0.0,0.792,0.208,0.2732
16,AMZN,2020-09-24,06:16PM,"Deliveroo, Backed by Amazon, Could Launch a 2021 IPO",0.0,0.682,0.318,0.2023
17,AMZN,2020-09-24,05:35PM,'The biggest risk is uncertainty': AllianceBernstein's Valerie Grant on headwinds facing the market ahead of the election,0.107,0.765,0.128,0.1027
18,AMZN,2020-09-24,05:30PM,"Dow Jones Futures: Amid Whipsaw Stock Market Action, Tesla, Nvidia, These Tech Titans Hold Key Support",0.0,0.847,0.153,0.4019
19,AMZN,2020-09-24,05:21PM,Microsoft's Xbox boss: Video games undergoing the 'same transformation' as TV and music did,0.0,1.0,0.0,0.0
20,AMZN,2020-09-24,05:17PM,"Amazon Unveils New Echo Lineup, Game Streaming Service, More",0.0,0.825,0.175,0.1779
21,AMZN,2020-09-24,05:14PM,Amazons New Echo Show 10 Features Body-tracking,0.155,0.845,0.0,-0.0258
22,AMZN,2020-09-24,04:38PM,"Amazon to roll out all-new Echo speakers, gaming streaming service Luna, flying Ring camera",0.0,0.884,0.116,0.1779
23,AMZN,2020-09-24,04:36PM,"Amazon Enters Gaming Field; Announces Devices For Home Security, TV",0.0,0.661,0.339,0.4767
24,AMZN,2020-09-24,04:25PM,"Netflix Inc. stock rises Thursday, outperforms market",0.0,1.0,0.0,0.0
25,AMZN,2020-09-24,04:25PM,Amazon.com Inc. stock outperforms market on strong trading day,0.0,0.708,0.292,0.5106
26,AMZN,2020-09-24,04:25PM,3M Co. stock outperforms market on strong trading day,0.0,0.708,0.292,0.5106
27,AMZN,2020-09-24,04:22PM,"Microsoft Bolsters Cloud Offerings With Azure, Teams Enhancements",0.0,1.0,0.0,0.0
28,AMZN,2020-09-24,03:53PM,Amazon unveils indoor security drone,0.0,0.423,0.577,0.4767
29,AMZN,2020-09-24,03:10PM,The rotation to more value and cyclical sectors has already begun: Wealth Consulting Group CEO,0.0,0.688,0.312,0.7089
30,AMZN,2020-09-24,02:44PM,Why IPOs Are Risky,0.375,0.625,0.0,-0.2023
31,AMZN,2020-09-24,02:36PM,Here's everything Amazon announced at its latest hardware event,0.0,0.825,0.175,0.1779
32,AMZN,2020-09-24,02:15PM,"Amazon redesigns Fire TV, introduces new Fire TV Stick and low-cost Fire TV Stick Lite",0.362,0.553,0.085,-0.6705
33,AMZN,2020-09-24,02:13PM,"Amazon Unveils Echo Show 10 With Netflix Streaming, Announces Luna Cloud Gaming Service and More",0.0,0.892,0.108,0.1779
34,AMZN,2020-09-24,02:09PM,Amazon launches Luna cloud gaming service competing with Microsoft and Google,0.0,0.855,0.145,0.1779
35,AMZN,2020-09-24,01:57PM,GRAPHIC-'Healthy correction' or something more? Stock swings keep investors on edge,0.0,1.0,0.0,0.0
36,AMZN,2020-09-24,01:16PM,Amazon unveils indoor drone and car alarm in security product rollout,0.166,0.552,0.283,0.1779
37,AMZN,2020-09-24,01:12PM,Amazon adds to its lineup of voice-controlled gadgets,0.0,0.805,0.195,0.1779
