,ticker,date,time,headline,neg,neu,pos,compound
0,CFG,2020-09-25,01:48PM,Citizens Financial Group Announces Pricing Terms of its Private Exchange Offers for Five Series of Subordinated Notes and Related Tender Offers Open to Certain Investors,0.0,0.92,0.08,0.2732
1,CFG,2020-09-21,05:13PM,Citizens Financial Group Announces Third Quarter 2020 Earnings Conference Call Details,0.0,1.0,0.0,0.0
2,CFG,2020-09-21,12:00PM,Citizens Financial Group (CFG) Upgraded to Buy: Here's Why,0.0,1.0,0.0,0.0
3,CFG,2020-09-21,11:50AM,Are Investors Undervaluing Citizens Financial Group (CFG) Right Now?,0.0,1.0,0.0,0.0
4,CFG,2020-09-21,09:55AM,Citizens Financial Group Announces Private Exchange Offers for Five Series of Subordinated Notes and Related Tender Offers Open to Certain Investors,0.0,0.905,0.095,0.2732
5,CFG,2020-09-21,09:02AM,6 Reasons That Make Citizens Financial an Attractive Pick,0.0,0.707,0.293,0.4404
6,CFG,2020-09-16,07:53AM,"Have Insiders Been Buying Citizens Financial Group, Inc. (NYSE:CFG) Shares?",0.0,0.804,0.196,0.296
7,CFG,2020-09-15,08:00AM,Citizens Financial CEO: The Dividend Is Safe but Buybacks Are Likely on Hiatus for 2020,0.0,0.878,0.122,0.2382
8,CFG,2020-09-10,08:00AM,"Citizens Survey Shows That Health, Affordability Concerns Weighing on Students and Families Heading Into Fall",0.0,1.0,0.0,0.0
9,CFG,2020-09-09,08:00PM,Seeking Direction After Hot Summer,0.0,1.0,0.0,0.0
10,CFG,2020-09-09,12:57PM,Microsoft Finally Releases Price and Release Date for its New Xbox,0.0,1.0,0.0,0.0
11,CFG,2020-09-09,07:00AM,Data Security is Top Concern for Businesses During Pandemic,0.0,0.625,0.375,0.4939
12,CFG,2020-09-08,04:02PM,"Citizens Financial Group, Inc. Declares Dividends on Preferred Stock",0.0,1.0,0.0,0.0
13,CFG,2020-09-08,11:10AM,Citizens Financial Group Inc (CFG): Hedge Fund Interest Inching Up,0.0,0.75,0.25,0.4588
14,CFG,2020-08-19,03:00PM,"Citizens Financial Group, Inc. Director Earns Recognition on Annual List of Most Influential Boardroom Leaders",0.0,0.814,0.186,0.4927
15,CFG,2020-08-18,08:00AM,Real-Time Payments Gaining Traction Among Businesses,0.0,0.641,0.359,0.4215
16,CFG,2020-08-16,11:30AM,Why Is Citizens Financial Group (CFG) Up 1.8% Since Last Earnings Report?,0.0,1.0,0.0,0.0
17,CFG,2020-08-13,08:00AM,Wall Streets Buyout Titans Have Been Sitting Out The Credit Boom,0.0,0.794,0.206,0.3818
18,CFG,2020-08-12,04:00PM,Citizens Financial Group to Present at the Barclays Global Financial Services Conference,0.0,1.0,0.0,0.0
19,CFG,2020-08-12,09:07AM,7 U.S. Banks That Will Need to Hold More Regulatory Capital,0.0,1.0,0.0,0.0
20,CFG,2020-08-12,08:59AM,Regional Bank Stocks Gain as Coronavirus Cases Fall,0.0,0.673,0.327,0.5267
21,CFG,2020-08-12,07:00AM,Citizens Financial Group: Value or Value Trap?,0.207,0.36,0.432,0.3612
22,CFG,2020-08-10,06:28PM,"Citizens Financial Group, Inc. Announces Final Stress Capital Buffer Requirement",0.237,0.763,0.0,-0.4215
23,CFG,2020-08-10,01:35PM,Big Banks Are Told How Much a Capital Buffer They Must Have. What It Means for Investors.,0.0,1.0,0.0,0.0
24,CFG,2020-08-10,09:41AM,"Fed dismisses stress-test appeals from five banks, including Goldman Sachs",0.0,1.0,0.0,0.0
25,CFG,2020-08-03,10:59AM,Citizens Bank Announces Grant Program for Minority-Owned Small Businesses,0.0,0.762,0.238,0.3612
26,CFG,2020-07-29,08:00AM,Citizens Survey Finds That COVID-19 May Permanently Change How Consumers and Businesses Bank,0.0,1.0,0.0,0.0
