,ticker,date,time,headline,neg,neu,pos,compound
0,COP,2020-09-25,09:38AM,"Benzinga's Top Upgrades, Downgrades For September 25, 2020",0.0,0.795,0.205,0.2023
1,COP,2020-09-25,02:05AM,ConocoPhillips Forecasts a Recovery in Global Oil Demand; Stock Price Target $51,0.13,0.87,0.0,-0.128
2,COP,2020-09-22,10:27AM,Why Investors are Holding ConocoPhillips (COP) Stock Now,0.0,1.0,0.0,0.0
3,COP,2020-09-21,07:58AM,What to Expect in the Markets This Week,0.0,1.0,0.0,0.0
4,COP,2020-09-19,10:12AM,How Much Does ConocoPhillips' (NYSE:COP) CEO Make?,0.0,1.0,0.0,0.0
5,COP,2020-09-17,12:00PM,"ConocoPhillips to Hold Third-Quarter Earnings Conference Call on Thursday, Oct. 29",0.0,1.0,0.0,0.0
6,COP,2020-09-16,09:52AM,U.S. CEO group says it supports carbon pricing to fight climate change,0.172,0.662,0.166,-0.0258
7,COP,2020-09-14,06:06PM,WFRBS Commercial Mortgage Trust 2014-C24 -- Moody's affirms ten and downgrades two classes of WFRBS 2014-C24,0.0,0.82,0.18,0.5106
8,COP,2020-09-14,11:42AM,ConocoPhillips Expands North Sea Deal With Aker Solutions,0.0,0.659,0.341,0.2732
9,COP,2020-09-11,05:38PM,Louisiana Land & Exploration Company -- Moody's announces completion of a periodic review of ratings of ConocoPhillips,0.0,0.881,0.119,0.2263
10,COP,2020-09-11,09:29AM,Aker Solutions Bags North Sea Conoco Deal,0.0,0.779,0.221,0.1779
11,COP,2020-09-10,10:11AM,ConocoPhillips Adds Goldman Sachs Alum to Board,0.0,1.0,0.0,0.0
12,COP,2020-09-08,03:59PM,Why ConocoPhillips Stock Fell During Today's Brutal Oil Crash,0.493,0.507,0.0,-0.7783
13,COP,2020-09-08,09:27AM,Hedge Funds Arent Done Selling ConocoPhillips (COP),0.0,1.0,0.0,0.0
14,COP,2020-09-08,09:00AM,ConocoPhillips Appoints Eric Mullins to its Board of Directors,0.0,1.0,0.0,0.0
15,COP,2020-09-07,11:10AM,ConocoPhillips Draws Application for Flaring Permit Extension,0.0,1.0,0.0,0.0
16,COP,2020-09-04,03:37PM,REFILE-ConocoPhillips pulls request for extension of flaring permits at 41 Texas sites,0.0,1.0,0.0,0.0
17,COP,2020-09-04,12:27PM,5 Energy Stocks to Consider as Oil Prices Struggle to Recover,0.185,0.645,0.169,-0.0516
18,COP,2020-09-02,07:12PM,Analyst Report: ConocoPhillips,0.0,1.0,0.0,0.0
19,COP,2020-09-02,09:56AM,4 US Integrated Oil Stocks to Escape Industry Woes Amid Coronavirus,0.23,0.635,0.135,-0.296
20,COP,2020-08-29,11:31AM,Why Is ConocoPhillips (COP) Up 2% Since Last Earnings Report?,0.0,1.0,0.0,0.0
21,COP,2020-08-26,03:25PM,Top Energy Stocks for September 2020,0.0,0.506,0.494,0.4404
22,COP,2020-08-24,10:02AM,ConocoPhillips Completes $390 Million Montney Acquisition,0.0,1.0,0.0,0.0
23,COP,2020-08-24,09:00AM,Will ConocoPhillips' (NYSE:COP) Growth In ROCE Persist?,0.0,0.698,0.302,0.3818
24,COP,2020-08-21,02:30PM,ConocoPhillips Completes Previously Announced Montney Acquisition,0.0,1.0,0.0,0.0
25,COP,2020-08-18,03:18PM,"The State of the Oil Industry, Part 3",0.0,1.0,0.0,0.0
26,COP,2020-08-17,02:09PM,Trump Plans Arctic Drilling Rights Sale in Likely 2020 Clash,0.0,1.0,0.0,0.0
27,COP,2020-08-17,10:10AM,Trump Administration to Approve Oil Drilling in Alaskan Refuge,0.0,1.0,0.0,0.0
28,COP,2020-08-16,03:12AM,ConocoPhillips Snags Approval For Major Alaska Oil Project,0.0,0.693,0.307,0.4767
29,COP,2020-08-15,07:00PM,U.S. Oil Drillers Look To Restart Shut-In Production This Year,0.0,1.0,0.0,0.0
30,COP,2020-08-13,01:18PM,5 Oil and Gas Stocks on the Receiving End of Big Short Bets,0.0,1.0,0.0,0.0
31,COP,2020-08-12,07:30AM,U.S. Futures Rise With Bond Yields; Gold Rebounds: Markets Wrap,0.0,1.0,0.0,0.0
32,COP,2020-08-10,08:15AM,Canadian Natural buys Painted Pony for $344 mln to boost Western Canada acreage,0.0,0.679,0.321,0.6369
33,COP,2020-08-05,11:45AM,Why ConocoPhillips Stock Slumped 11% in July,0.0,1.0,0.0,0.0
34,COP,2020-07-31,12:34PM,"Oil Ends July Slightly up, With Foreboding Shadow of OPEC Supply",0.0,1.0,0.0,0.0
35,COP,2020-07-31,10:37AM,Is Weakness In ConocoPhillips (NYSE:COP) Stock A Sign That The Market Could be Wrong Given Its Strong Financial Prospects?,0.232,0.551,0.217,-0.1027
36,COP,2020-07-31,01:01AM,ConocoPhillips (COP) Q2 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
37,COP,2020-07-30,05:56PM,US Indexes Close Mostly Lower Thursday After GDP Report,0.216,0.784,0.0,-0.296
38,COP,2020-07-30,03:41PM,Oil Slides Most in a Month on Grim Economic Signals,0.316,0.684,0.0,-0.5719
39,COP,2020-07-30,03:15PM,ConocoPhillips (COP) Q2 Earnings Miss on Low Crude Prices,0.552,0.448,0.0,-0.7506
40,COP,2020-07-30,02:40PM,ConocoPhillips Earnings Lag Expectations on Weak Oil Market,0.469,0.531,0.0,-0.6486
41,COP,2020-07-30,12:28PM,Total and Apache Stocks: 2 Winners From Otherwise Dismal Oil Earnings,0.265,0.53,0.205,-0.2263
42,COP,2020-07-30,12:11PM,ConocoPhillips' Earnings Tumble Along With Oil Prices,0.0,1.0,0.0,0.0
43,COP,2020-07-30,09:31AM,How Does ConocoPhillips's Debt Look Like?,0.278,0.444,0.278,0.0
44,COP,2020-07-30,09:05AM,"ConocoPhillips (COP) Reports Q2 Loss, Misses Revenue Estimates",0.412,0.588,0.0,-0.4939
45,COP,2020-07-30,07:39AM,"ConcoPhillips posts wider-than-expected adjusted loss as weak oil price, slack demand during pandemic weigh",0.379,0.621,0.0,-0.6908
46,COP,2020-07-30,07:23AM,ConocoPhillips to reverse most output cuts by end of third quarter,0.199,0.801,0.0,-0.3566
47,COP,2020-07-30,07:00AM,ConocoPhillips Reports Second-Quarter 2020 Results,0.0,1.0,0.0,0.0
48,COP,2020-07-30,04:04AM,"Stocks - Qualcomm, PayPal Rise Premarket; ConocoPhillips Falls",0.0,1.0,0.0,0.0
49,COP,2020-07-29,09:17AM,3 Top Oil Stocks to Buy in August,0.0,0.769,0.231,0.2023
50,COP,2020-07-29,08:32AM,Is a Surprise Coming for ConocoPhilips (COP) This Earnings Season?,0.0,0.792,0.208,0.2732
51,COP,2020-07-28,05:00AM,Socially Conscious Investing Thrives Amid Pandemic,0.0,1.0,0.0,0.0
52,COP,2020-07-27,11:57AM,Is a Beat in Store for ConocoPhillips' (COP) Q2 Earnings?,0.0,1.0,0.0,0.0
53,COP,2020-07-25,10:41AM,"SunTrust Likes Chevron, ConocoPhillips, Neutral On Exxon",0.0,0.682,0.318,0.4215
54,COP,2020-07-23,12:33PM,Earnings Preview: ConocoPhillips (COP) Q2 Earnings Expected to Decline,0.0,1.0,0.0,0.0
55,COP,2020-07-23,09:54AM,ConocoPhillips Boosts Montney Footprint With $375M Acquisition,0.0,0.723,0.277,0.3182
56,COP,2020-07-22,05:37PM,U.S. oil major ConocoPhillips buys Canadian land from Kelt in $375 million deal,0.0,1.0,0.0,0.0
57,COP,2020-07-22,04:30PM,ConocoPhillips Announces Agreement to Acquire Liquids-Rich Montney Acreage from Kelt Exploration Ltd.,0.0,0.662,0.338,0.6249
