,date_time,ticker,headline,neg,neu,pos,compound
0,2020-09-27 10:08:00,CVX,What to Expect in the Markets This Week,0.0,1.0,0.0,0.0
1,2020-09-26 15:12:00,CVX,"Bulls And Bears Of The Week: Chevron, Oracle, Twitter And More",0.0,1.0,0.0,0.0
2,2020-09-25 11:53:00,CVX,Trump Asks U.S. Court to Allow WeChat Ban to Proceed,0.267,0.593,0.141,-0.4019
3,2020-09-24 16:15:00,CVX,'Halftime Report' Traders Share Their Thoughts On Chevron,0.0,0.7609999999999999,0.239,0.29600000000000004
4,2020-09-24 14:38:00,CVX,Why Buy a Yield Trap With AT&T?,0.315,0.685,0.0,-0.3182
5,2020-09-24 13:08:00,CVX,Chevron Staff Gets Cut-Off Date to Remove Wechat From Phones,0.0,1.0,0.0,0.0
6,2020-09-24 11:09:00,CVX,"Chevron Has 'Significant Strategic Advantage,' MKM Says In Bullish Initiation",0.0,0.833,0.16699999999999998,0.2023
7,2020-09-24 10:46:00,CVX,"Dow's nearly 50-point fall led by losses in shares of Boeing, Nike",0.181,0.6709999999999999,0.14800000000000002,-0.128
8,2020-09-24 10:30:00,CVX,"CalBio, Dairy Farmers and Chevron Announce First RNG",0.0,1.0,0.0,0.0
9,2020-09-24 09:51:00,CVX,Analyzing Chevron's Unusual Options Activity,0.0,1.0,0.0,0.0
10,2020-09-24 07:29:00,CVX,Chevron Asks Staff To Remove WeChat From Phones  Report,0.0,1.0,0.0,0.0
11,2020-09-24 06:00:00,CVX,Trumps Supreme Court Nominee Could Be Good for the Economy,0.0,0.552,0.448,0.7579
12,2020-09-24 05:00:00,CVX,Electric vehicle charging network ChargePoint to go public at $2.4 bln valuation,0.0,1.0,0.0,0.0
13,2020-09-23 20:00:00,CVX,Two Ways To Win Big On The Oil Price Rebound,0.0,0.703,0.297,0.5859
14,2020-09-23 15:33:00,CVX,"Salesforce.com Inc., Chevron share losses contribute to Dow's 487-point fall",0.209,0.62,0.171,-0.128
15,2020-09-23 14:33:00,CVX,"Salesforce.com Inc., Chevron share losses lead Dow's 350-point fall",0.227,0.588,0.185,-0.128
16,2020-09-23 13:32:00,CVX,"Dow drops 125 points on losses in Salesforce.com Inc., Chevron stocks",0.213,0.787,0.0,-0.4019
17,2020-09-23 12:35:00,CVX,Chevron Tells Employees to Delete WeChat From Their Phones or Lose Access,0.197,0.8029999999999999,0.0,-0.4019
18,2020-09-23 11:45:00,CVX,"American Express, Chevron share losses contribute to Dow's 50-point fall",0.209,0.62,0.171,-0.128
19,2020-09-23 04:22:00,CVX,Chevron asks employees to delete WeChat after U.S. ban - Bloomberg News,0.265,0.735,0.0,-0.5574
20,2020-09-23 03:43:00,CVX,Chevron asks employees to delete WeChat after U.S. ban: Bloomberg News,0.265,0.735,0.0,-0.5574
22,2020-09-23 01:59:00,CVX,Chevron Asks Global Employees to Delete WeChat After Trump Ban,0.28600000000000003,0.7140000000000001,0.0,-0.5574
23,2020-09-22 17:45:00,CVX,Chevron (CVX) Stock Sinks As Market Gains: What You Should Know,0.0,0.8059999999999999,0.194,0.34
24,2020-09-22 14:34:00,CVX,"The Zacks Analyst Blog Highlights: AAPL, AMZN, CVX, AZN and QCOM",0.0,1.0,0.0,0.0
25,2020-09-22 11:45:00,CVX,Chevron's (CVX) Australian Plants to Lay Off 20-30% Workforce,0.0,1.0,0.0,0.0
26,2020-09-22 09:46:00,CVX,"Boeing, Travelers share gains lead Dow's 70-point climb",0.0,0.5660000000000001,0.434,0.5574
27,2020-09-22 07:48:00,CVX,"Oil & Gas Stock Roundup: Chevron's Ecuador Win, Eni's Egypt Gas Find & More",0.0,0.743,0.257,0.5859
28,2020-09-21 18:06:00,CVX,Dont Give Up on Recycling Plastic,0.0,1.0,0.0,0.0
29,2020-09-21 13:23:00,CVX,"Top Research Reports for Apple, Amazon & Chevron",0.0,0.588,0.412,0.3612
30,2020-09-21 12:18:00,CVX,"Dow Jones Dives 800 Points To Break Key Support As Banks, Coronavirus Weigh",0.0,0.816,0.184,0.4019
31,2020-09-21 07:12:00,CVX,The Hague Court Ruling Favours Chevron in Ecuador Dispute,0.21600000000000005,0.56,0.224,0.0258
32,2020-09-19 01:49:00,CVX,Oil workers flee as third storm in month aims for U.S. offshore fields,0.0,1.0,0.0,0.0
33,2020-09-18 15:00:00,CVX,Oil Bulls Return As OPEC+ Reassures Markets,0.0,0.706,0.294,0.3612
34,2020-09-18 09:58:00,CVX,EQT Corp. in Talks With Chevron for Assets in Appalachia,0.0,0.841,0.159,0.1779
35,2020-09-18 09:46:00,CVX,"Walgreens Boots, Chevron share losses lead Dow's nearly 100-point fall",0.209,0.62,0.171,-0.128
36,2020-09-18 08:45:00,CVX,Proxy advisor Glass Lewis backs Noble Energy sale to Chevron - memo,0.084,0.5589999999999999,0.35700000000000004,0.5994
37,2020-09-17 12:30:00,CVX,Oil Titans Mulling Arctic Drilling Targeted by Activist Groups,0.0,1.0,0.0,0.0
38,2020-09-17 10:43:00,CVX,"Where to Invest $5,000 Right Now",0.0,1.0,0.0,0.0
39,2020-09-17 09:45:00,CVX,"Boeing, Chevron share losses contribute to Dow's 334-point drop",0.369,0.462,0.16899999999999998,-0.3818
40,2020-09-17 07:31:00,CVX,2 Energy Stocks That Have a Killer Advantage,0.377,0.263,0.36,-0.29600000000000004
41,2020-09-16 21:55:00,CVX,Exclusive: EQT bids for Chevron U.S. shale-gas assets in Appalachia - sources,0.0,0.738,0.262,0.29600000000000004
42,2020-09-16 20:00:00,CVX,The World's Last Great Oilfield: An Interview With Nick Steinsberger,0.0,0.687,0.313,0.6249
44,2020-09-16 18:50:00,CVX,The Hague Court Rules for Chevron in Ecuador Dispute,0.252,0.748,0.0,-0.4019
45,2020-09-16 17:15:00,CVX,"Stock Market Today: Fed Frazzles Stocks, But Buffett Scores Big",0.0,1.0,0.0,0.0
46,2020-09-16 15:23:00,CVX,Dow Jones Rises On Dovish Fed Announcement; These Stocks Among Day's Leaders,0.0,1.0,0.0,0.0
47,2020-09-16 15:09:00,CVX,"Dow jumps 179 points on gains in Walgreens Boots, Chevron shares",0.0,0.662,0.338,0.5574
48,2020-09-16 14:30:00,CVX,"Chevron begins restoring production on Blind Faith, Petronius platforms -company",0.184,0.476,0.34,0.3182
49,2020-09-16 14:02:00,CVX,"Dow's 270-point climb highlighted by gains for shares of Chevron, Walgreens Boots",0.0,0.685,0.315,0.5574
50,2020-09-16 13:57:00,CVX,Energy stocks see broad rally as oil prices jump,0.0,0.792,0.208,0.2732
51,2020-09-16 09:52:00,CVX,U.S. CEO group says it supports carbon pricing to fight climate change,0.172,0.662,0.166,-0.0258
52,2020-09-15 09:18:00,CVX,12 Beaten-Up Stocks That Can Still Rocket Higherbut Arent for the Faint of Heart,0.0,1.0,0.0,0.0
53,2020-09-15 01:05:00,CVX,Sally brings 100-mph winds as it rumbles into U.S. Gulf Coast,0.0,1.0,0.0,0.0
54,2020-09-15 00:01:00,CVX,Big Oil Goes Looking for a Career Change,0.0,1.0,0.0,0.0
56,2020-09-14 14:44:00,CVX,Oil Demand May Have Already Peaked. Heres Which Stocks Will Winand Lose.,0.29600000000000004,0.7040000000000001,0.0,-0.4939
57,2020-09-14 10:00:00,CVX,"Chevron Donates $250,000 for California Fire Relief",0.229,0.476,0.295,0.1779
58,2020-09-14 07:00:00,CVX,Teslas Hot Summer Looks Like the Fracking Boom,0.0,0.737,0.263,0.3612
59,2020-09-13 21:01:00,CVX,"Chevron shuts Blind Faith, Petronius platforms due to tropical storm -sources",0.18600000000000005,0.621,0.193,0.0258
60,2020-09-13 12:09:00,CVX,Oil companies idle production as U.S. Gulf Coast braces for hurricane,0.0,1.0,0.0,0.0
