,ticker,date,time,headline,neg,neu,pos,compound
0,CVX,2020-09-30,05:45PM,Chevron (CVX) Gains But Lags Market: What You Should Know,0.194,0.62,0.186,-0.0258
1,CVX,2020-09-30,06:00AM,The Devon-WPX Tie-Up Could Start a Wave of Deals in Oil-and-Gas,0.0,1.0,0.0,0.0
2,CVX,2020-09-29,03:55PM,"Dow's 115-point drop led by losses for Chevron, Travelers shares",0.343,0.5,0.157,-0.3818
3,CVX,2020-09-29,12:21PM,"Dow Loses 200 Points Ahead Of Debate, As This Key Stock Rallies",0.173,0.827,0.0,-0.3182
4,CVX,2020-09-28,04:02PM,'Halftime Report' Traders Weigh In On Bank Of America's Upgrade Of Chevron,0.0,1.0,0.0,0.0
5,CVX,2020-09-28,03:03PM,"Dow rallies 462 points on gains for shares of Boeing, Dow Inc.",0.0,0.685,0.315,0.5574
6,CVX,2020-09-28,12:52PM,Chevron Up as Bank of America Lifts Stock to Buy on Valuation,0.0,1.0,0.0,0.0
7,CVX,2020-09-28,12:00PM,"Stocks on the move: Caesars makes bid for William Hill, Snap rises on upgrade",0.0,1.0,0.0,0.0
8,CVX,2020-09-28,10:59AM,Why Chevron's Stock Is Trading Higher Today,0.0,1.0,0.0,0.0
9,CVX,2020-09-28,09:45AM,"Chevron, American Express share gains lead Dow's 333-point rally",0.0,0.603,0.397,0.5574
10,CVX,2020-09-28,09:31AM,"Benzinga's Top Upgrades, Downgrades For September 28, 2020",0.0,0.795,0.205,0.2023
11,CVX,2020-09-28,08:35AM,Is It Time to Buy These 3 Beaten-Down Dow Jones Stocks?,0.0,1.0,0.0,0.0
12,CVX,2020-09-27,10:08AM,What to Expect in the Markets This Week,0.0,1.0,0.0,0.0
13,CVX,2020-09-26,03:12PM,"Bulls And Bears Of The Week: Chevron, Oracle, Twitter And More",0.0,1.0,0.0,0.0
14,CVX,2020-09-25,11:53AM,Trump Asks U.S. Court to Allow WeChat Ban to Proceed,0.267,0.593,0.141,-0.4019
15,CVX,2020-09-24,04:15PM,'Halftime Report' Traders Share Their Thoughts On Chevron,0.0,0.761,0.239,0.296
16,CVX,2020-09-24,02:38PM,Why Buy a Yield Trap With AT&T?,0.315,0.685,0.0,-0.3182
