,ticker,date,time,headline,neg,neu,pos,compound
0,FB,2020-09-25,09:15AM,Better Buy: Facebook vs. Twitter,0.0,0.58,0.42,0.4404
1,FB,2020-09-25,08:25AM,"Social media deal earns advertisers' 'likes', but not yet all their dollars",0.0,1.0,0.0,0.0
2,FB,2020-09-25,08:19AM,"Social media deal earns advertisers' 'likes', but not yet all their dollars",0.0,1.0,0.0,0.0
3,FB,2020-09-25,07:37AM,Facebook critics launch rival oversight board,0.306,0.694,0.0,-0.296
4,FB,2020-09-25,07:30AM,Facebook critics launch rival oversight board,0.306,0.694,0.0,-0.296
5,FB,2020-09-24,11:29PM,"Google, Facebook CEOs Could Face Subpoena From Senate Panel",0.0,1.0,0.0,0.0
6,FB,2020-09-24,04:25PM,"Alphabet Inc. Cl A stock rises Thursday, outperforms market",0.0,1.0,0.0,0.0
7,FB,2020-09-24,03:10PM,The rotation to more value and cyclical sectors has already begun: Wealth Consulting Group CEO,0.0,0.688,0.312,0.7089
8,FB,2020-09-24,03:06PM,"Facebook suspends fake Russian accounts, warns of U.S. election hack-and-leak threat",0.497,0.503,0.0,-0.7845
9,FB,2020-09-24,03:04PM,"Facebook suspends fake Russian accounts, warns of U.S. election hack-and-leak threat",0.497,0.503,0.0,-0.7845
10,FB,2020-09-24,03:00PM,"Facebook suspends fake Russian accounts, warns of US election hack-and-leak threat",0.497,0.503,0.0,-0.7845
11,FB,2020-09-24,02:43PM,"Alphabet, Facebook, Twitter CEOs Asked to Appear at Senate Hearing",0.0,1.0,0.0,0.0
12,FB,2020-09-24,01:49PM,"Senate panel wants CEOs of Facebook, Google, Twitter to testify Oct. 1: report",0.0,1.0,0.0,0.0
13,FB,2020-09-24,12:55PM,Facebook Oversight Board set to launch ahead of U.S. election,0.0,1.0,0.0,0.0
14,FB,2020-09-24,12:53PM,"Facebook (FB) Has Risen 38% in Last One Year, Outperforms Market",0.0,1.0,0.0,0.0
15,FB,2020-09-24,12:43PM,Facebook's Oversight Board Will Start Reviewing Content Soon,0.0,1.0,0.0,0.0
16,FB,2020-09-24,12:12PM,"Senate panel plans to issue subpoenas to CEOs of Google, Facebook, Twitter",0.0,1.0,0.0,0.0
