,ticker,date,time,headline,neg,neu,pos,compound
0,F,2020-09-25,07:31AM,The Company Tesla Should Worry About in 2021,0.293,0.707,0.0,-0.4404
1,F,2020-09-24,12:28PM,California Governor Gavin Newsom's ban on new gas cars in 2035 may wallop drivers' wallets: analyst,0.194,0.806,0.0,-0.5574
2,F,2020-09-24,11:10AM,11 Best Trucks to Restore for Beginners,0.0,0.439,0.561,0.7506
3,F,2020-09-24,10:41AM,"Here's why Tesla's stock tumbled after Battery Day, and why analysts are still bullish",0.0,1.0,0.0,0.0
4,F,2020-09-24,09:53AM,Unusual Options Activity Insight: Ford Motor,0.0,1.0,0.0,0.0
5,F,2020-09-24,09:45AM,Better Buy: Tesla vs. Ford,0.0,0.58,0.42,0.4404
6,F,2020-09-24,09:20AM,Banning Gas-Powered Cars Can't Happen Soon Enough,0.0,1.0,0.0,0.0
7,F,2020-09-24,04:48AM,Volvo Cars readies first green bond to support electric car strategy,0.0,0.787,0.213,0.4019
8,F,2020-09-23,03:35PM,The Nikola scandal proves even GM will do anything to catch up to Tesla,0.182,0.818,0.0,-0.4404
9,F,2020-09-23,11:42AM,Ford's Bid for a New Future,0.0,1.0,0.0,0.0
10,F,2020-09-23,10:01AM,Analyzing Ford Motor's Unusual Options Activity,0.0,1.0,0.0,0.0
11,F,2020-09-23,08:00AM,Elon Musk's Tesla Stake Is Worth More Than Ford And GM,0.0,0.84,0.16,0.2263
12,F,2020-09-23,06:31AM,Ford Motors to Invest C$1.95 Billion in Canada Operations Under Unifor Union Deal,0.0,1.0,0.0,0.0
13,F,2020-09-23,05:58AM,Ford To Start Building Electric Vehicles In Canada By 2025: WSJ,0.0,1.0,0.0,0.0
14,F,2020-09-22,06:02PM,Electric Vehicle Maker Xpeng Gets Its First Buy Rating. Heres Why.,0.0,1.0,0.0,0.0
15,F,2020-09-22,12:34PM,Ford to invest $1.46 billion in Canada plants as part of Unifor union deal,0.0,1.0,0.0,0.0
16,F,2020-09-22,12:14PM,"Is Ford Stock A Buy Now? Here's What Fundamentals, Chart Show",0.0,1.0,0.0,0.0
17,F,2020-09-22,06:00AM,How Diligent Was GM About Its Deal With Nikola?,0.0,1.0,0.0,0.0
18,F,2020-09-21,05:47PM,"Nikola Confronts Future of Doubts on Chair Exit, Stock Drop",0.47,0.53,0.0,-0.6369
19,F,2020-09-21,02:05PM,Top Car Stocks for Q4 2020,0.0,0.735,0.265,0.2023
20,F,2020-09-21,12:57PM,GM sticks by Nikola as the EV maker's stock plunges after founder Trevor Milton exits,0.0,1.0,0.0,0.0
21,F,2020-09-21,12:46PM,Nikola must do this one thing quickly now that founder Trevor Milton is out: analyst,0.0,1.0,0.0,0.0
22,F,2020-09-21,10:17AM,Analyzing Ford Motor's Unusual Options Activity,0.0,1.0,0.0,0.0
23,F,2020-09-21,10:12AM,Tesla's Battery Day: What to expect,0.0,1.0,0.0,0.0
24,F,2020-09-21,08:00AM,Stock Wars: Ford Vs. General Motors Vs. Tesla,0.34,0.66,0.0,-0.5574
25,F,2020-09-18,04:20PM,Elon Musks Pay Helps Tesla Get a Record Price Target,0.127,0.636,0.236,0.296
26,F,2020-09-18,10:09AM,Return On Capital Employed Overview: Ford Motor,0.0,1.0,0.0,0.0
27,F,2020-09-18,09:32AM,"Company News for Sep 18, 2020",0.0,1.0,0.0,0.0
28,F,2020-09-18,08:17AM,Ford's (F) All-Electric F-150 Truck to Hit the Roads in 2022,0.0,1.0,0.0,0.0
29,F,2020-09-18,08:12AM,XL Fleet to go public via blank-check merger at $1 bln valuation,0.0,1.0,0.0,0.0
30,F,2020-09-18,02:54AM,Ford To Roll Out Electric F-150 Trucks In Mid-2022,0.0,1.0,0.0,0.0
31,F,2020-09-17,05:48PM,Ford expanding Michigan factory for electric F-150,0.0,1.0,0.0,0.0
32,F,2020-09-17,05:35PM,"5 Top Stock Trades for Friday: TWLO, MU, F, INO, X",0.0,0.816,0.184,0.2023
33,F,2020-09-17,04:57PM,"US STOCKS-Wall St falls as tech sells off again, jobless claims still high",0.0,1.0,0.0,0.0
34,F,2020-09-17,04:00PM,"US STOCKS-Wall St falls as tech stocks sink again, jobless claims still high",0.0,1.0,0.0,0.0
35,F,2020-09-17,02:49PM,US STOCKS-Wall St sinks more than 1% as tech stocks resume slide,0.0,1.0,0.0,0.0
36,F,2020-09-17,02:37PM,GM Stock Revs Up As Ultium EV Future Takes Shape; Is It A Good Buy?,0.0,0.818,0.182,0.4404
37,F,2020-09-17,01:18PM,US STOCKS-Tech sell-off hits Wall St as jobless claims remain elevated,0.0,1.0,0.0,0.0
38,F,2020-09-17,11:56AM,CORRECTED-US STOCKS-Tech sell-off hits Wall St as jobless claims remain high,0.0,1.0,0.0,0.0
39,F,2020-09-17,11:44AM,How new all-electric Ford F-150 will hold up against competition,0.0,1.0,0.0,0.0
40,F,2020-09-17,11:06AM,"Ford's Electric F-150 Coming In 2022, Over-The-Air Updates Planned",0.0,1.0,0.0,0.0
41,F,2020-09-17,10:35AM,Ford Breaks Ground on New Electric F-150 Plant,0.0,1.0,0.0,0.0
42,F,2020-09-17,08:37AM,Ford says new generation F-150 pickup trucks to go on sale in November,0.0,1.0,0.0,0.0
43,F,2020-09-17,07:08AM,3 Must-Buy Robinhood Stocks to Enrich Your Portfolio,0.0,1.0,0.0,0.0
44,F,2020-09-17,01:00AM,INSIGHT-The Musk Method: Learn from partners then go it alone,0.182,0.818,0.0,-0.25
45,F,2020-09-16,05:22PM,Do Hedge Funds Love Ford Motor Company (F)?,0.0,0.625,0.375,0.6369
46,F,2020-09-16,04:11PM,GM's Electric Car Unit Eyes Self-Sufficiency Amid Spinoff Hopes,0.0,0.741,0.259,0.4215
47,F,2020-09-16,03:57PM,Nikola Faces Harsh Criticism From Shortsellers,0.592,0.408,0.0,-0.7003
48,F,2020-09-16,10:39AM,Ford's EV Game Is All About Revivals,0.0,1.0,0.0,0.0
49,F,2020-09-16,10:00AM,Ford CTO Dr. Ken Washington to Discuss Fords Technology Strategy at Evercore New Mobility & AI Forum on Sept. 22,0.0,1.0,0.0,0.0
