,date_time,ticker,headline,neg,neu,pos,compound
0,2020-09-25 19:27:00,GS,Nike Stock Looks Good for the Long Run,0.0,0.7070000000000001,0.293,0.4404
1,2020-09-25 17:16:00,GS,"Risks of a Delayed Election Outcome Are Overblown, Goldman Sachs Says",0.33299999999999996,0.667,0.0,-0.4588
2,2020-09-25 12:58:00,GS,"Dow Jones Up 100 Points After Early Dive; Apple, Microsoft Lead Tech Stock Rally",0.0,1.0,0.0,0.0
3,2020-09-25 09:51:00,GS,Googles Search Business Targeted in U.S. Antitrust Case,0.0,1.0,0.0,0.0
4,2020-09-25 09:47:00,GS,"Goldman Sachs, Caterpillar share losses lead Dow's 67-point drop",0.369,0.462,0.16899999999999998,-0.3818
5,2020-09-25 07:00:00,GS,Dont Let Politics Strangle Virus-Economy Relief,0.0,0.617,0.38299999999999995,0.4767
6,2020-09-25 06:21:00,GS,How Harley-Davidson Lost Its Rumble in India,0.27699999999999997,0.723,0.0,-0.3182
7,2020-09-25 03:05:00,GS,Banker Culture Slips In the Pandemic,0.0,1.0,0.0,0.0
8,2020-09-24 16:22:00,GS,Dow Jones Finishes Higher After Weak Jobless Claims Report As Tesla Shows This Bullish Chart Action,0.162,0.838,0.0,-0.4404
9,2020-09-24 15:49:00,GS,"Dow's nearly 50-point jump highlighted by gains in shares of Goldman Sachs, Apple Inc.",0.0,0.723,0.27699999999999997,0.5574
10,2020-09-24 15:09:00,GS,"Nasdaq Reverses Higher, Tesla Makes Bullish Move; Dow Jones Led By Goldman Sachs, Apple",0.0,1.0,0.0,0.0
11,2020-09-24 14:49:00,GS,"Dow's 129-point jump highlighted by gains for shares of Goldman Sachs, Coca-Cola",0.0,0.685,0.315,0.5574
12,2020-09-24 14:35:00,GS,Goldman Sachs finances MercadoLibre loans to Brazil small companies,0.0,1.0,0.0,0.0
13,2020-09-24 13:56:00,GS,"Goldman Sachs Has Benefited From Market Volatility. Its Time to Buy the Stock, Analyst Says.",0.0,1.0,0.0,0.0
14,2020-09-24 13:49:00,GS,"Goldman Sachs, Apple Inc. share gains lead Dow's 286-point rally",0.0,0.635,0.365,0.5574
15,2020-09-24 13:35:00,GS,Dow Jones Roars Back From Big Early Dive As Stocks Shrug Off Jobs Data,0.0,1.0,0.0,0.0
16,2020-09-24 12:49:00,GS,"Dow jumps 100 points on gains in Goldman Sachs, Apple Inc. stocks",0.0,0.821,0.179,0.34
17,2020-09-24 12:29:00,GS,"Dow Jones Volatile on Elevated Unemployment Claims; Nike, Home Depot, and Goldman Sachs Talked Up by Analysts",0.153,0.847,0.0,-0.4404
18,2020-09-24 11:46:00,GS,"Goldman Sachs, Apple Inc. share gains lead Dow's 30-point jump",0.0,0.635,0.365,0.5574
19,2020-09-24 11:19:00,GS,I think it sent the right message  Goldman Sachs CEO David Solomon spent every day in the office at height of pandemic,0.0,1.0,0.0,0.0
20,2020-09-24 11:00:00,GS,P/E Ratio Overview: Goldman Sachs Group,0.0,1.0,0.0,0.0
21,2020-09-24 10:25:00,GS,US STOCKS-Nasdaq rises on tech boost as economic recovery cools,0.0,0.769,0.231,0.4019
22,2020-09-24 09:58:00,GS,"Dow Jones Today, Stocks Rebound Off Opening Lows; Tesla Drags On Nasdaq; Jefferies Financial, Owens & Minor Spike",0.18899999999999997,0.8109999999999999,0.0,-0.3612
23,2020-09-24 08:59:00,GS,US STOCKS-Wall Street set to open lower as labor market recovery cools,0.16699999999999998,0.833,0.0,-0.29600000000000004
24,2020-09-24 06:31:00,GS,"Goldman upgraded to buy at UBS, says election volatility could be a boost",0.0,0.8029999999999999,0.19699999999999998,0.4019
25,2020-09-24 04:41:00,GS,Working From Home in a Pandemic Is Not Shirking It,0.0,1.0,0.0,0.0
26,2020-09-23 14:57:00,GS,Why online savings accounts interest rates have fallen  and some more than others,0.152,0.667,0.182,0.128
27,2020-09-23 09:00:00,GS,Aboard a Winnebago in Search of Better Angels,0.0,0.556,0.444,0.4588
28,2020-09-23 08:33:00,GS,Green Hydrogen Could Become a $12 Trillion Market. Heres How to Play It.,0.0,0.821,0.179,0.34
29,2020-09-22 13:20:00,GS,"Dow Jones Near Breakeven; Nasdaq Leads As Amazon, Microsoft Rally",0.0,0.841,0.159,0.1779
30,2020-09-22 12:40:00,GS,Americans are hoarding trillions of dollars in cash before the presidential election: Morgan Stanley,0.0,1.0,0.0,0.0
31,2020-09-22 12:04:00,GS,Dow Ends Higher as Tech Strength Rescues Bulls,0.0,0.522,0.478,0.6705
32,2020-09-22 10:46:00,GS,"Dow drops nearly 50 points on losses for shares of Goldman Sachs, UnitedHealth",0.17,0.6920000000000001,0.138,-0.128
33,2020-09-22 09:40:00,GS,Dow Struggles for Direction as Feeble Financials Weigh,0.439,0.561,0.0,-0.5719
34,2020-09-22 09:21:00,GS,Goldman Sachs Is Partnering With Walmart to Expand Its Consumer Banking Business,0.0,0.8270000000000001,0.17300000000000001,0.3182
35,2020-09-22 07:10:00,GS,Goldmans Next Generation Takes Shape With New Promotions,0.0,1.0,0.0,0.0
36,2020-09-22 03:31:00,GS,Wall Street Commodity Traders Head for Best Year in a Decade,0.0,0.682,0.318,0.6369
37,2020-09-22 00:01:00,GS,Walmart teams up with Goldman Sachs to offer online sellers business credit lines,0.0,0.8220000000000001,0.17800000000000002,0.3818
38,2020-09-21 16:23:00,GS,Car insurance start-up Root hires Goldman Sachs to lead IPO -sources,0.0,1.0,0.0,0.0
39,2020-09-21 09:55:00,GS,"Goldman Promotes Minnis, Raman, Wheeler in Global Finance Group",0.0,0.769,0.231,0.34
40,2020-09-21 02:29:00,GS,OPECs Libya Edges Closer to Reopening Battered Oil Sector,0.0,1.0,0.0,0.0
41,2020-09-21 01:00:00,GS,INSIGHT-'Free money' for banks as investors pile into fractured gold market,0.0,1.0,0.0,0.0
42,2020-09-20 13:50:00,GS,Tenet Leads U.S. Box Office While Mulan Sales Drop in China,0.174,0.826,0.0,-0.2732
43,2020-09-19 19:00:00,GS,Goldman Sachs Made $100 Million Off Tesla Trades This Year,0.0,1.0,0.0,0.0
44,2020-09-18 17:22:00,GS,Some Wall Street Banks Try to Bring Staff Back to the Office. Covid Is Complicating That.,0.0,1.0,0.0,0.0
45,2020-09-18 15:35:00,GS,Oil Has Best Week Since June After Saudis Defend Market Recovery,0.0,0.7040000000000001,0.29600000000000004,0.6369
46,2020-09-18 13:40:00,GS,Stocks slide amid quadruple witching day,0.0,1.0,0.0,0.0
47,2020-09-17 18:02:00,GS,Energy buyout firm Riverstone preparing cleantech SPAC IPO -sources,0.0,0.792,0.20800000000000002,0.2732
48,2020-09-17 15:37:00,GS,"Salesforce.com Inc., Goldman Sachs share losses contribute to Dow's nearly 200-point fall",0.18100000000000002,0.6709999999999999,0.14800000000000002,-0.128
49,2020-09-17 14:36:00,GS,"Salesforce.com Inc., Goldman Sachs share losses contribute to Dow's nearly 300-point drop",0.3,0.562,0.138,-0.3818
50,2020-09-17 14:13:00,GS,"Goldman holds top rank in activism defense, Spotlight climbs- data",0.0,0.708,0.292,0.3182
51,2020-09-17 12:59:00,GS,"Dow's 216-point fall led by losses for shares of Salesforce.com Inc., Goldman Sachs",0.17,0.6920000000000001,0.138,-0.128
52,2020-09-17 12:06:00,GS,"Dow Trims Losses  Into Close, but Tech Selloff Continues",0.188,0.812,0.0,-0.2144
53,2020-09-17 11:57:00,GS,"Salesforce.com Inc., Goldman Sachs share losses contribute to Dow's 133-point fall",0.19399999999999998,0.647,0.158,-0.128
54,2020-09-17 11:47:00,GS,Dow Off Lows but Under Pressure as Tech Bloodbath Continues,0.344,0.6559999999999999,0.0,-0.4939
55,2020-09-17 08:42:00,GS,US STOCKS-Wall Street to open lower as labor market recovery stalls,0.18,0.82,0.0,-0.29600000000000004
56,2020-09-17 06:49:00,GS,US STOCKS-Futures slip with focus on jobless claims as Fed underwhelms,0.0,1.0,0.0,0.0
57,2020-09-16 17:33:00,GS,Snowflake IPO Spurs Flood of Wealth for Silicon Valley Elite,0.0,0.738,0.262,0.4939
58,2020-09-16 16:45:00,GS,Snowflake Soars Into Tech Big Leagues With $70 Billion Value,0.0,0.789,0.21100000000000002,0.34
59,2020-09-16 15:33:00,GS,Goldman Sachs names new co-COO of global TMT banking: memo,0.0,1.0,0.0,0.0
60,2020-09-16 15:23:00,GS,Dow Jones Rises On Dovish Fed Announcement; These Stocks Among Day's Leaders,0.0,1.0,0.0,0.0
61,2020-09-16 14:02:00,GS,"Dow's 270-point climb highlighted by gains for shares of Chevron, Walgreens Boots",0.0,0.685,0.315,0.5574
62,2020-09-16 12:16:00,GS,Dow Jones Rallies 200 Points Ahead Of Fed; Stocks Mixed As Nasdaq Falters,0.0,1.0,0.0,0.0
63,2020-09-16 11:04:00,GS,"Walgreens Boots, Goldman Sachs share gains contribute to Dow's 169-point jump",0.0,0.662,0.33799999999999997,0.5574
64,2020-09-16 10:45:00,GS,Snowflake Prices IPO Above Marketed Range at $120 a Share,0.0,0.784,0.21600000000000003,0.29600000000000004
65,2020-09-16 10:21:00,GS,Stepstones IPO Could Raise $298 Million for the Investment Advisor,0.0,1.0,0.0,0.0
