,ticker,date,time,headline,neg,neu,pos,compound
0,GS,2020-10-01,10:01PM,Goldman to buy GM's credit card unit for $2.5 billion - WSJ,0.0,0.794,0.206,0.3818
1,GS,2020-10-01,10:00PM,Argentina to Devalue Peso Faster While It Fights Reserves Drop,0.375,0.625,0.0,-0.5859
2,GS,2020-10-01,03:49PM,Goldman Set to Add GM Credit Cards to Its Growing Consumer Book,0.0,0.699,0.301,0.5106
3,GS,2020-10-01,03:44PM,Oil Drops in Wake of Stimulus Uncertainty and Virus Fears,0.394,0.606,0.0,-0.6369
4,GS,2020-10-01,02:31PM,Goldman to buy GM's credit card unit for $2.5 billion - WSJ,0.0,0.794,0.206,0.3818
5,GS,2020-10-01,01:31PM,Wall Street banks net $64 billion in fees in bumper year for M&A and IPOs,0.0,1.0,0.0,0.0
6,GS,2020-10-01,11:16AM,New layoffs from Wall Street to Main Street hurt thousands of Americans as Washington squabbles and delays financial relief,0.145,0.723,0.132,-0.0772
7,GS,2020-10-01,10:43AM,Investors should lean into climate solutions to find opportunities over the next decade: expert,0.0,0.736,0.264,0.5106
8,GS,2020-10-01,10:34AM,Goldman Sachs and Allstate Are Latest Blue-Chip Companies to Cut Jobs,0.174,0.826,0.0,-0.2732
9,GS,2020-10-01,10:28AM,U.S. layoffs surge as jobless claims remain high amid COVID-19,0.0,1.0,0.0,0.0
10,GS,2020-10-01,05:04AM,Zoopla Founders Used-Car Venture Cazoo Passes $2 Billion Valuation,0.0,1.0,0.0,0.0
11,GS,2020-10-01,02:35AM,Goldman Sachs To Resume Job Cuts With 400 Layoffs  Report,0.196,0.804,0.0,-0.296
12,GS,2020-09-30,04:53PM,Goldman Sachs to go ahead with 'modest' job cuts after coronavirus pause,0.167,0.833,0.0,-0.296
13,GS,2020-09-30,04:15PM,Fed extends ban on share buybacks at big banks through Q4,0.235,0.523,0.242,-0.2263
14,GS,2020-09-30,03:31PM,GS MORTGAGE-BACKED SECURITIES TRUST 2020-PJ4 -- Moody's assigns definitive ratings to Prime RMBS issued by GS Mortgage-Backed Securities Trust 2020-PJ4,0.0,0.562,0.438,0.9094
15,GS,2020-09-30,02:05PM,'Halftime Report' Traders Share Their Thoughts On Starbucks And Goldman Sachs,0.0,0.82,0.18,0.296
