,date_time,ticker,headline,neg,neu,pos,compound
0,2020-09-25 17:44:00,MSFT,5 Best Stocks in the Dow This Week: Nike Jumps High,0.0,0.682,0.318,0.6369
1,2020-09-25 16:09:00,MSFT,"Market Recap: Friday, September 25",0.0,1.0,0.0,0.0
2,2020-09-25 15:03:00,MSFT,"Boeing, Apple Inc. share gains contribute to Dow's 330-point rally",0.0,0.635,0.365,0.5574
3,2020-09-25 14:03:00,MSFT,"Dow's 214-point climb led by gains for Boeing, Apple Inc. shares",0.0,0.662,0.33799999999999997,0.5574
4,2020-09-25 13:39:00,MSFT,"Nasdaq Soars 150 Points, Fueled By Big Gains For Tesla, Apple, Qualcomm; Boeing Leads Dow Jones",0.0,0.862,0.138,0.34
5,2020-09-25 13:19:00,MSFT,"Is QQQ Stock A Buy Right Now? Here's What Earnings, Charts Show",0.0,1.0,0.0,0.0
6,2020-09-25 13:03:00,MSFT,"Boeing, Apple Inc. share gains contribute to Dow's 133-point jump",0.0,0.635,0.365,0.5574
7,2020-09-25 12:58:00,MSFT,"Dow Jones Up 100 Points After Early Dive; Apple, Microsoft Lead Tech Stock Rally",0.0,1.0,0.0,0.0
8,2020-09-25 12:15:00,MSFT,Nasdaq Snaps 3-Week Losing Streak as Apple Restores Tech Health,0.203,0.625,0.172,-0.1027
9,2020-09-25 12:02:00,MSFT,Palantir Is Seen Opening for Trading at About $10 a Share. Heres How It Compares to Other Tech Stocks.,0.0,0.885,0.115,0.29600000000000004
10,2020-09-25 10:47:00,MSFT,"Boeing, Apple Inc. share gains contribute to Dow's 60-point jump",0.0,0.635,0.365,0.5574
11,2020-09-25 10:00:00,MSFT,Should You Avoid GameStop No Matter How Good the Price?,0.306,0.41700000000000004,0.278,-0.1027
12,2020-09-25 09:51:00,MSFT,Googles Search Business Targeted in U.S. Antitrust Case,0.0,1.0,0.0,0.0
13,2020-09-25 09:19:00,MSFT,Microsoft Declares War on Twilio With a New Cloud Service,0.32799999999999996,0.672,0.0,-0.5994
14,2020-09-25 07:55:00,MSFT,Amazon Unveiled New Hardware at Its Virtual Product Event. Heres Whats New.,0.0,0.866,0.134,0.1779
15,2020-09-25 07:00:00,MSFT,"Sony, Microsoft Prepare For Cage Match In New Video Game Consoles",0.0,1.0,0.0,0.0
16,2020-09-24 22:56:00,MSFT,"Amazon Launches Luna, a Cloud-Based Video Game Service",0.0,0.779,0.221,0.1779
17,2020-09-24 19:40:00,MSFT,"Amazon Chases Google, Microsoft in the Game-Streaming Market",0.0,0.805,0.195,0.1779
18,2020-09-24 17:21:00,MSFT,Microsoft's Xbox boss: Video games undergoing the 'same transformation' as TV and music did,0.0,1.0,0.0,0.0
19,2020-09-24 16:22:00,MSFT,Dow Jones Finishes Higher After Weak Jobless Claims Report As Tesla Shows This Bullish Chart Action,0.162,0.838,0.0,-0.4404
20,2020-09-24 16:22:00,MSFT,"Microsoft Bolsters Cloud Offerings With Azure, Teams Enhancements",0.0,1.0,0.0,0.0
21,2020-09-24 15:49:00,MSFT,"Dow's nearly 50-point jump highlighted by gains in shares of Goldman Sachs, Apple Inc.",0.0,0.723,0.27699999999999997,0.5574
22,2020-09-24 15:09:00,MSFT,"Nasdaq Reverses Higher, Tesla Makes Bullish Move; Dow Jones Led By Goldman Sachs, Apple",0.0,1.0,0.0,0.0
23,2020-09-24 14:49:00,MSFT,"Dow's 129-point jump highlighted by gains for shares of Goldman Sachs, Coca-Cola",0.0,0.685,0.315,0.5574
24,2020-09-24 14:44:00,MSFT,Why IPOs Are Risky,0.375,0.625,0.0,-0.2023
25,2020-09-24 14:09:00,MSFT,Amazon launches Luna cloud gaming service competing with Microsoft and Google,0.0,0.855,0.145,0.1779
26,2020-09-24 13:57:00,MSFT,GRAPHIC-'Healthy correction' or something more? Stock swings keep investors on edge,0.0,1.0,0.0,0.0
27,2020-09-24 13:49:00,MSFT,"Goldman Sachs, Apple Inc. share gains lead Dow's 286-point rally",0.0,0.635,0.365,0.5574
28,2020-09-24 13:38:00,MSFT,"Microsoft Doubles Down on Xbox, Launching xCloud in Japan",0.0,1.0,0.0,0.0
29,2020-09-24 13:35:00,MSFT,Dow Jones Roars Back From Big Early Dive As Stocks Shrug Off Jobs Data,0.0,1.0,0.0,0.0
30,2020-09-24 13:08:00,MSFT,Xbox Series X is the most powerful next-gen console in the market: Microsoft EVP of Gaming,0.0,0.8190000000000001,0.18100000000000002,0.4754
31,2020-09-24 12:49:00,MSFT,"Dow jumps 100 points on gains in Goldman Sachs, Apple Inc. stocks",0.0,0.821,0.179,0.34
32,2020-09-24 11:46:00,MSFT,"Goldman Sachs, Apple Inc. share gains lead Dow's 30-point jump",0.0,0.635,0.365,0.5574
33,2020-09-24 11:39:00,MSFT,What a Biden presidency would mean for tech stocks,0.0,1.0,0.0,0.0
34,2020-09-24 10:34:00,MSFT,3 Stocks to Buy and Hold for the Next 50 Years,0.0,1.0,0.0,0.0
35,2020-09-24 09:00:00,MSFT,Xbox Targets Mobile Gamers With New Cloud Service in Japan,0.0,1.0,0.0,0.0
36,2020-09-24 08:50:00,MSFT,Tencent's Gaming Business Could Be Trump's Next Target,0.0,1.0,0.0,0.0
37,2020-09-24 08:21:00,MSFT,Dow Jones Futures: Stock Market Sells Off Bearishly; Tesla Extends Battery Day Dive,0.0,0.889,0.111,0.128
38,2020-09-24 08:00:00,MSFT,Can't Get An Xbox Or PlayStation? Score On The Video Game Craze,0.127,0.873,0.0,-0.1531
39,2020-09-24 07:18:00,MSFT,18 ETFs That Could Help You Send Your Kids to College,0.0,0.787,0.213,0.4019
40,2020-09-24 07:15:00,MSFT,Better Hot IPO Stock: Snowflake vs. JFrog,0.0,0.674,0.326,0.4404
41,2020-09-24 06:09:00,MSFT,4 Coronavirus Vaccine Stocks the Bill & Melinda Gates Foundation Is Betting On,0.0,1.0,0.0,0.0
42,2020-09-24 06:01:00,MSFT,"Instagram bug made users vulnerable to hackers, cybersecurity firm claims",0.174,0.826,0.0,-0.2263
43,2020-09-23 14:30:00,MSFT,Dow Jones Dives 400 Points As Selling Ramps Up; Nasdaq Drops Over 2%,0.0,1.0,0.0,0.0
44,2020-09-23 11:22:00,MSFT,The U.S. behaved like a gangster to rob TikTok from China and Beijing has no reason to approve the deal: Chinese media,0.221,0.684,0.095,-0.5106
45,2020-09-23 10:22:00,MSFT,Shell and Microsoft Embark on New Alliance,0.0,1.0,0.0,0.0
46,2020-09-23 10:08:00,MSFT,"Proposed TikTok deal takes a turn, as U.S., China struggle for power over the app",0.15,0.85,0.0,-0.3182
47,2020-09-23 08:45:00,MSFT,Beijing Has No Reason to Approve U.S. TikTok Deal: Chinese Media,0.18,0.82,0.0,-0.29600000000000004
48,2020-09-23 08:07:00,MSFT,GLOBAL MARKETS-Tech lifts stocks as poor data rekindles stimulus hopes,0.223,0.5760000000000001,0.201,-0.0772
49,2020-09-23 07:07:00,MSFT,A Deep Dive Into JFrog -- the Tech Company Keeping Your Software Updated,0.0,1.0,0.0,0.0
50,2020-09-23 07:00:00,MSFT,5 Things to Know About Palantir's Upcoming IPO,0.0,1.0,0.0,0.0
51,2020-09-23 06:25:00,MSFT,Microsoft Takes On Amazon With Azure Orbital Space Service,0.0,0.825,0.175,0.1779
52,2020-09-23 04:53:00,MSFT,GLOBAL MARKETS-Tech lifts world stocks as economy back in focus,0.0,1.0,0.0,0.0
53,2020-09-22 23:52:00,MSFT,Microsoft Launches Cloud Communications Services To Rival Twilio,0.0,1.0,0.0,0.0
54,2020-09-22 23:34:00,MSFT,Sony slides 2% as Microsoft flashes cash to boost games lineup,0.0,0.787,0.213,0.4019
56,2020-09-22 22:29:00,MSFT,Blacklisting U.S. Tech Would Highlight Chinas Own Weakness,0.25,0.536,0.214,-0.1027
57,2020-09-22 21:51:00,MSFT,Microsoft and AT&T Try to Make the Internet of Things Easier,0.0,0.7809999999999999,0.21899999999999997,0.4215
58,2020-09-22 20:14:00,MSFT,Trump to Meet With State Enforcers Before Expected Google Case,0.0,1.0,0.0,0.0
59,2020-09-22 19:57:00,MSFT,GLOBAL MARKETS-Asian stocks set to gain after Wall Street's tech bounce,0.0,0.746,0.254,0.5267
60,2020-09-22 18:55:00,MSFT,Microsoft Guns for Twilio's Business With Launch of Azure Communication Services,0.0,1.0,0.0,0.0
61,2020-09-22 18:25:00,MSFT,U.S. Agencies Warn of Disinformation on Delayed Election Results,0.32,0.68,0.0,-0.3182
62,2020-09-22 18:14:00,MSFT,Daily Crunch: Microsoft launches Azure Communication Services,0.0,1.0,0.0,0.0
63,2020-09-22 17:50:00,MSFT,"Is Adobe Stock A Buy Right Now? Here's What Earnings, ADBE Chart Show",0.0,1.0,0.0,0.0
64,2020-09-22 17:19:00,MSFT,'The stocks in the S&P 500 are not necessarily reflective of the full economy': Strategist,0.0,1.0,0.0,0.0
65,2020-09-22 16:24:00,MSFT,"US STOCKS-Wall Street closes higher on Amazon boost, despite economic worries",0.0,0.5429999999999999,0.457,0.6939
66,2020-09-22 16:22:00,MSFT,Investing in Microsoft Stock (MSFT),0.0,1.0,0.0,0.0
