,ticker,date,time,headline,neg,neu,pos,compound
0,MSFT,2020-10-01,10:32PM,"Dow Jones Futures: Stock Market Rally Rides Stimulus Deal Buzz, Twilio Soars Late; Jobs Report, Tesla Deliveries On Tap",0.0,1.0,0.0,0.0
1,MSFT,2020-10-01,06:22PM,Daily Crunch: Google commits $1B to pay publishers,0.165,0.706,0.129,-0.0772
2,MSFT,2020-10-01,04:59PM,How Does the Nasdaq Keep Crushing the Stock Market?,0.238,0.762,0.0,-0.3612
3,MSFT,2020-10-01,02:35PM,Dow Gives Up Gains After Strong Start; These 2 Top Growth Stocks Break Out,0.0,0.471,0.529,0.8442
4,MSFT,2020-10-01,02:03PM,"Heres where Biden and Trump stand on antitrust, social media and other tech issues",0.0,1.0,0.0,0.0
5,MSFT,2020-10-01,01:55PM,Stocks Are Expensive. These 14 Are Cheap and Could Grow.,0.0,1.0,0.0,0.0
6,MSFT,2020-10-01,01:42PM,Microsoft Unveils Cheapest Surface Laptop Model Starting at $549,0.0,1.0,0.0,0.0
7,MSFT,2020-10-01,12:18PM,"Dow Ekes Out Gain as Pelosi Rips White House Offer, Cooling Stimulus Hopes",0.0,0.64,0.36,0.7351
8,MSFT,2020-10-01,11:41AM,"Snowflake Slips as Jefferies Initiates With a Hold, Citing Valuation",0.0,1.0,0.0,0.0
9,MSFT,2020-10-01,11:16AM,Microsoft Introduces New Surface Go 2 Laptop,0.0,1.0,0.0,0.0
10,MSFT,2020-10-01,11:15AM,Microsoft enhances customer data platform as pandemic drives need for personalization,0.0,1.0,0.0,0.0
11,MSFT,2020-10-01,11:14AM,Palantir Ended Its First Day With  a $21 Billion Market Value. What Its COO Says.,0.0,0.844,0.156,0.34
12,MSFT,2020-10-01,08:51AM,FOCUS-Amazon and Big Tech cozy up to Biden camp with cash and connections,0.0,1.0,0.0,0.0
13,MSFT,2020-10-01,08:45AM,3 Reasons Sony Should Be Worried About Microsoft's Bethesda Acquisition,0.216,0.784,0.0,-0.296
14,MSFT,2020-10-01,08:22AM,Dow Jones Futures Rise On Fresh Stimulus Hopes For Stock Market Rally; Tesla Deliveries Due,0.0,0.718,0.282,0.6249
15,MSFT,2020-10-01,08:15AM,RingCentral's President: We're Investing Heavily in Video,0.0,1.0,0.0,0.0
16,MSFT,2020-10-01,08:13AM,Good News Is Coming For Apple And Microsoft Stock,0.0,0.734,0.266,0.4404
