,date_time,ticker,headline,neg,neu,pos,compound
0,2020-09-28 16:04:00,NKE,"Dow Jones Stocks To Buy And Watch In September 2020: Amgen, Apple, Home Depot, Microsoft",0.0,1.0,0.0,0.0
1,2020-09-28 12:20:00,NKE,Nike Just Did It,0.0,1.0,0.0,0.0
2,2020-09-28 11:30:00,NKE,Has NIKE (NKE) Outpaced Other Consumer Discretionary Stocks This Year?,0.0,1.0,0.0,0.0
3,2020-09-28 07:08:00,NKE,Mike Khouw Updates His Nike Options Trade,0.0,1.0,0.0,0.0
4,2020-09-28 07:07:00,NKE,Top 6 Dow Stocks to Boost Portfolio in a Capricious Market,0.0,0.609,0.391,0.5423
5,2020-09-27 10:11:00,NKE,Digital Sales Could Send Nike Even Higher,0.0,1.0,0.0,0.0
6,2020-09-26 11:09:00,NKE,5 Best Stocks in the Dow This Past Week: Nike Rises High,0.0,0.7040000000000001,0.29600000000000004,0.6369
7,2020-09-26 09:00:00,NKE,Oracle Buying TikTok and 15 More Strange  but Lucrative  Partnerships,0.147,0.853,0.0,-0.1397
8,2020-09-25 19:27:00,NKE,Nike Stock Looks Good for the Long Run,0.0,0.7070000000000001,0.293,0.4404
9,2020-09-25 17:14:00,NKE,"Stock Market Correction Begins; Tesla Battery Day, Nike Earnings, TikTok Saga In Focus: Weekly Review",0.0,1.0,0.0,0.0
10,2020-09-25 14:46:00,NKE,"At Nike, Waste Is Working New Wonders",0.318,0.682,0.0,-0.4215
11,2020-09-25 14:12:00,NKE,3 Fitness Stocks Whose Hard Work Can Reward You,0.115,0.41,0.475,0.6597
12,2020-09-25 09:34:00,NKE,Unusual Options Activity Insight: Nike,0.0,1.0,0.0,0.0
13,2020-09-25 07:05:00,NKE,Preformed Line Products Company (NASDAQ:PLPC) Goes Ex-Dividend Soon,0.0,1.0,0.0,0.0
14,2020-09-24 16:22:00,NKE,Dow Jones Finishes Higher After Weak Jobless Claims Report As Tesla Shows This Bullish Chart Action,0.162,0.838,0.0,-0.4404
15,2020-09-24 16:07:00,NKE,Nike's new Air Jordan 35 aims to combine 'culture and a functional shoe',0.0,1.0,0.0,0.0
16,2020-09-24 14:34:00,NKE,Nike Stock: Is It A Buy As Digital Sales Soar Amid Coronavirus Crisis?,0.272,0.728,0.0,-0.6249
17,2020-09-24 14:18:00,NKE,Why Nike Is Pegged by an Analyst to See Big EPS Growth,0.0,0.809,0.191,0.3818
18,2020-09-24 13:05:00,NKE,"Amazon agreed to call it the 'Prime Bike,' says Echelon CEO",0.0,0.703,0.297,0.4215
19,2020-09-24 12:29:00,NKE,"Dow Jones Volatile on Elevated Unemployment Claims; Nike, Home Depot, and Goldman Sachs Talked Up by Analysts",0.153,0.847,0.0,-0.4404
20,2020-09-24 12:00:00,NKE,The Secret to Nike's Blowout Quarter,0.0,1.0,0.0,0.0
21,2020-09-24 11:34:00,NKE,Morning Bell With Jim Cramer: Is Johnson & Johnson a Buy?,0.0,1.0,0.0,0.0
22,2020-09-24 10:46:00,NKE,"Dow's nearly 50-point fall led by losses in shares of Boeing, Nike",0.181,0.6709999999999999,0.14800000000000002,-0.128
23,2020-09-24 09:30:00,NKE,"Despite Strong Fundaments, Nike Could See Price Weakness With the Broad Market",0.355,0.645,0.0,-0.6707
24,2020-09-23 19:01:00,NKE,"Jim Cramer: Tesla, Nike, and a Tale of Expectations",0.0,1.0,0.0,0.0
