,ticker,date,time,headline,neg,neu,pos,compound
0,NKE,2020-10-01,06:29PM,Who are the most famous athlete investors?,0.0,1.0,0.0,0.0
1,NKE,2020-10-01,12:00PM,The Most Lucrative Collaborations of All Time,0.0,1.0,0.0,0.0
2,NKE,2020-10-01,10:36AM,"The Zacks Analyst Blog Highlights: YETI Holdings, Malibu Boats, NIKE, K12 and Activision Blizzard",0.0,1.0,0.0,0.0
3,NKE,2020-09-30,05:26PM,Nike Leads Best Stocks in the Dow in September,0.0,0.656,0.344,0.6369
4,NKE,2020-09-30,04:00PM,"Dow Jones Stocks To Buy And Watch In September 2020: Amgen, Apple, Home Depot, Microsoft",0.0,1.0,0.0,0.0
5,NKE,2020-09-30,10:36AM,Nike Sees Room for Game-Changing Profitability Gains,0.0,0.526,0.474,0.5423
6,NKE,2020-09-30,10:05AM,Hibbett Sports Is Crushing It,0.385,0.615,0.0,-0.3612
7,NKE,2020-09-30,10:00AM,"The Zacks Analyst Blog Highlights: Owens & Minor, FedEx, Hibbett Sports, NIKE and Installed Building Products",0.0,1.0,0.0,0.0
8,NKE,2020-09-30,09:41AM,"Nike, OrganiGram, Thermo Fisher, Danaher Corp and Agilent Tech highlighted as Zacks Bull and Bear of the Day",0.0,1.0,0.0,0.0
9,NKE,2020-09-30,08:30AM,These Cheap Stocks Could Make You a Millionaire,0.0,1.0,0.0,0.0
10,NKE,2020-09-30,06:10AM,Bull of the Day: Nike (NKE),0.0,1.0,0.0,0.0
11,NKE,2020-09-29,04:28PM,Dow Jones Sinks Over 100 Points But These Leaders Trade In Buy Zones,0.0,1.0,0.0,0.0
12,NKE,2020-09-29,02:40PM,"Stock Market Dips After Bullish Session; Beyond Meat, 3 Other Top Stocks Break Out To New Highs",0.0,0.893,0.107,0.2023
13,NKE,2020-09-29,01:37PM,Why Nike Stock Is Up,0.0,1.0,0.0,0.0
14,NKE,2020-09-29,12:21PM,"Dow Loses 200 Points Ahead Of Debate, As This Key Stock Rallies",0.173,0.827,0.0,-0.3182
15,NKE,2020-09-29,10:40AM,GOAT CEO on why shopping online is 'superior' to brick and mortar experience,0.0,1.0,0.0,0.0
16,NKE,2020-09-29,05:47AM,adidas AG -- Moody's assigns A2 rating to adidas' sustainability bond issuance,0.0,1.0,0.0,0.0
17,NKE,2020-09-28,12:20PM,Nike Just Did It,0.0,1.0,0.0,0.0
18,NKE,2020-09-28,11:30AM,Has NIKE (NKE) Outpaced Other Consumer Discretionary Stocks This Year?,0.0,1.0,0.0,0.0
19,NKE,2020-09-28,07:08AM,Mike Khouw Updates His Nike Options Trade,0.0,1.0,0.0,0.0
20,NKE,2020-09-28,07:07AM,Top 6 Dow Stocks to Boost Portfolio in a Capricious Market,0.0,0.609,0.391,0.5423
21,NKE,2020-09-27,10:11AM,Digital Sales Could Send Nike Even Higher,0.0,1.0,0.0,0.0
22,NKE,2020-09-26,11:09AM,5 Best Stocks in the Dow This Past Week: Nike Rises High,0.0,0.704,0.296,0.6369
23,NKE,2020-09-25,07:27PM,Nike Stock Looks Good for the Long Run,0.0,0.707,0.293,0.4404
24,NKE,2020-09-25,05:14PM,"Stock Market Correction Begins; Tesla Battery Day, Nike Earnings, TikTok Saga In Focus: Weekly Review",0.0,1.0,0.0,0.0
25,NKE,2020-09-25,02:46PM,"At Nike, Waste Is Working New Wonders",0.318,0.682,0.0,-0.4215
26,NKE,2020-09-25,02:12PM,3 Fitness Stocks Whose Hard Work Can Reward You,0.115,0.41,0.475,0.6597
27,NKE,2020-09-25,09:34AM,Unusual Options Activity Insight: Nike,0.0,1.0,0.0,0.0
28,NKE,2020-09-25,07:05AM,Preformed Line Products Company (NASDAQ:PLPC) Goes Ex-Dividend Soon,0.0,1.0,0.0,0.0
29,NKE,2020-09-24,04:22PM,Dow Jones Finishes Higher After Weak Jobless Claims Report As Tesla Shows This Bullish Chart Action,0.162,0.838,0.0,-0.4404
30,NKE,2020-09-24,04:07PM,Nike's new Air Jordan 35 aims to combine 'culture and a functional shoe',0.0,1.0,0.0,0.0
31,NKE,2020-09-24,02:34PM,Nike Stock: Is It A Buy As Digital Sales Soar Amid Coronavirus Crisis?,0.272,0.728,0.0,-0.6249
32,NKE,2020-09-24,02:18PM,Why Nike Is Pegged by an Analyst to See Big EPS Growth,0.0,0.809,0.191,0.3818
33,NKE,2020-09-24,01:05PM,"Amazon agreed to call it the 'Prime Bike,' says Echelon CEO",0.0,0.703,0.297,0.4215
34,NKE,2020-09-24,12:29PM,"Dow Jones Volatile on Elevated Unemployment Claims; Nike, Home Depot, and Goldman Sachs Talked Up by Analysts",0.153,0.847,0.0,-0.4404
35,NKE,2020-09-24,12:00PM,The Secret to Nike's Blowout Quarter,0.0,1.0,0.0,0.0
36,NKE,2020-09-24,11:34AM,Morning Bell With Jim Cramer: Is Johnson & Johnson a Buy?,0.0,1.0,0.0,0.0
37,NKE,2020-09-24,10:46AM,"Dow's nearly 50-point fall led by losses in shares of Boeing, Nike",0.181,0.671,0.148,-0.128
38,NKE,2020-09-24,09:30AM,"Despite Strong Fundaments, Nike Could See Price Weakness With the Broad Market",0.355,0.645,0.0,-0.6707
39,NKE,2020-09-23,07:01PM,"Jim Cramer: Tesla, Nike, and a Tale of Expectations",0.0,1.0,0.0,0.0
40,NKE,2020-09-23,06:34PM,"September Sell-Off: S&P 500 Craters 78 Points, Approaching Correction Levels as Apple, Oxy, Lead Tech Stocks, Energy Stocks Down",0.0,0.896,0.104,0.2732
41,NKE,2020-09-23,05:20PM,Nike is 'just getting started' after blowing away investor expectations,0.0,1.0,0.0,0.0
42,NKE,2020-09-23,04:47PM,Dow Falls 500 Points as Fed Warns More Stimulus Needed,0.135,0.865,0.0,-0.1027
43,NKE,2020-09-23,04:42PM,Dow Jones Sinks Over 500 Points But This Blue Chip Soars On Earnings,0.0,1.0,0.0,0.0
44,NKE,2020-09-23,04:36PM,US STOCKS-Wall Street closes lower on fears of a slowing economy,0.385,0.615,0.0,-0.6124
45,NKE,2020-09-23,04:28PM,"Nike, JinkoSolar, SPI Energy: 5 Top Gainers for Wednesday",0.0,0.606,0.394,0.4404
46,NKE,2020-09-23,04:01PM,US STOCKS-Wall Street closes lower on fears of a slowing economy,0.385,0.615,0.0,-0.6124
47,NKE,2020-09-23,03:21PM,The Nike Rebound Is Almost Complete,0.0,1.0,0.0,0.0
48,NKE,2020-09-23,03:17PM,Dow Jones Drops As Bears Batter Bulls; Apple Stock Surrenders Key Support,0.0,0.803,0.197,0.4019
49,NKE,2020-09-23,02:54PM,Why Under Armour Stock Just Jumped 7%,0.0,1.0,0.0,0.0
50,NKE,2020-09-23,02:52PM,"US STOCKS-Wall Street retreats as business activity slows, raising fears over economy",0.203,0.797,0.0,-0.4215
51,NKE,2020-09-23,02:30PM,Dow Jones Dives 400 Points As Selling Ramps Up; Nasdaq Drops Over 2%,0.0,1.0,0.0,0.0
