,date_time,ticker,headline,neg,neu,pos,compound
0,2020-09-28 20:59:00,PFE,Coronavirus update: World tops 1M deaths; Inovio delays late-stage trial as vaccine race quickens,0.0,0.7979999999999999,0.202,0.5106
1,2020-09-28 17:45:00,PFE,Pfizer (PFE) Gains But Lags Market: What You Should Know,0.194,0.62,0.18600000000000005,-0.0258
2,2020-09-28 17:10:00,PFE,Biotech ETFs in Focus as the COVID-19 Vaccine Race Intensifies,0.0,1.0,0.0,0.0
3,2020-09-28 17:06:00,PFE,"Sareptas First Gene-Therapy Test Patients Look Good, Two Years Out",0.0,0.7559999999999999,0.244,0.4404
4,2020-09-28 16:54:00,PFE,U.S. FDA Approves Pfizers XELJANZ® (tofacitinib) for the Treatment of Active Polyarticular Course Juvenile Idiopathic Arthritis,0.0,0.722,0.278,0.6597
5,2020-09-28 16:23:00,PFE,Inovio Forced To Delay Planned Testing Of Covid-19 Vaccine; Stock Plummets,0.371,0.629,0.0,-0.6486
6,2020-09-28 14:44:00,PFE,Inovio Stock Tumbles After Covid-19 Vaccine Trial Is Halted,0.0,1.0,0.0,0.0
7,2020-09-28 08:56:00,PFE,"10 Stocks to Buy as the Health-Care Revolution Races Ahead, According to Experts",0.0,1.0,0.0,0.0
8,2020-09-27 06:40:00,PFE,The 2 Coronavirus Vaccine Stocks I'd Buy Right Now,0.0,1.0,0.0,0.0
9,2020-09-27 06:30:00,PFE,3 Dividend Stocks That Pay You Better Than Coca-Cola Does,0.124,0.619,0.257,0.3612
10,2020-09-27 06:04:00,PFE,A Second Wave of Coronavirus Could Be Coming: 3 Stocks to Buy Before It Hits,0.0,1.0,0.0,0.0
11,2020-09-26 06:16:00,PFE,Better Coronavirus Stock: BioNTech or Vir Biotechnology?,0.0,0.674,0.326,0.4404
12,2020-09-25 16:25:00,PFE,"Johnson & Johnson stock rises Friday, still underperforms market",0.0,1.0,0.0,0.0
13,2020-09-25 14:44:00,PFE,There are four coronavirus vaccines in late-stage studies  heres how they differ,0.0,1.0,0.0,0.0
14,2020-09-25 14:33:00,PFE,"The Zacks Analyst Blog Highlights: JNJ, Pfizer, AstraZeneca, Sanofi and GSK",0.0,1.0,0.0,0.0
15,2020-09-25 11:49:00,PFE,"COVID-19 trials enter late stages, here's when you should expect a vaccine",0.0,1.0,0.0,0.0
16,2020-09-25 10:39:00,PFE,"U.S. nears 7M coronavirus cases, big pharmaceutical companies race for a vaccine",0.0,1.0,0.0,0.0
17,2020-09-25 09:07:00,PFE,Another Covid-19 Vaccine Candidate Is in the Final Stage of Testing,0.0,1.0,0.0,0.0
18,2020-09-24 22:23:00,PFE,Novavax Shares Surge 7% As It Begins Late-Stage COVID-19 Vaccine Trials,0.0,0.82,0.18,0.29600000000000004
19,2020-09-24 18:45:00,PFE,All the Covid-19 Vaccine Candidates That Are Now in Final Trials,0.0,1.0,0.0,0.0
20,2020-09-24 16:25:00,PFE,"Johnson & Johnson stock rises Thursday, still underperforms market",0.0,1.0,0.0,0.0
21,2020-09-24 16:14:00,PFE,Moderna Stock Cant Go Much HigherEven If It Makes a Covid-19 Vaccine,0.0,1.0,0.0,0.0
22,2020-09-24 15:09:00,PFE,Moderna Analyst On 4 Coronavirus Vaccine Program Risks,0.259,0.741,0.0,-0.2732
23,2020-09-24 15:07:00,PFE,U.S. vaccine program chief backs stricter rules for emergency use of COVID-19 shot,0.257,0.743,0.0,-0.4215
24,2020-09-24 12:14:00,PFE,Coronavirus update: Trump suggests he may overrule FDA vaccine approval; airlines ramp up testing,0.0,0.807,0.193,0.4767
25,2020-09-24 11:33:00,PFE,Current Updates On COVID-19 Vaccine,0.0,1.0,0.0,0.0
26,2020-09-24 06:09:00,PFE,4 Coronavirus Vaccine Stocks the Bill & Melinda Gates Foundation Is Betting On,0.0,1.0,0.0,0.0
27,2020-09-23 16:25:00,PFE,Johnson & Johnson stock outperforms competitors on strong trading day,0.0,0.708,0.292,0.5106
28,2020-09-23 16:20:00,PFE,Johnson & Johnson Is Latest To Start Final-Phase Testing For Covid-19 Vaccine,0.0,1.0,0.0,0.0
29,2020-09-23 16:07:00,PFE,GoodRx IPO Surges; Drug Shopping App Value Soars To $19 Billion,0.0,0.8059999999999999,0.194,0.34
30,2020-09-23 14:13:00,PFE,Johnson & Johnson CSO on COVID-19 vaccine: We wont have it by October  maybe by the end of the year,0.0,1.0,0.0,0.0
31,2020-09-23 13:28:00,PFE,'Pandemic fatigue is hitting the nation': Expert,0.25,0.75,0.0,-0.25
