,ticker,date,time,headline,neg,neu,pos,compound
0,PFE,2020-09-28,08:59PM,Coronavirus update: World tops 1M deaths; Inovio delays late-stage trial as vaccine race quickens,0.0,0.798,0.202,0.5106
1,PFE,2020-09-28,05:45PM,Pfizer (PFE) Gains But Lags Market: What You Should Know,0.194,0.62,0.186,-0.0258
2,PFE,2020-09-28,05:10PM,Biotech ETFs in Focus as the COVID-19 Vaccine Race Intensifies,0.0,1.0,0.0,0.0
3,PFE,2020-09-28,05:06PM,"Sareptas First Gene-Therapy Test Patients Look Good, Two Years Out",0.0,0.756,0.244,0.4404
4,PFE,2020-09-28,04:54PM,U.S. FDA Approves Pfizers XELJANZ® (tofacitinib) for the Treatment of Active Polyarticular Course Juvenile Idiopathic Arthritis,0.0,0.722,0.278,0.6597
5,PFE,2020-09-28,04:23PM,Inovio Forced To Delay Planned Testing Of Covid-19 Vaccine; Stock Plummets,0.371,0.629,0.0,-0.6486
6,PFE,2020-09-28,02:44PM,Inovio Stock Tumbles After Covid-19 Vaccine Trial Is Halted,0.0,1.0,0.0,0.0
7,PFE,2020-09-28,08:56AM,"10 Stocks to Buy as the Health-Care Revolution Races Ahead, According to Experts",0.0,1.0,0.0,0.0
8,PFE,2020-09-27,06:40AM,The 2 Coronavirus Vaccine Stocks I'd Buy Right Now,0.0,1.0,0.0,0.0
9,PFE,2020-09-27,06:30AM,3 Dividend Stocks That Pay You Better Than Coca-Cola Does,0.124,0.619,0.257,0.3612
10,PFE,2020-09-27,06:04AM,A Second Wave of Coronavirus Could Be Coming: 3 Stocks to Buy Before It Hits,0.0,1.0,0.0,0.0
11,PFE,2020-09-26,06:16AM,Better Coronavirus Stock: BioNTech or Vir Biotechnology?,0.0,0.674,0.326,0.4404
12,PFE,2020-09-25,04:25PM,"Johnson & Johnson stock rises Friday, still underperforms market",0.0,1.0,0.0,0.0
13,PFE,2020-09-25,02:44PM,There are four coronavirus vaccines in late-stage studies  heres how they differ,0.0,1.0,0.0,0.0
14,PFE,2020-09-25,02:33PM,"The Zacks Analyst Blog Highlights: JNJ, Pfizer, AstraZeneca, Sanofi and GSK",0.0,1.0,0.0,0.0
15,PFE,2020-09-25,11:49AM,"COVID-19 trials enter late stages, here's when you should expect a vaccine",0.0,1.0,0.0,0.0
16,PFE,2020-09-25,10:39AM,"U.S. nears 7M coronavirus cases, big pharmaceutical companies race for a vaccine",0.0,1.0,0.0,0.0
17,PFE,2020-09-25,09:07AM,Another Covid-19 Vaccine Candidate Is in the Final Stage of Testing,0.0,1.0,0.0,0.0
18,PFE,2020-09-24,10:23PM,Novavax Shares Surge 7% As It Begins Late-Stage COVID-19 Vaccine Trials,0.0,0.82,0.18,0.296
19,PFE,2020-09-24,06:45PM,All the Covid-19 Vaccine Candidates That Are Now in Final Trials,0.0,1.0,0.0,0.0
20,PFE,2020-09-24,04:25PM,"Johnson & Johnson stock rises Thursday, still underperforms market",0.0,1.0,0.0,0.0
21,PFE,2020-09-24,04:14PM,Moderna Stock Cant Go Much HigherEven If It Makes a Covid-19 Vaccine,0.0,1.0,0.0,0.0
22,PFE,2020-09-24,03:09PM,Moderna Analyst On 4 Coronavirus Vaccine Program Risks,0.259,0.741,0.0,-0.2732
23,PFE,2020-09-24,03:07PM,U.S. vaccine program chief backs stricter rules for emergency use of COVID-19 shot,0.257,0.743,0.0,-0.4215
24,PFE,2020-09-24,12:14PM,Coronavirus update: Trump suggests he may overrule FDA vaccine approval; airlines ramp up testing,0.0,0.807,0.193,0.4767
25,PFE,2020-09-24,11:33AM,Current Updates On COVID-19 Vaccine,0.0,1.0,0.0,0.0
26,PFE,2020-09-24,06:09AM,4 Coronavirus Vaccine Stocks the Bill & Melinda Gates Foundation Is Betting On,0.0,1.0,0.0,0.0
27,PFE,2020-09-23,04:25PM,Johnson & Johnson stock outperforms competitors on strong trading day,0.0,0.708,0.292,0.5106
28,PFE,2020-09-23,04:20PM,Johnson & Johnson Is Latest To Start Final-Phase Testing For Covid-19 Vaccine,0.0,1.0,0.0,0.0
29,PFE,2020-09-23,04:07PM,GoodRx IPO Surges; Drug Shopping App Value Soars To $19 Billion,0.0,0.806,0.194,0.34
30,PFE,2020-09-23,02:13PM,Johnson & Johnson CSO on COVID-19 vaccine: We wont have it by October  maybe by the end of the year,0.0,1.0,0.0,0.0
31,PFE,2020-09-23,01:28PM,'Pandemic fatigue is hitting the nation': Expert,0.25,0.75,0.0,-0.25
32,PFE,2020-09-23,11:06AM,FDA commissioner: It's up to drug makers developing vaccines to seek approval or EUA,0.0,0.807,0.193,0.4767
33,PFE,2020-09-23,10:52AM,"Fauci predicts U.S. will know if COVID-19 vaccines are effective by ""November or December""",0.0,0.807,0.193,0.4767
34,PFE,2020-09-23,10:51AM,J&J Launches Trial of Single-Dose Covid Vaccine. Results Could Come Quicker Than You Think.,0.0,1.0,0.0,0.0
35,PFE,2020-09-23,10:37AM,MediciNova Stock Spikes on Coronavirus-Vaccine Progress,0.0,0.641,0.359,0.4215
36,PFE,2020-09-23,08:52AM,Coronavirus update: Johnson & Johnson vaccine enters phase 3 as Fauci heads to Senate,0.0,1.0,0.0,0.0
37,PFE,2020-09-23,08:07AM,Here's My Top Coronavirus Vaccine Stock to Buy,0.0,0.795,0.205,0.2023
38,PFE,2020-09-23,06:45AM,"J&J kicks off final study of single-shot COVID-19 vaccine in 60,000 volunteers",0.0,1.0,0.0,0.0
39,PFE,2020-09-23,06:12AM,3 Safe Coronavirus Stocks to Buy Ahead of a Market Crash,0.214,0.556,0.23,0.0516
40,PFE,2020-09-23,05:48AM,2 High-Yield Dividend Stocks I'd Buy Right Now,0.0,1.0,0.0,0.0
41,PFE,2020-09-22,05:19PM,Everything you need to know about what it would take for the FDA to approve a COVID-19 vaccine,0.0,1.0,0.0,0.0
42,PFE,2020-09-22,04:25PM,Coronavirus update: US death toll tops 200K as Europe outlook darkens; FDA adds teeth to vaccine process,0.176,0.676,0.149,-0.1531
43,PFE,2020-09-22,04:25PM,Johnson & Johnson stock underperforms Tuesday when compared to competitors,0.0,1.0,0.0,0.0
44,PFE,2020-09-22,12:19PM,Axsome Expedites Development Plan for Narcolepsy Candidate,0.0,1.0,0.0,0.0
45,PFE,2020-09-22,10:01AM,4 Biotechs That Have More Than Doubled Thanks to Coronavirus,0.0,0.717,0.283,0.4877
46,PFE,2020-09-22,10:00AM,Pfizer Invites Public to View and Listen to Webcast of October 27 Conference Call with Analysts,0.0,1.0,0.0,0.0
47,PFE,2020-09-22,08:35AM,India's Serum Institute starts manufacturing Codagenix's potential COVID-19 vaccine,0.0,1.0,0.0,0.0
48,PFE,2020-09-22,06:09AM,Why Pfizer's Latest Big Win Makes It an Even Better Buy for Retirees,0.0,0.621,0.379,0.7717
49,PFE,2020-09-21,05:45PM,Pfizer (PFE) Dips More Than Broader Markets: What You Should Know,0.0,1.0,0.0,0.0
