,ticker,date,time,headline,neg,neu,pos,compound
0,PG,2020-09-26,08:15AM,Market Turmoil: Buy These 5 Stocks to Protect Your Retirement,0.207,0.579,0.215,0.0258
1,PG,2020-09-26,06:17AM,3 Low-Risk Stocks for Conservative Investors,0.0,1.0,0.0,0.0
2,PG,2020-09-24,06:00AM,Influencers with Andy Serwer: Jessica Alba,0.0,1.0,0.0,0.0
3,PG,2020-09-23,09:20AM,Is Procter & Gamble Stock a Buy?,0.0,1.0,0.0,0.0
4,PG,2020-09-23,06:00AM,Ethical business practices shouldnt be a marketing ploy: Jessica Alba,0.0,0.708,0.292,0.5106
5,PG,2020-09-22,03:18PM,Dow Jones Gains As Nasdaq Leads Way; Housing Stocks Make Constructive Moves,0.0,0.821,0.179,0.34
6,PG,2020-09-22,02:41PM,"Dow's nearly 100-point climb led by gains for shares of Nike, Microsoft",0.0,0.685,0.315,0.5574
7,PG,2020-09-22,01:33PM,"Nike, Procter & Gamble share gains lead the way, but Dow flat",0.0,0.732,0.268,0.3182
8,PG,2020-09-22,11:44AM,Charts Suggest Consumer Staples Sector Is Headed Higher,0.0,1.0,0.0,0.0
9,PG,2020-09-22,10:11AM,New Ninjamas Nighttime Underwear Helps Kids Take on Bedwetting Accidents and Wake Up Confident,0.12,0.576,0.304,0.5423
10,PG,2020-09-22,09:03AM,P&G Professional and Extended Stay Americas Partnership a Key Component of the STAY Confident Program,0.0,0.802,0.198,0.4939
11,PG,2020-09-21,05:45PM,Procter & Gamble (PG) Stock Moves -0.48%: What You Should Know,0.0,1.0,0.0,0.0
12,PG,2020-09-17,12:10PM,2 Stocks You Can Keep Forever,0.0,1.0,0.0,0.0
13,PG,2020-09-17,10:43AM,"Where to Invest $5,000 Right Now",0.0,1.0,0.0,0.0
14,PG,2020-09-17,07:00AM,9 Consumer Staples Stocks That Can Keep Growing After Covid Is Gone,0.0,0.855,0.145,0.1779
15,PG,2020-09-16,07:21AM,Hut Group shares soar more than 30% on market debut in Londons biggest ever tech IPO,0.0,0.872,0.128,0.296
16,PG,2020-09-15,09:00AM,"Crest Disrupts Teeth Whitening Category With the Launch of New Crest Whitening Emulsions, its Biggest Innovation Since 3DWhitestrips",0.0,0.867,0.133,0.3818
17,PG,2020-09-14,09:00AM,Patrick Mahomes and Troy Polamalu Are Back with Head & Shoulders to Take It Up to 100,0.0,1.0,0.0,0.0
18,PG,2020-09-11,08:35AM,5 Top Dividend Kings to Buy and Hold Forever,0.0,0.795,0.205,0.2023
19,PG,2020-09-09,12:35PM,Graduate Hotels® Launches Graduate Cares® Program,0.0,1.0,0.0,0.0
20,PG,2020-09-09,12:25PM,Avoid Billionaire Nelson Peltzs Top 5 Stock Picks,0.244,0.556,0.2,-0.1027
21,PG,2020-09-08,07:11PM,Warren Buffett's Duracell sues Energizer over battery life claims,0.0,0.721,0.279,0.4767
22,PG,2020-09-07,09:38AM,Could Kimberly-Clark Be a Millionaire-Maker Stock?,0.0,1.0,0.0,0.0
23,PG,2020-09-04,06:25PM,The Top 5 Buys of the MS Global Franchise Fund,0.0,0.816,0.184,0.2023
24,PG,2020-09-04,12:45PM,"Forget Clorox, Procter & Gamble Is a Better Consumer Staples Stock",0.161,0.593,0.246,0.25
25,PG,2020-09-04,12:20PM,The Dow Jones Index: The Story Of COVID-19 Winners,0.0,0.721,0.279,0.4767
26,PG,2020-09-03,08:06PM,Top 10 S&P 500 Stocks by Index Weight,0.0,0.795,0.205,0.2023
27,PG,2020-09-03,12:20PM,Why the explosive stock market rally is suddenly crumbling,0.0,1.0,0.0,0.0
28,PG,2020-09-03,09:00AM,"P&G To Webcast Presentation From the Barclays Global Consumer Staples Conference, September 10",0.0,1.0,0.0,0.0
29,PG,2020-09-02,05:45PM,Procter & Gamble (PG) Outpaces Stock Market Gains: What You Should Know,0.0,0.806,0.194,0.34
30,PG,2020-09-02,10:40AM,Is Procter & Gamble Facing a Rising Tide?,0.0,1.0,0.0,0.0
31,PG,2020-09-02,10:00AM,Return On Capital Employed Overview: Procter & Gamble,0.0,1.0,0.0,0.0
32,PG,2020-09-02,07:09AM,"Coffee, donuts and Spic and Span: P&G finds new ways to plug products amid pandemic",0.0,1.0,0.0,0.0
33,PG,2020-09-01,09:00AM,P&G Recommends Stockholders Reject Second Mini-tender Offer From Mason Bell LLC,0.199,0.662,0.14,-0.2023
34,PG,2020-09-01,07:00AM,"INSIGHT-Coffee, ketchup and Nike Air Max: it's the COVID consumer economy",0.0,1.0,0.0,0.0
35,PG,2020-08-31,09:01PM,Procter & Gamble Brings Relief to Residents Affected by Hurricane Laura With P&G Products and Tide Loads of Hope Laundry Services,0.065,0.691,0.244,0.6597
36,PG,2020-08-31,07:55AM,3 Top Large-Cap Stocks to Buy in September,0.0,0.769,0.231,0.2023
37,PG,2020-08-30,09:18AM,This P&G unit helps women-led startups get off the ground,0.0,0.776,0.224,0.3818
38,PG,2020-08-29,11:32AM,P&G (PG) Up 5.6% Since Last Earnings Report: Can It Continue?,0.0,1.0,0.0,0.0
39,PG,2020-08-28,03:02PM,Is The Procter & Gamble (PG) A Good Stock To Buy?,0.0,0.734,0.266,0.4404
40,PG,2020-08-25,01:24PM,"Top Stock Reports for JNJ, Procter & Gamble & Thermo Fisher",0.0,0.816,0.184,0.2023
41,PG,2020-08-22,09:10AM,4 Dividend Stocks That Are Perfect for Retirement,0.0,0.619,0.381,0.5719
42,PG,2020-08-20,09:00AM,"Oral-B iO, The Biggest Innovation in Oral Care History, Is Now Available Nationwide",0.0,0.655,0.345,0.7003
43,PG,2020-08-19,12:15PM,Procter & Gamble Co (PG) CEO - Health Care Steven D Bishop Sold $2.4 million of Shares,0.0,0.69,0.31,0.6597
44,PG,2020-08-19,11:45AM,3 Stocks with High Return on Equity Ratios,0.0,1.0,0.0,0.0
45,PG,2020-08-17,05:05PM,"Tesla Value Surpasses Consumer Giant P&G, Next Stop Walmart",0.19,0.603,0.207,0.0516
46,PG,2020-08-16,10:09AM,Stagflation Looms Over This Market. Why Some Analysts Are Worried.,0.322,0.678,0.0,-0.4215
47,PG,2020-08-14,06:19PM,Trian Fund Management cut stakes in P&G and other big holdings in Q2 -filing,0.139,0.861,0.0,-0.2732
48,PG,2020-08-14,06:15PM,"Procter & Gamble Co (PG) Chairman, President & CEO David S Taylor Sold $3. ...",0.0,1.0,0.0,0.0
49,PG,2020-08-14,03:01PM,"Apple Inc., Travelers share losses lead the way, but Dow flat",0.149,0.723,0.129,-0.0644
50,PG,2020-08-14,10:46AM,"Apple Inc., Cisco share losses lead the way, but Dow flat",0.149,0.723,0.129,-0.0644
51,PG,2020-08-14,09:45AM,"Dow falls nearly 100 points on losses for shares of Apple Inc., Travelers",0.17,0.692,0.138,-0.128
52,PG,2020-08-13,06:48PM,Why Big Brand Stocks Are Dying,0.0,1.0,0.0,0.0
53,PG,2020-08-13,02:58PM,Scott Galloway on TikTok and Big Techs Antitrust Reckoning,0.0,1.0,0.0,0.0
54,PG,2020-08-13,02:50PM,Procter & Gamble Hits All-Time High After Earnings Beat,0.0,1.0,0.0,0.0
55,PG,2020-08-13,09:27AM,Cleaning Product Demand Aids P&G's Growth: Will it Persist?,0.135,0.631,0.234,0.2732
56,PG,2020-08-13,06:12AM,Corporate America worries WeChat ban could be bad for business- WSJ,0.553,0.447,0.0,-0.872
57,PG,2020-08-12,08:00AM,P&G Appoints Debra Lee to Board of Directors,0.0,1.0,0.0,0.0
58,PG,2020-08-12,02:12AM,Clorox vs Procter & Gamble: Which Consumer Staples Stock is More Attractive?,0.0,0.758,0.242,0.4927
59,PG,2020-08-11,07:01PM,Diamond Hill Capital's Top 5 Buys in the 2nd Quarter,0.0,0.625,0.375,0.4939
60,PG,2020-08-11,11:45AM,Why Procter & Gamble Is Cautious About 2021,0.189,0.811,0.0,-0.1027
61,PG,2020-08-11,07:15AM,3 Top Stocks to Recession-Proof Your Portfolio,0.0,0.735,0.265,0.2023
62,PG,2020-08-10,10:29AM,Levi's CEO: Americans are still wearing jeans despite working from home during the coronavirus pandemic,0.0,1.0,0.0,0.0
