,ticker,date,time,headline,neg,neu,pos,compound
0,RACE,2020-09-24,12:01PM,Can Ferrari N.V.'s (NYSE:RACE) ROE Continue To Surpass The Industry Average?,0.0,1.0,0.0,0.0
1,RACE,2020-09-21,07:47AM,Hunting for Stock-Market Bargains? Look Abroad.,0.0,1.0,0.0,0.0
2,RACE,2020-09-16,12:10PM,Ferrari gives GT bestseller a makeover with new Portofino M,0.0,0.712,0.288,0.4278
3,RACE,2020-09-14,03:30PM,Can Ferrari Turn Around After Driving Off a Cliff?,0.0,1.0,0.0,0.0
4,RACE,2020-09-13,10:52AM,3 Stocks for an Electric Vehicle Future Not Named Tesla or Nikola,0.0,1.0,0.0,0.0
5,RACE,2020-09-09,04:56PM,Virgin Galactic Gets Another Upgrade. Now It Joins an Elite List.,0.0,1.0,0.0,0.0
6,RACE,2020-09-05,07:35AM,"Forget Airline Stocks, These 3 Stocks Are Better Buys Right Now",0.148,0.625,0.227,0.25
7,RACE,2020-09-02,08:15AM,Is Tesla stock now in dangerous bubble territory? This shocking new number should frighten the bulls,0.381,0.558,0.06,-0.7845
8,RACE,2020-08-25,01:13PM,Here's What Ferrari N.V.'s (NYSE:RACE) Shareholder Ownership Structure Looks Like,0.0,0.783,0.217,0.3612
9,RACE,2020-08-25,08:47AM,McLarens Once-a-Decade Debut Augurs Hybrid Supercar Future,0.0,1.0,0.0,0.0
10,RACE,2020-08-19,02:30AM,Detroit and Germany Already Have Their Own Teslas,0.0,1.0,0.0,0.0
11,RACE,2020-08-18,11:53AM,Ferrari signs the 2021-2025 Concorde Agreement,0.0,0.61,0.39,0.4939
12,RACE,2020-08-13,09:21AM,Morgan Stanley Lifts Ferraris PT To Street High,0.0,1.0,0.0,0.0
13,RACE,2020-08-12,10:43AM,"Ferrari Stock Could Double on SUV, EV Moves, Analyst Says",0.0,1.0,0.0,0.0
14,RACE,2020-08-12,09:25AM,"Ferraris Price Target Raised to $265 on Growth Optimism, $350 in Best-Case Scenario: Morgan Stanley",0.0,0.681,0.319,0.7269
15,RACE,2020-08-11,11:40AM,SHYF or RACE: Which Is the Better Value Stock Right Now?,0.0,0.629,0.371,0.6486
16,RACE,2020-08-03,06:05PM,"Ferrari's Profit Dropped Sharply on Coronavirus Effects, but There's Good News, Too",0.0,0.633,0.367,0.7003
17,RACE,2020-08-03,05:00PM,Ferrari N.V. (RACE) Q2 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
18,RACE,2020-08-03,03:07PM,Ferrari Revs to Highs Despite Earnings Miss - Here's the Trade,0.0,0.862,0.138,0.1139
19,RACE,2020-08-03,01:35PM,The Rich Still Want to Buy Their Ferraris,0.0,0.55,0.45,0.5994
