,ticker,date,time,headline,neg,neu,pos,compound
0,TSLA,2020-10-01,10:32PM,"Dow Jones Futures: Stock Market Rally Rides Stimulus Deal Buzz, Twilio Soars Late; Jobs Report, Tesla Deliveries On Tap",0.0,1.0,0.0,0.0
1,TSLA,2020-10-01,07:09PM,Why Tesla Stock Jumped Today,0.0,1.0,0.0,0.0
2,TSLA,2020-10-01,05:50PM,Top Stocks for October 2020,0.0,0.69,0.31,0.2023
3,TSLA,2020-10-01,05:18PM,Nikola Jumps As Analyst Backs Buy Rating But Warns On 'Fatal' Risk,0.343,0.657,0.0,-0.4019
4,TSLA,2020-10-01,05:13PM,"LAPD Warns Tesla Owners That Rims, Tires Popular With Thieves",0.324,0.483,0.193,-0.2263
5,TSLA,2020-10-01,04:47PM,"Nasdaq Jumps 159 Points, Led By AMD Stock, Tesla, Netflix; Top Chip Stock Eyes Breakout",0.0,0.886,0.114,0.2023
6,TSLA,2020-10-01,04:39PM,Tesla will have zero sales in China by 2030: analyst,0.0,1.0,0.0,0.0
7,TSLA,2020-10-01,04:25PM,"GM, Fiat Chrysler Report U.S. Auto Sales Fell 10% In Q3",0.0,1.0,0.0,0.0
8,TSLA,2020-10-01,04:25PM,Tesla Inc. stock outperforms competitors on strong trading day,0.0,0.708,0.292,0.5106
9,TSLA,2020-10-01,04:16PM,Tesla Stores In China Reportedly Flooded With Orders After Model 3 Price Cut,0.16,0.84,0.0,-0.2732
10,TSLA,2020-10-01,02:35PM,Dow Gives Up Gains After Strong Start; These 2 Top Growth Stocks Break Out,0.0,0.471,0.529,0.8442
11,TSLA,2020-10-01,02:00PM,Tesla Cuts Price of Chinese-Made Model 3,0.306,0.694,0.0,-0.296
12,TSLA,2020-10-01,01:53PM,Carvana's stock is up more than 160% this year  its founder remains bullish,0.0,1.0,0.0,0.0
13,TSLA,2020-10-01,01:11PM,Ford's New CEO Must Now Reckon the Number of the Beast,0.0,0.885,0.115,0.0772
14,TSLA,2020-10-01,01:05PM,"Dow Jones Jumps 250 Points On New Coronavirus Stimulus Hopes; Amazon, Apple, Tesla Race Higher",0.0,0.743,0.257,0.5423
15,TSLA,2020-10-01,12:20PM,"Tesla Analyst: China 'Star of the Show,' Automaker Set To Beat Q3 Delivery Forecast",0.0,1.0,0.0,0.0
16,TSLA,2020-10-01,10:04AM,"Dow Jones Today, Stocks Rise, Extend Rally; SailPoint Soars, Boeing Gains On 737 Relaunch News",0.0,0.76,0.24,0.4767
17,TSLA,2020-10-01,10:00AM,Tesla (TSLA) Set to Report Third Quarter Metrics,0.0,1.0,0.0,0.0
18,TSLA,2020-10-01,09:47AM,Tesla Shares Gain On Model 3 Price Cuts in China; Q3 Deliveries in Focus,0.124,0.562,0.315,0.5267
19,TSLA,2020-10-01,08:22AM,Dow Jones Futures Rise On Fresh Stimulus Hopes For Stock Market Rally; Tesla Deliveries Due,0.0,0.718,0.282,0.6249
20,TSLA,2020-10-01,05:13AM,"Tesla Slashes China-Made Standard, Long Range Model 3 Prices",0.205,0.795,0.0,-0.2023
21,TSLA,2020-10-01,04:08AM,Tesla Autopilot scores low for driver engagement in European safety rating,0.132,0.503,0.365,0.5719
22,TSLA,2020-10-01,04:00AM,Tesla Autopilot scores low for driver engagement in European safety rating,0.132,0.503,0.365,0.5719
23,TSLA,2020-10-01,03:50AM,Tesla cuts starting price for China-made Model 3 cars by 8%,0.196,0.804,0.0,-0.296
24,TSLA,2020-10-01,02:54AM,Tesla cuts starting price for China-made Model 3 cars by 8%,0.196,0.804,0.0,-0.296
25,TSLA,2020-09-30,11:44PM,"VW, Goldman Sachs, Spotify Founder Back Tesla Rival Northvolt",0.0,1.0,0.0,0.0
26,TSLA,2020-09-30,05:00PM,A Major Supply Shortage Is Set To Hit Lithium Markets,0.2,0.8,0.0,-0.25
27,TSLA,2020-09-30,04:36PM,Datadog Deal Lifts Nasdaq; Tesla Hopes for Record Deliveries,0.0,0.741,0.259,0.4215
28,TSLA,2020-09-30,04:25PM,Tesla Inc. stock outperforms market on strong trading day,0.0,0.708,0.292,0.5106
