,ticker,date,time,headline,neg,neu,pos,compound
0,VLO,2020-09-27,10:08AM,What to Expect in the Markets This Week,0.0,1.0,0.0,0.0
1,VLO,2020-09-23,11:47AM,China Is Key to Oil Demand. Whats Happening There Should Worry Bulls.,0.306,0.694,0.0,-0.5267
2,VLO,2020-09-22,09:46AM,Get Paid While You Wait: 3 Top Dividend Stocks in Energy,0.0,0.672,0.328,0.4404
3,VLO,2020-09-16,04:20PM,"Valero Energy Corporation to Announce Third Quarter 2020 Earnings Results on October 22, 2020",0.0,0.861,0.139,0.2732
4,VLO,2020-09-09,07:39AM,"Valero Refining-New Orleans, L.L.C. -- Moody's changes Valero's outlook to negative; affirms Baa2 ratings",0.222,0.778,0.0,-0.5719
5,VLO,2020-09-08,08:09PM,Hedge Funds Are Selling Valero Energy Corporation (VLO),0.0,0.769,0.231,0.2732
6,VLO,2020-09-08,05:21PM,Valero Energy Corporation Announces Pricing of Notes Offering,0.0,0.769,0.231,0.2732
7,VLO,2020-09-08,10:43AM,Oil Tumbles Below Critical $40 Level,0.315,0.685,0.0,-0.3182
8,VLO,2020-09-08,08:29AM,13 Stocks That Both Growth and Value Investors Will Love,0.0,0.432,0.568,0.8481
9,VLO,2020-09-07,09:31AM,Have Insiders Been Buying Valero Energy Corporation (NYSE:VLO) Shares?,0.0,0.619,0.381,0.5106
10,VLO,2020-09-04,06:28PM,Marathon Petroleum to represent refinery owners in 2022 USW contract talks -official,0.0,1.0,0.0,0.0
11,VLO,2020-09-04,04:45PM,Morningstar | A Weekly Summary of Stock Ideas and Developments in the Companies We Cover,0.0,1.0,0.0,0.0
12,VLO,2020-09-04,09:28AM,"The Zacks Analyst Blog Highlights: PBF Energy, Valero Energy, Phillips 66, Marathon Petroleum and Royal Dutch Shell",0.0,0.781,0.219,0.4939
13,VLO,2020-09-02,10:16AM,Analyst Report: Valero Energy Corporation,0.0,0.656,0.344,0.2732
14,VLO,2020-08-29,11:32AM,Why Is Valero Energy (VLO) Down 2.6% Since Last Earnings Report?,0.0,0.826,0.174,0.2732
15,VLO,2020-08-28,10:00AM,Gulf Coast Refineries Restart After Hurricane Scare,0.348,0.652,0.0,-0.4939
16,VLO,2020-08-27,01:50PM,Air Monitors Disabled on Gulf Coast as Storm Unleashes Pollution,0.0,1.0,0.0,0.0
17,VLO,2020-08-26,03:25PM,Top Energy Stocks for September 2020,0.0,0.506,0.494,0.4404
18,VLO,2020-08-25,11:57PM,Hurricane Laura poses biggest storm threat to U.S. oil output in 15 years,0.221,0.779,0.0,-0.5267
19,VLO,2020-08-25,05:44PM,Gulf Coast Refineries Rush to Shutter Plants As Laura Nears,0.0,1.0,0.0,0.0
20,VLO,2020-08-25,03:02PM,Hurricane Laura Threatens U.S. With $12 Billion in Damage,0.453,0.547,0.0,-0.7003
21,VLO,2020-08-25,12:56PM,4 Forgotten Energy Stocks With Balance Sheets for the Long Haul,0.158,0.667,0.175,0.0516
22,VLO,2020-08-25,08:44AM,Valero Prepares for Tropical Storms With Refinery Shutdown,0.0,1.0,0.0,0.0
23,VLO,2020-08-25,08:00AM,Oil and Gasoline Rally With Major Hurricane Set to Hit U.S. Gulf,0.0,1.0,0.0,0.0
24,VLO,2020-08-24,04:27PM,Oil Gains as U.S. Gulf Output and Refineries Halted Before Storm,0.0,0.806,0.194,0.34
25,VLO,2020-08-24,12:11PM,Oil Price Pops on Storm-Related Shutdowns,0.0,1.0,0.0,0.0
26,VLO,2020-08-23,07:20AM,3 Oil Companies That Are Becoming Renewable Energy Stocks,0.0,0.769,0.231,0.2732
27,VLO,2020-08-14,11:01AM,"The Zacks Analyst Blog Highlights: Diamondback Energy, Valero Energy, Phillips 66, Continental Resources and Parsley Energy",0.0,0.674,0.326,0.6486
28,VLO,2020-08-10,04:11PM,Ultramar Diamond Shamrock Corporation -- Moody's announces completion of a periodic review of ratings of Valero Energy Corporation,0.0,0.769,0.231,0.5423
29,VLO,2020-08-10,12:41PM,LOOP LLC -- Moody's announces completion of a periodic review of ratings of LOOP LLC,0.0,1.0,0.0,0.0
30,VLO,2020-08-07,09:56AM,"The Zacks Analyst Blog Highlights: PBF Energy, Valero Energy, Phillips 66, Continental Resources and Parsley Energy",0.0,0.674,0.326,0.6486
31,VLO,2020-08-03,02:15PM,RBC: These 3 Stocks Are Poised to Benefit If Biden Wins Election,0.0,0.479,0.521,0.8271
32,VLO,2020-07-31,07:00AM,RPT-Mexico switches up fuel import contracts as it clamps down on costs,0.0,1.0,0.0,0.0
33,VLO,2020-07-31,01:00AM,Mexico switches up fuel import contracts as it clamps down on costs,0.0,1.0,0.0,0.0
34,VLO,2020-07-30,11:31PM,Valero Energy (VLO) Q2 2020 Earnings Call Transcript,0.0,0.769,0.231,0.2732
35,VLO,2020-07-30,12:28PM,Total and Apache Stocks: 2 Winners From Otherwise Dismal Oil Earnings,0.265,0.53,0.205,-0.2263
36,VLO,2020-07-30,09:43AM,"Valero Energy (VLO) Q2 Earnings Beat Estimates, Revenues Miss",0.15,0.654,0.196,0.128
37,VLO,2020-07-30,08:08AM,Valero Energy: Q2 Earnings Insights,0.0,0.656,0.344,0.2732
38,VLO,2020-07-30,07:55AM,"Valero Energy (VLO) Reports Q2 Loss, Misses Revenue Estimates",0.341,0.488,0.171,-0.2732
39,VLO,2020-07-30,07:42AM,It Might Not Be A Great Idea To Buy Valero Energy Corporation (NYSE:VLO) For Its Next Dividend,0.17,0.722,0.108,-0.2946
40,VLO,2020-07-30,06:38AM,Valero Energy reports quarterly adjusted loss,0.274,0.476,0.25,-0.0516
41,VLO,2020-07-30,06:30AM,Valero Energy Reports Second Quarter 2020 Results,0.0,0.741,0.259,0.2732
