,ticker,date,time,headline,neg,neu,pos,compound
0,AMZN,2020-09-24,12:23PM,Alphabet Stock Should Be a Major Winner for the Shelter-In-Place Holidays,0.0,0.556,0.444,0.7506
1,AMZN,2020-09-24,11:44AM,US STOCKS-Nasdaq rises on tech boost as economic recovery cools,0.0,0.769,0.231,0.4019
2,AMZN,2020-09-24,11:39AM,What a Biden presidency would mean for tech stocks,0.0,1.0,0.0,0.0
3,AMZN,2020-09-24,11:17AM,Is Plug Power Stock a Buy?,0.0,1.0,0.0,0.0
4,AMZN,2020-09-24,10:57AM,"Spotify, Hollywood producer Chernin to adapt podcast shows for films, TV",0.0,1.0,0.0,0.0
5,AMZN,2020-09-24,10:53AM,Echelon CEO responds to controversy of 'prime bike' on Amazon,0.0,0.841,0.159,0.1779
6,AMZN,2020-09-24,10:25AM,US STOCKS-Nasdaq rises on tech boost as economic recovery cools,0.0,0.769,0.231,0.4019
7,AMZN,2020-09-24,10:06AM,Deliveroo Is Said to Start Talks for IPO After Delivery Spike,0.0,1.0,0.0,0.0
8,AMZN,2020-09-24,09:27AM,Is Amazon Stock a Buy?,0.0,0.638,0.362,0.1779
9,AMZN,2020-09-24,09:04AM,Are FedEx and UPS Still a Good Value?,0.0,0.485,0.515,0.6486
10,AMZN,2020-09-24,08:59AM,US STOCKS-Wall Street set to open lower as labor market recovery cools,0.167,0.833,0.0,-0.296
11,AMZN,2020-09-24,08:50AM,Tencent's Gaming Business Could Be Trump's Next Target,0.0,1.0,0.0,0.0
12,AMZN,2020-09-24,08:21AM,Dow Jones Futures: Stock Market Sells Off Bearishly; Tesla Extends Battery Day Dive,0.0,0.889,0.111,0.128
13,AMZN,2020-09-24,08:00AM,"50 Years After Milton Friedman, Companies Wrestle With Wider Purpose",0.0,1.0,0.0,0.0
14,AMZN,2020-09-24,07:18AM,18 ETFs That Could Help You Send Your Kids to College,0.0,0.787,0.213,0.4019
15,AMZN,2020-09-24,07:15AM,Better Hot IPO Stock: Snowflake vs. JFrog,0.0,0.674,0.326,0.4404
16,AMZN,2020-09-24,06:06AM,The FAANG Stock News You Completely Missed Last Month,0.238,0.762,0.0,-0.3597
17,AMZN,2020-09-23,09:31PM,"China Has a New Richest Person, With Jack Ma Dethroned",0.0,0.702,0.298,0.5267
18,AMZN,2020-09-23,06:34PM,"September Sell-Off: S&P 500 Craters 78 Points, Approaching Correction Levels as Apple, Oxy, Lead Tech Stocks, Energy Stocks Down",0.0,0.896,0.104,0.2732
19,AMZN,2020-09-23,05:16PM,Amazon Prime Day Begins Oct. 13: Report,0.0,0.779,0.221,0.1779
20,AMZN,2020-09-23,04:36PM,US STOCKS-Wall Street closes lower on fears of a slowing economy,0.385,0.615,0.0,-0.6124
21,AMZN,2020-09-23,04:25PM,"Netflix Inc. stock falls Wednesday, underperforms market",0.0,1.0,0.0,0.0
22,AMZN,2020-09-23,04:25PM,"Amazon.com Inc. stock falls Wednesday, underperforms market",0.0,1.0,0.0,0.0
23,AMZN,2020-09-23,04:25PM,3M Co. stock outperforms market despite losses on the day,0.0,0.799,0.201,0.3089
24,AMZN,2020-09-23,04:01PM,Peloton Stock Rises As Amazon Denies Echelon Bike Ties,0.243,0.609,0.148,-0.2732
25,AMZN,2020-09-23,04:01PM,US STOCKS-Wall Street closes lower on fears of a slowing economy,0.385,0.615,0.0,-0.6124
26,AMZN,2020-09-23,03:41PM,Amazon denies connection to Echelon Fitness Prime Bike,0.241,0.431,0.328,0.0
27,AMZN,2020-09-23,02:52PM,"US STOCKS-Wall Street retreats as business activity slows, raising fears over economy",0.203,0.797,0.0,-0.4215
28,AMZN,2020-09-23,01:28PM,7 of the biggest reasons why the stock market is having a dreadful September,0.209,0.791,0.0,-0.4404
29,AMZN,2020-09-23,01:28PM,Don't Sweat the Prime Bike Snafu: These 2 Other Recent Amazon Announcements Are Much Bigger Deals,0.192,0.714,0.093,-0.4215
30,AMZN,2020-09-23,01:15PM,Amazon tells Echelon to stop selling Prime Bike,0.222,0.606,0.172,-0.128
31,AMZN,2020-09-23,01:14PM,US STOCKS-Wall Street retreats as business activity slows,0.0,1.0,0.0,0.0
32,AMZN,2020-09-23,12:32PM,Why a president Joe Biden might be great for Tesla stock: analyst,0.0,0.709,0.291,0.6249
33,AMZN,2020-09-23,12:30PM,Where Will Amazon Be in 10 Years?,0.0,0.779,0.221,0.1779
34,AMZN,2020-09-23,12:29PM,Top Strategists on Where to Invest Now,0.0,0.769,0.231,0.2023
35,AMZN,2020-09-23,12:17PM,The Biggest Retail Takeovers and Mergers of the 2000s and 2010s,0.0,1.0,0.0,0.0
36,AMZN,2020-09-23,12:02PM,Peloton Shares Rebound After Amazon Denies Echelon Partnership,0.239,0.427,0.333,0.0258
37,AMZN,2020-09-23,11:58AM,US STOCKS-Wall Street retreats as business activity slows,0.0,1.0,0.0,0.0
38,AMZN,2020-09-23,11:37AM,Google Antitrust Lawsuit to Narrowly Focus on Search Dominance,0.178,0.654,0.168,-0.0258
39,AMZN,2020-09-23,11:25AM,Is Target Stock a Buy?,0.0,1.0,0.0,0.0
40,AMZN,2020-09-23,11:21AM,"Amazon (AMZN) Has Risen 80% in Last One Year, Outperforms Market",0.0,0.855,0.145,0.1779
41,AMZN,2020-09-23,11:03AM,Amazon Prime Day: You Only Have a Few Weeks to Prepare,0.0,0.841,0.159,0.1779
42,AMZN,2020-09-23,10:44AM,Peloton Rebounds as Amazon Debunks $499 'Prime Bike' Offering,0.0,0.825,0.175,0.1779
43,AMZN,2020-09-23,10:30AM,WhyLabs brings more transparancy to ML ops,0.0,1.0,0.0,0.0
44,AMZN,2020-09-23,10:19AM,"US STOCKS-S&P 500, Nasdaq retreat as business activity dips",0.0,0.816,0.184,0.2023
45,AMZN,2020-09-23,09:18AM,"Amazon Disavows Prime Bike, Says It Had Nothing to Do With It",0.0,0.866,0.134,0.1779
46,AMZN,2020-09-23,09:02AM,Honest Company Founder Jessica Alba: Ethics shouldnt be a marketing ploy,0.0,0.732,0.268,0.5106
47,AMZN,2020-09-23,09:00AM,"Peloton Will Now Have to Compete With Amazon, Too",0.0,0.825,0.175,0.1779
48,AMZN,2020-09-23,08:31AM,"US STOCKS-Nike set to lift S&P 500, Dow ahead of business activity data",0.0,1.0,0.0,0.0
49,AMZN,2020-09-23,08:30AM,Its Not Too Late to Profit on FedEx Stocks Big Swing. Heres How With Options.,0.0,0.828,0.172,0.4404
50,AMZN,2020-09-23,08:17AM,Amazon Says Its Not Making the $500 Prime Bike With Echelon,0.0,0.855,0.145,0.1779
51,AMZN,2020-09-23,08:14AM,"Amazon removes the $500 Prime Bike, says it has nothing to do with the Peloton knock-off",0.0,0.898,0.102,0.1779
52,AMZN,2020-09-23,08:13AM,Dow Jones Futures Jump 200 Points As Nike Soars 13% On Earnings; Tesla Dives On Battery Day,0.0,1.0,0.0,0.0
