timestamp,tweet_text,followers_count
2020-09-28 23:45:41,"b'learn trading, get alerts, ideas, updates, analysis \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.co/CmCIV7vIef  $AMD $NVDA $TSLA $NDX $SPY $AAPL $BABA $NFLX $ROKU $BA $COST $MCD $WMT $FB $VIX $ES $DKNG $ADBE $UAVS $CETX $DGLY $VTIQ $INPX $DPW $NTEC $TSLA $AESE $USEG https://t.co/lN2wrdzqo1'",446
2020-09-28 23:45:38,"b'NASDAQ 100 (Sep 28), Top 10 StockMarket Sell Flow Stocks Animated $AAPL $AMZN $MSFT  ... #stocks #stock #StockMarket #Investment #investments #investors #investor #trader #trading #Traders #Options #OptionsTrading #Markets #stockmarkets #NASDAQ #NASDAQ100 https://t.co/FfPbqwgSaG'",4549
2020-09-28 23:45:26,b'welcome to the discord group \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f https://t.co/CmCIV7vIef  $SPY $QQQ $ATH $CCL $AMD $AAPL $MSFY $BA $IMO $Yolo $AMD $NVDA $TSLA $NDX $SPY $AAPL $BABA $NFLX $ROKU $BA $COST $MCD $WMT $FB $VIX  $BA $AMD $INTC $JNJ $MGM $SBUX $SPY $NFLX $FB $COST $MIST $AMZN $INUV https://t.co/smv0Tu6cRE',446
2020-09-28 23:44:49,"b'$AMD Managed to close just over key 79 level today. If it can hold over 79, I like this one for a move to 83.32 next and can see 87, 92.64 above that. Support at 74.  $SPY $AMZN $AAPL $BA $NFLX $TSLA $AMD $ROKU $NVDA $FB $ETSY $SQ $BABA $ZM  @TrendSpider https://t.co/3Q8rdjLYxr'",3240
2020-09-28 23:44:38,b'Join the most profitable trading group https://t.co/CmCIV7vIef  $GOOG $AAPL $SPY $AMZN $TDOC $TSLA $COST $BA $NFLX $NVDA $TWTR $ZM $BABA $FB $DOW $MSFT $QQQ $BB $TSLA $AYRO $NKLA $SAVE $VRM $TRIL  $BBAR $STNG $GLUU $ZNGA $AAL $CACC $ESE $SPCE $FCEL $TRIP $BYND $MRNA https://t.co/39t6QzQB4g',446
2020-09-28 23:42:31,b'What Happened Today in the US Stock Market?  https://t.co/SmmNDTLxnl  $BA $TSLA $AAPL $FVRR $UAL $SPX $SPY $NDX $QQQ #stocks #investing #business #finance #trading',3836
2020-09-28 23:42:30,"b'""Monday\xe2\x80\x99s Markets Were Enough To Make Most Smile!""  https://t.co/0UrRAEuObz $MT $TSLA $PLUG $AAPL $ATOS $INVO $NBSE $HL #investng #stockstowatch #mergersandacquisitions #steelindustry #electricvehicles #hydrogenenergy #biotech #silvereconomy #goldmining'",1015
2020-09-28 23:42:16,"b'""Monday\xe2\x80\x99s Markets Were Enough To Make Most Smile!""  https://t.co/OUIknVObui $MT $TSLA $PLUG $AAPL $ATOS $INVO $NBSE $HL #investng #stockstowatch #mergersandacquisitions #steelindustry #electricvehicles #hydrogenenergy #biotech #silvereconomy #goldmining'",1691
2020-09-28 23:41:29,b'Best stock trade Group out there!  Free chatroom link below! https://t.co/CmCIV7vIef  $AMZN $AMD $SPY $QQQ $ATH $CCL $AMD $AAPL $MSFY $BA $IMO $TRXC $CHK $MGM $MU $NKLA $GDEN $SPY $ONCT $DAL $WFC $JETS $ROKU $NOK $OXY $CCL $ASTX $RCL $DGLY $HTZ $PENN $GMBL $RGR $KTOV $GNUS https://t.co/XOXCzSYCcB',446
2020-09-28 23:40:52,b'Join the most profitable trading alerts chatroom https://t.co/CmCIV7vIef  $SPX $SPY $AMZN $AAPL $AMD $FB $SHOP $BYND $NVDA $GOOGL $MSFT $TSLA $BA $CMG $INTC $NFLX $JPM $BAC $YM $YM_F $NQ $NQ_F $ES $ES_F $GC $GLD $QQQ $WMT $SQ $TLT $BABA $BIDU $ROKU $RTY_F $RTY $iwm $VIX $DIA https://t.co/1LcezuiNvL',446
