timestamp,tweet_text,followers_count
2020-09-17 23:58:29,b'$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube   SM6 - Perfect (Official Music Video)  WATCH HERE --&gt; https://t.co/ROqLRcRFg7 https://t.co/1tQSU5Q3l9',4482
2020-09-17 23:58:22,b'$NURO BOUNCING AFTERHOURS! HUGE UNSEEN NEWS just out! THE CROWD WIIL B HERE\xf0\x9f\x92\xb8\xe2\x9c\x88  $EBON $OAS $AHT $MYO $ENZC $JE $AVEO $BNGO $CRDF $GEVO $BRTXQ $TSLA $NIO $NKLA $CLUB $RIGL $NAK $SRNE $NVUS $LEAS $OPTI $KODK $CTRA $SNOA $SNOW $SPAQ $VXRT $GAXY $ALYI $CODX $SAVA $PLIN $AAPL #stocks https://t.co/BdesDPO6C2',18202
2020-09-17 23:57:47,"b""@MasaSonCap @EntStrategyGuy $AAPL strategy is oriented around the fact that there aren't substantial additional fixed or variable costs per additional user for their gaming and video services. Every additional user is **Marginal Profit**.   They're incentivized to price very low, at-least initially.""",99
2020-09-17 23:57:20,b'2/ Posts by @ISABELNET_SA #FAAMG $FB $AMZN $AAPL $MSFT $GOOGL  https://t.co/ypvMlupXkx',13296
2020-09-17 23:56:28,b'Open your online store (FREE \xf0\x9f\x86\x93 ) on https://t.co/YKSlnTxo1Q start selling and get paid MAS! $NMGC @MERCADOMAGICO \xe2\x96\xb6 https://t.co/blae0H4Rk0   #online #Retail $SNE $AMZN $BABA $WMT $TGT $LOW $NSRGY $EBAY $RKUNY $ETSY $COST $KHC $HAIN $NKE $MSFT $AAPL $DELL https://t.co/7px6sFfUMQ',28325
2020-09-17 23:55:17,"b""@MasaSonCap @EntStrategyGuy $AAPL will likely have a few decent shows and a few decent games. With a few hits in either category, they're going to be able to pull users away from $SPOT.""",99
2020-09-17 23:55:00,b'$dkng $gme $ktov $aapl $rkt $vxrt $ino $tsla $aal $wkhs $kodk $uavs $spy $snow $shll $avgr $srne $nkla $fb $idex  $evfm $msft $spaq $penn $xspa $novn $nio $gevo  WE ALERTED $IBIO at $1.45 RAN TO $7.10 (370% GAIN!!)  Daily Alerts  $15 ONE TIME FEE!  BEAT THAT \xf0\x9f\x91\x87\xf0\x9f\x91\x87 \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',4124
2020-09-17 23:54:37,b'@yatesinvesting @tumtonks Advice I give your clueless clan of cronies. Stop following Yates and the like. Right now technology is discounted. Pick 5 and buy! $AMZN $AAPL $FB and not too late to make a killing on $TSLA this Q. Don\xe2\x80\x99t buy penny crap these guys talk about',29
2020-09-17 23:54:27,b'$spx $spy $aapl $qqq $msft $amzn $googl $fb $tsla $nvda $snow   FINRA: FINRA: Release Real-Time Short Interest Data to the Market - Sign the Petition! https://t.co/zXHgNLkM2I via @Change',242
2020-09-17 23:52:44,b'$NURO BOUNCING AFTERHOURS! HUGE NEWS just out few have seen! 2.50 break by open\xf0\x9f\x92\xb8\xe2\x9c\x88  $EBON $EQ $OAS $PSTV $AHTMYO $JE $AVEO $BNGO $CRDF $GEVO $TSLA $NIO $NKLA $CLUB $RIGL $NAK $SRNE $NVUS $KODK $CTRA $SNOA $SNOW $SPAQ $VXRT $GAXY $ALYI $CODX $SAVA $PLIN $AAPL #stocks https://t.co/iya5doZAm1',18202
