timestamp,tweet_text,followers_count
2020-09-24 17:14:05,b'$AMZN AMAZON ANNOUNCES REDESIGNED ECHO DOT AND ECHO DOT WITH CLOCK  whoa a new shape and a clock!  who says American innovation is dead?',7393
2020-09-24 17:14:02,b'Our $ZM went 13.2 \xe2\x9e\xa1\xef\xb8\x8f 33.5 (+154%) on a FREE play. We are CHANGING THE GAME! We have plays like this everyday in our premium room. Join today for $1/day!  $SHLL $SBE $NETE $RAD $COST $SPAQ $NVDA $AMD $ROKU $AMZN $AAPL $FB $TWTR $DOCU $NKLA $BABA $RKT $SNOW $SPI $KODK $WKHS $VIX $T https://t.co/Rozd82wZPf',1413
2020-09-24 17:13:59,b'$goog and $amzn deserve metals in theta decay',3390
2020-09-24 17:13:56,b'Thanks for the alert &amp; updates https://t.co/HpSpgQ0vTf Best analysis so far!!  $FB $LOVE $WORK $AAL $AMD $MNTA $GLD $TWR $SLV $XOM $WMT $CCL $HD $TSLA $XLE $SPY $IWM $ES $WPX $BA $SPG $MCD $MFA $HTZ $AAPL $CHWY $QQQ $C $ES $AMC $DIS $ZNGA $ZM $PLNT $MGM $SPY $AMD $AMZN $DIS',0
2020-09-24 17:13:39,b'Helped me get my account green all time. Thanks https://t.co/HpSpgQ0vTf  $SPY $ES $ADBE $AMZN $MSFT $AAL $ROKU $BABA $CRM $GOOGL $FB $INTU $MRVL $ATVI $TWTR $ORCL $LRCX $AMD $NVDA $TSLA $NDX $QQQ $AAPL $BABA $NFLX $ROKU $BA $COST $MCD $WMT $FB $VIX $ES $DKNG $ADBE $TONJ',0
2020-09-24 17:12:30,"b""+71% gains on just the stock. One member got +1875%. Stocks that pump don't go away that easily. https://t.co/WXbXomlsm1   $TSLA $JAKK $FLDM $SOLO $MRNA $KIRK $AMZN $FB $PYPL $BYND $MSFT $BA #stockmarket""",0
2020-09-24 17:12:26,b'Our custom algo picked up this one. Buy at the bottom and exit at the top.https://t.co/WXbXomlsm1   $TSLA $JAKK $FLDM $SOLO $MRNA $KIRK $AMZN $FB $PYPL $BYND $MSFT $BA #stockmarket',0
2020-09-24 17:12:22,b'$BTC $ETH $LINK $XTZ $EOS $BCH $COMP $ADA $VET $ETH $LTC $XRP $LINK $BNB $BCH $THETA $ADA $TRX $TZX $AMZN $SPY $XVG $DDTG $XLM $USDT $OOTD $ATOM $VET $ZIL $KMD $FB $ZEC $HBAR $HTZ $AAPL $DAL $CCL $TSLA $LEND  Best discord group for the traders join here https://t.co/Nl7WToUOWU https://t.co/Ue9PP4xaGa',4
2020-09-24 17:12:04,"b""Docusign sold off 30% in two days  What are you guys talking about that it has nto moved down as much as the FAANG names ?  @ScottWapnerCNBC @HalftimeReport   $DOCU  and they are growing rapidly, and beat on t/b  Amazon had a 20% selloff from $3550  $AMZN  That's pretty major""",198
2020-09-24 17:11:31,b'Damn I love you $AMZN \xf0\x9f\xa5\xba',2148
2020-09-24 17:11:04,b'$amzn announces new echo devise event . I still haven\xe2\x80\x99t opened this one yet https://t.co/GaBqiMuCX4',19114
2020-09-24 17:10:20,"b""Spotify CEO to invest over $1 billion of his own wealth for 'moonshot' bets in Europe $SPOT $AMZN $MSFT $BABA https://t.co/i8cYHrwnZO""",4531
2020-09-24 17:10:05,b'AMAZON ANNOUNCES REDESIGNED ECHO DOT AND ECHO DOT WITH CLOCK  $AMZN',364
2020-09-24 17:10:03,b'$AMZN announces new spherical echo device - event',981
2020-09-24 17:09:47,b'Thanks for the alert &amp; updates https://t.co/Nl7WToUOWU Best analysis so far  $FB $LOVE $WORK $AAL $AMD $MNTA $GLD $TWR $SLV $XOM  $WMT $CCL $HD $TSLA $XLE $SPY $IWM $ES $WPX $BA $SPG $MCD $MFA $HTZ $AAPL $CHWY $QQQ $C $ES $AMC $DIS $ZNGA $ZM $PLNT $MGM $SPY $AMD $AMZN $DIS https://t.co/1xWHWVX7VQ',4
2020-09-24 17:09:40,b'$SPY $QQQ $AMZN latest from top live blog on bloomberg https://t.co/62VMm7zqq5',129
2020-09-24 17:09:36,b'The same design comes to the Echo Dot and Echo Dot with clock. $49.99 and $59.99  #amazondevices $AMZN $APPL $GOOG https://t.co/sUnuf3imCq',2047
2020-09-24 17:09:09,b'Helped me get my account green all time. Thanks https://t.co/gLBYeXjzUY \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x91\x8f\xf0\x9f\x93\x88\xe2\x98\x9d\xef\xb8\x8f $SPY $ES $ADBE $AMZN $MSFT $AAL $ROKU $BABA $CRM $GOOGL $FB $INTU $MRVL $ATVI $TWTR $ORCL $LRCX $AMD $NVDA $TSLA $NDX $QQQ $AAPL $BABA $NFLX $ROKU $BA $COST $MCD $WMT $FB $VIX $ES $DKNG $ADBE $TONJ https://t.co/DfMU7qwvcL',640
2020-09-24 17:08:58,b'via DeItaOne: $AMZN ANNOUNCES NEW SPHERICAL ECHO DEVICE - EVENT $amzn',357
