timestamp,tweet_text,followers_count
2020-09-17 21:53:09,b'Scan results - MACD Bullish Signal Line Cross today: $LGF.A $TSE $HUN $HIW $DAO $LAMR $COP $BHP $VIR $MAXR $AMCX $CNO $HEES $AMCR $CFX $ALE $OSK $CF $STWD $JKHY ... https://t.co/iZXEaJkLwI',8537
2020-09-17 20:52:56,"b""Thursday's Top Flow in #energy sector, Buy Flow &amp; Sell Flow $MPC $COP $KMI $HAL $NOV $MRO $HES $SLB $CVX $SE $WMB $VLO $PSX $PXD $EOG $XOM $NBL $OKE $APA $EQT #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas https://t.co/5JE2nlrW3B https://t.co/Sxf6pkmbIU""",4540
2020-09-17 20:33:48,"b'$xle $cvx $xom $eog $psx $cop $slb $kmi - energy may have found a near term bottom. Saudi Oil minister daring shorts to ""make his day""'",664
2020-09-17 20:20:56,b'$COP Rising Price and Volume Daily appearances since 2010: 133 Close 5 days later \xc2\xb1: Avg: 0.06 SD: 2.04 Worst: -5.91 Best: 8.12  10 days later: Avg: 0.29 SD: 3.00 Worst: -10.48 Best: 7.07  30 days later: Avg: 0.90 SD: 4.52 Worst: -13.87 Best: 10.57',289
2020-09-17 19:10:44,"b""@SamirKayande Don't forget SinoPec paying up for $COP's Syncrude stake/ https://t.co/zPya2pg82p""",2241
2020-09-17 17:08:31,b'$COP Conocophillips Option Order Flow Sentiment has Turned from Bearish to Bullish. https://t.co/hSPvUnDgWI',4349
2020-09-17 16:42:19,"b'Mid-day Red to Green with trading range &gt; 80% (Min $5, Vol &gt; 750K, Opt Vol in any strike 250): $BLNK $AQST $FMCI $X $DKNG $WRK $CLF $EGO $CDE $CF $GPN $WBA $COP $VALE $PTON $IP $TECK $NYCB $MRVL'",2368
2020-09-17 16:41:49,"b'Today Top Flow in #energy sector, Buy Flow &amp; Sell Flow $SLB $COP $WMB $OXY $EQT $CVX $HAL $SWN $NOV $BTU $XOM $SE $HES $EOG $OKE $MPC $COG $KMI $VLO $CNX #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas https://t.co/B7BWRcVOEf https://t.co/TbkVxROpBS'",4002
2020-09-17 16:32:40,"b""In a bad tape today, its interesting to see what's green or UNCH'd on my screen: $DBC, $COP, $GE, $X, $DE, $LMT, $SCZ. Relative strength on display.""",285
2020-09-17 16:25:24,"b'OPEC+ could hold extra October meeting if oil market gets worse, Reuters says $BP $COP $TOT $XOM $CVX $RDS.A'",1346
2020-09-17 16:04:00,"b'$COP ConocoPhillips to Hold Third-Quarter Earnings Conference Call on Thursday, Oct. 29 https://t.co/V4JkDFQnqY'",4636
2020-09-17 16:02:59,"b'NEWS RELEASE: ConocoPhillips to Hold Third-Quarter Earnings Conference Call on Thursday, Oct. 29 $COP https://t.co/skTwJGHmx3'",1304
2020-09-17 16:02:41,"b'Trending stocks on https://t.co/F4i3VqKZ25 on 2020-09-17 : $ALL, $BME, $BP, $CAT, $CCL, $CL, $CNQ, $COP, $CP, $CRDA'",3377
2020-09-17 16:01:17,"b'$COP [15s. delayed]: Issued Press Release on September 17, 12:00:00: ConocoPhillips to Hold Third-Quarter Earnings Conference Call on Thursday, Oct. 29 https://t.co/G2pQilq8l6'",1410
2020-09-17 15:56:00,b'ConocoPhillips $COP Given Consensus Recommendation of \xe2\x80\x9cBuy\xe2\x80\x9d by Brokerages https://t.co/bQ84IQCLKd #stocks',7987
2020-09-17 15:45:06,"b'Today Top Flow in #energy sector, Buy Flow &amp; Sell Flow $OXY $COP $SLB $EQT $CVX $WMB $HAL $NOV $RIG $RRC $SE $XOM $HES $EOG $VLO $MPC $PSX $OKE $COG $KMI #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas https://t.co/5JE2nlrW3B https://t.co/8czUZP3BLI'",4540
2020-09-17 15:31:50,"b'\xf0\x9f\x97\x93\xef\xb8\x8f  $COP 2021-02-19 C $46  Bid-Ask: $0.84 - $0.93 Interest: 60 Volume: 697 IV: 42.15% % Diff: 30.35% Underlying: $35.29 Daily $ Volume: $61,684.50 Sector: Basic Materials \xf0\x9f\x97\x93\xef\xb8\x8f  Find out more at: https://t.co/LZJwkRhL61'",18180
2020-09-17 14:17:24,b'Guys i made 3k to 43k after joined this room. https://t.co/J86QCVviMG  $PINS $SOLO $MPC $HPQ $SMH $COP $FXI $LYFT $DVN $NOV $MDT $LVS $UNP $SLV $HD $SPXS $UAA $X $LOW $UA $LRCX $JNK $HBI $CLR $PEP $IIVI $FE $LQD $DOCU $PLD $TXN $MAR $ABT $MO $KIM $NUGT $DNR $BBBY $FHN $UPS $IBIO',0
2020-09-17 14:14:54,b'Reversed from Down today: $WU $NSC $CCC $ADAP $ALLT $PWR $CLR $AMBO $ODFL $PARR $SANM $AZUL $QNST $DVN $COP ... https://t.co/uuYYhupj1A',8537
2020-09-17 12:18:34,"b'2020-09-16 Top Buy Stocks: $AFL, $CNQ, $COP, $FHN, $T, $XOM  https://t.co/tBGsRsvDHf'",4613
2020-09-17 11:47:40,b'$COP in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/OlsYaxKp4U #ConocoPhillips #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/8Xdnbu7tG0',6355
2020-09-17 08:42:46,b'$XOI US ARCA Oil top: $VLO $EOG $COP $XOM. Selected by our stock screener: https://t.co/aYMMPANBJT #stocks  #valueinvesting #valuation',1854
2020-09-17 07:03:20,"b'""Sourced from our custom coded algo-alerts and alerted live in chat.""!!!  https://t.co/6sozXOwP6E   $CODX $LAKE $INO $MRNA $IBIO  $ASPN $BRBR $NOMD $POST $SMPL $SOTK $TWNK $AAP $ALTR $BDC $BJ $BOKF $CF $COP $CPE $CTVA $DERM $DLTR $FCEL $FSB $GLOP https://t.co/pA3JR1Sjif'",59
2020-09-17 02:36:36,b'StockTwits Trending Alert: Trading recent interest in CONOCOPHILLIPS\xc2\xa0$COP https://t.co/SSd0fIzY3I',1255
2020-09-17 02:34:14,"b'Thursday (9/17/2020):  $COP  $WFC   $EMR   are our stock suggestions for selling short. More information about sell price range, charts, expected sell returns and option prices are given in our Closing Bell video (9/16/2020... https://t.co/Uvc9KFadMg'",111
2020-09-17 01:19:31,"b'Tomorrow\xe2\x80\x99s #watchlist for #NYSE, #NASDAQ between $30 and $40: $ACAD $ALBO $ALLO $APPS $BAM $BBIO $BLDR $BPOP $CARR $COP $DAL $DISH $DNLI $EWW $FANG $FL $FLGT $FWONK $GM $HIBB $INSM $ITCI $KC $KKR $KOLD $L $LSXMA $LSXMK $MPC $NET $NUAN $PFF $PLCE $RVNC $SCHW $SGMS $SVXY $TNA'",467
2020-09-17 00:18:26,b'$BWA! $I $AM $TWO $HUBS $AGO $IM $ONE $GRAM $AT $MEN $SWAY $AT $A $COP',233
