timestamp,tweet_text,followers_count
2020-09-18 21:25:36,"b""Friday's Top Flow in #energy sector, Buy Flow &amp; Sell Flow $PSX    $VLO $MPC $COP $NBL $RRC $NOV $SE $CNX $EQT $WMB $XOM $CVX $APA $RIG $MRO $DVN $KMI $SLB $OXY #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas https://t.co/5JE2nlalc3 https://t.co/9OpqYqqQ2n""",4540
2020-09-18 20:21:10,b'$COP Three White Soldiers Daily appearances since 2010: 23 Close 5 days later \xc2\xb1: Avg: 0.27 SD: 2.48 Worst: -7.15 Best: 5.29  10 days later: Avg: 0.02 SD: 4.26 Worst: -12.65 Best: 7.73  30 days later: Avg: -0.51 SD: 5.90 Worst: -13.70 Best: 11.93',289
2020-09-18 19:16:19,"b'Steel Dynamics $STLD To Reveal New Significant Investment In Company From Major Wall Street Investment Firm, Announcement Pending https://t.co/BnESoqsmxY  $DCAC $VMGI $GLW $CCTL $WPX $ITUB $FOXA $DRNA $GPS $COP $BK $PF $UBQU'",4482
2020-09-18 18:51:02,b'short ratio interest of $CQP is 21.39 at 2019-05-31 https://t.co/4JEkzvcwDe $DCP 13.28 $CVX 1.93 $COP 1.33 $LNG 3.36',215
2020-09-18 18:46:37,b'Day trader alert! #ENERGY sector value =  The most overvalued symbol is $COP.  The most undervalued is $HAL.  Check the link in our bio to see how we get our data.  #SectorSifter #XLE #Alpha #Trading #DayTrading #SwingTrading',476
2020-09-18 17:09:50,"b'Today Top Flow in #energy sector, Buy Flow &amp; Sell Flow $EOG $VLO $SE $PXD $HES $WMB $APA $RRC $SWN $EQT $XOM $CVX $PSX $SLB $COP $MPC $KMI $OXY $HAL $COG #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas https://t.co/B7BWRcVOEf https://t.co/IYv31X24E4'",4002
2020-09-18 15:06:48,"b'Today Top Flow in #energy sector, Buy Flow &amp; Sell Flow $EOG $VLO $PXD $HES $APA $SE $WMB $EQT $RRC $SWN $XOM $CVX $SLB $COP $PSX $KMI $MPC $HAL $OXY $COG #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas https://t.co/5JE2nlrW3B https://t.co/w51iiOqfG6'",4540
2020-09-18 14:53:57,"b""Rose Above Previous Day's High today: $EPAC $HUM $GBT $YINN $DPZ $MED $LPL $MBUU $OCN $COP $SBNY $AAP $ARKW $NFE $GXC $ADIL $BEAT $CRVL $INTC $MITK ... https://t.co/TBYRpvrFqi""",8537
2020-09-18 14:20:42,b'$COP Was up 1.00 %. Turned negative -1.72 % | (Green to red move) https://t.co/4Bb5c2FLIr https://t.co/N07liO8aY0',4502
2020-09-18 14:16:38,"b'$COP Another energy name with a quant momentum buy signal, these names keep rolling in so that space may be ready to run. https://t.co/PjHhOeSvrX'",65
2020-09-18 12:18:00,b'$COP in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/vN8Yp50Wm3 #ConocoPhillips #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/nF8Naz3R43',6355
2020-09-18 11:18:02,b'Short sale volume (not short interest) for $COP on 2020-09-17 is 60%. https://t.co/Bp46a6Mkkh $BP 36% $MRO 52% $CVX 51% $PTR 55%',3338
2020-09-18 10:02:48,b'ConocoPhillips - $COP  \xf0\x9f\x92\xb0 QUOTE $COP was UP \xe2\xac\x86 on Thu Sep 17 Closed at 36.09 USD for a 2.88% gain from previous close \xf0\x9f\x93\x88 \xf0\x9f\x93\x88 \xf0\x9f\x93\x88  \xf0\x9f\x93\x8a ANALYSIS ConocoPhillips should be nationalized \xe2\x98\xad \xe2\x98\xad \xe2\x98\xad',89
2020-09-18 10:00:12,b'#ConocoPhillips $COP BidaskScore is Upgraded to Sold https://t.co/PIgtnpO3dE',204
