timestamp,tweet_text,followers_count
2020-09-30 23:49:00,b'After day trading for 10+ years I would really recommend switching your platform to Webull.  You get to trade for 16 HOURS a day! A game changer! Sign up here now for 2 FREE stocks worth $12 - $1400!  https://t.co/1k4eGoWwLr -   $avgo $chtr $gsk $abbv $wmt $pypl $cvx $idex 3',3
2020-09-30 23:43:53,b'Dow30 Stocks QTD%    $CRM $NKE $AAPL $MCD $CVX $CSCO https://t.co/UtHlOERBfq',5375
2020-09-30 22:57:07,b'@rihanna $V $PM $UNH $MMM $WFC $BTI $NVS $HD $NVO $COST $FIS $HDB $BA $DHR $MCD $TM $JNJ $DIS $BMY $NEE $CVX $ISRG $JPM #money #robinhood https://t.co/uddKC6DqOR',4344
2020-09-30 22:52:00,"b'$EFA iShares MSCI EAFE ETF Option Alert: Jan, 2022 $55 Puts at the Bid: 6000 @ $3.38 vs 11269 OI; Ref=$63.65 [9/30/2020, 10:39:50 AM] [+$500k Sweeps Above Midpoint] Other Sweeps on: $CVX $HCA $JD $JNJ $CTVA $GOOGL $CCXX $WBT $AVGO $CZR $DISH $TITN'",759
2020-09-30 22:51:58,"b""Wednesday's Top Flow in #energy sector, Buy Flow &amp; Sell Flow $WMB $KMI $EOG $PSX $OKE $HAL $PXD $MPC $NBL $APA $XOM $VLO $SE $CVX $CNX $RRC $EQT $MUR $HP $MRO #stock #stocks #StockMarket #investments #investing #Markets #OilPrice #Oil #oilandgas https://t.co/5JE2nlrW3B https://t.co/lPSffWriRh""",4561
2020-09-30 22:50:07,b'So is $COG waiting for natural gas to get above $4 to launch that $EQT bid? Or just for $EQT to close $CVX?  Let\xe2\x80\x99s get this consolidation party going in the Marcellus. Don\xe2\x80\x99t let the \xe2\x80\x98Boys From Oklahoma\xe2\x80\x99 have all the M&amp;A fun. #OOTT #EFT #Shale #oil #oilandgas #Ragweed #RiceBros',1493
2020-09-30 22:34:04,b'\xe2\x9e\xa1 If you are a TRADER looking for a new tool.     \xe2\x9e\xa1 Check out \xe2\x9f\xb6 https://t.co/yJG7NzG2rF  Automated Trading Strategies US markets  #DataScience #MachineLearning #Investing $BAC $WFC $UBER $XOM $JPM $HBAN $CVX $SPR $KSS $CNC https://t.co/y7PGFCB1TA',143250
2020-09-30 22:22:34,"b""New monthly candle  ,let's what it brings .  $SPY $DJIA $DJI $QQQ $FB $GOOG $AMZN $MSFT $SQ $SHOP $DIS $NFLX $INTC $NVDA $AMD $CRM $ADBE $INTC $WMT $HD $PG $T $PYPL $TWTR $MU $AAPL $TSLA $PFE $ETSY $ATIV $PENN $SBUX $MCD $JPM $BAC $WFC $C $BRK.B $XOM $CVX $NIO $KO $V $MA $IBM $BA""",197
2020-09-30 22:19:07,b'$.INX 3370.32 $RRC 6.8 $EQNR 14.1 $TRP 43.31 $TOT 34.79 $CVX 72.49 $COP 33.01 $EC 9.9 $PBR 7.1 $KMI 12.55 $DVN 9.67 $CEO 97.12 $EOG 36.45 $XOM 34.61 $RDS.A 25.42 $MRO 4.17 $BP 17.62 $OXY 10.21 https://t.co/gm21MzZqDI',2319
2020-09-30 21:59:10,b'September Top 100 Recap \xf0\x9f\x8f\x86  Biggest Winner: 1. $UPS #64 \xe2\x9e\xa1\xef\xb8\x8f #56 (+8)  Biggest Loser: 2. $CVX #51 \xe2\x9e\xa1\xef\xb8\x8f #63 (-12)  Top 10 Changes: \xe2\x80\xa2 $BABA dashed by $FB into the Top 5  \xe2\x80\xa2 $MSFT moved past $AMZN to #2  New Entries To Top 100: \xe2\x80\xa2 $UN #103 \xe2\x9e\xa1\xef\xb8\x8f #97  Leaderboard \xe2\x9e\xa1\xef\xb8\x8f https://t.co/UzkEwV56bf https://t.co/pIlQV9eYMB',1605
