timestamp,tweet_text,followers_count
2020-09-17 23:59:52,"b'\xe2\x9a\xa0\xef\xb8\x8f $FB Retest of 259 is imminent! Over 259, 263 -&gt; 270. If the retest fails, flush to 245 (100 EMA on the daily is at that price) \xe2\x9a\xa0\xef\xb8\x8f'",38
2020-09-17 23:58:29,b'$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube   SM6 - Perfect (Official Music Video)  WATCH HERE --&gt; https://t.co/ROqLRcRFg7 https://t.co/1tQSU5Q3l9',4438
2020-09-17 23:58:22,"b'$FB  Facebook, Inc. https://t.co/H0vNF5oyNH'",589
2020-09-17 23:57:20,b'2/ Posts by @ISABELNET_SA #FAAMG $FB $AMZN $AAPL $MSFT $GOOGL  https://t.co/ypvMlupXkx',13302
2020-09-17 23:56:45,b'Wrapping up the week with one of my largest single profits of the year so far\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc locked in a killer $21K profit on some $FB puts today \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc https://t.co/E16ATjIFfb',11355
2020-09-17 23:56:15,b'$TGT @Target  Target vs $NMGC @mercadomagico  MercadoMagico https://t.co/Fp1QWHwP4L $BABA $AMZN  $EBAY $JPM $MS $WFC $BAC $C $FB $GOOG  https://t.co/lXwIjkB64k',28324
2020-09-17 23:55:01,"b""\xf0\x9f\x93\x88: https://t.co/bpyB3RIJWl Most active #stocks NASDQ \xf0\x9f\x94\xa5: $SRNE, PENN, DKNG, MAT, PTON, $FB, EBAY, TERP, ILMN, $INO,  NYSE\xf0\x9f\x94\xa5: $GE, F, AIG, LUV It's strange, most NYSE stock price changes were within -3  -  +3%. Market will not dip further \xe2\x81\x89\xef\xb8\x8f""",79
2020-09-17 23:55:00,b'$dkng $gme $ktov $aapl $rkt $vxrt $ino $tsla $aal $wkhs $kodk $uavs $spy $snow $shll $avgr $srne $nkla $fb $idex  $evfm $msft $spaq $penn $xspa $novn $nio $gevo  WE ALERTED $IBIO at $1.45 RAN TO $7.10 (370% GAIN!!)  Daily Alerts  $15 ONE TIME FEE!  BEAT THAT \xf0\x9f\x91\x87\xf0\x9f\x91\x87 \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',4160
2020-09-17 23:54:46,b'$NURO BOUNCING AFTERHOURS! HUGE NEWS just out few have seen!  Eyes will B on this TINY FLOAT #BIO SOON. 2.50 break by open  $ZM $FB $SPY $AMD $QCOM $TWTR $SPAQ $NIO $NKLA $ATT $BA $NVDA $PYPL $AMZN $SQ $SNOW $CSCO $BP $TSLA $DJI $TSLA $WMT $MSFT $SPAQ $SHLL $TSLA $NKLA $WKHS $NIO https://t.co/zagRygodOq',18213
2020-09-17 23:54:37,b'@yatesinvesting @tumtonks Advice I give your clueless clan of cronies. Stop following Yates and the like. Right now technology is discounted. Pick 5 and buy! $AMZN $AAPL $FB and not too late to make a killing on $TSLA this Q. Don\xe2\x80\x99t buy penny crap these guys talk about',31
2020-09-17 23:54:27,b'$spx $spy $aapl $qqq $msft $amzn $googl $fb $tsla $nvda $snow   FINRA: FINRA: Release Real-Time Short Interest Data to the Market - Sign the Petition! https://t.co/zXHgNLkM2I via @Change',241
2020-09-17 23:50:22,b'This $FB chart is going to be a sick trade once it has more time to rest. https://t.co/prtLpQ5av7',2288
2020-09-17 23:50:00,b'$ibio $xspa $vxrt $wkhs $mark  $jcpnq $srne $tsla $kodk $nio $dkng $fb $evfm $aapl $ino $snow $ktov $avgr $spy $lca $mark $aal $cydy $spaq $tptw $idex $nkla $msft  WE ALERTED $NOVN at $.50 RAN TO $1.30 (160% GAIN!)  Daily Alerts  FREE TRIAL!   BEAT THAT\xf0\x9f\x91\x87\xf0\x9f\x91\x87  \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',94
2020-09-17 23:47:05,"b""Today's Stock Market Close   $GOOGL $AMZN $AAPL $TSLA $MSFT $FB $TWTR $C $GE $WMT $SPY $NFLX $SAM $FICO $JOBS $VZ $SNOW $JPM https://t.co/Xpva2YbVOY""",14301
2020-09-17 23:45:49,"b""@cap_zay @JerryCap @AutumnCapital @junkbondinvest I'm glad you're finally coming around to using a cap rate for $FB as always should have been the case. Their NOI is growing off the charts.""",10449
2020-09-17 23:45:00,"b'@PythiaR @JerryCap @AutumnCapital @junkbondinvest $FB\'s NAV based on a 2.8% cap rate is XX rising YY% from 2019. Lol.   With $BAM, its a conglomerate of funds of private assets which aren\'t marked to market (obviously)... It\'s where these """"""""independent"""""""" valuation consultant shenanigans come from.'",1985
2020-09-17 23:41:57,b'$FB options chart expired in 4 months https://t.co/aXvJdiT976 https://t.co/GXxtARD3Rl',6
2020-09-17 23:40:06,b'$GE options are so active  https://t.co/YGaS89pPoN  $TSLA $FB $NKLA https://t.co/RK2LU05YTh',6
2020-09-17 23:40:00,b'$wkhs $snow $nio $tsla $nkla $ino $idex $spaq $penn $rkt $kodk $shll $aal $fb $dkng $novn $ktov $evfm $vxrt $mrna $gme $ibio $spy $avgr $mara $xspa  $gevo $aapl $msft  WE ALERTED $SRNE at $7 RAN TO $19 (170% GAIN!)  Daily Alerts   FREE TRIAL!  BEAT THAT\xf0\x9f\x91\x87\xf0\x9f\x91\x87  \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',94
2020-09-17 23:39:30,b'@aoueseph @myclosetdoor @NeilMakhija @JoeBiden Yes I agree \xf0\x9f\x92\xaf.. $FB is a hotbed of complete disinformation and rabid conspiracy theories ..it\xe2\x80\x99s worrisome',485
2020-09-17 23:38:58,b'zuckerberg has too many voting shares $FB https://t.co/Tkg5qnO3wL',237
2020-09-17 23:35:58,b'$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube   IWaata - NTN (Official Music Video)  WATCH HERE --&gt; https://t.co/4YGKESDOCw https://t.co/0IKY8ug9h9',4438
2020-09-17 23:35:00,b'$xspa $lca $vxrt $ino $dkng $aal $novn $kodk $uavs $jcpnq $tsla $srne $evfm $snow $penn $aapl $spy $spaq $gevo $msft $ktov $ibio $shll $nkla $rkt $idex $fb $wkhs $mara  WE ALERTED $NIO at $6.10 RAN TO $18 (200% GAIN)  Daily Alerts  $15 ONE TIME FEE  BEAT THAT \xf0\x9f\x91\x87\xf0\x9f\x91\x87 \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',4160
2020-09-17 23:34:52,"b'@PythiaR @JerryCap @AutumnCapital @junkbondinvest He can! use shares as collateral and short $FB vol until it gets to an ""appropriate"" level.'",1985
2020-09-17 23:34:43,"b'8 Months! Stock Traders, The Media, Analysts &amp; The Liars At CNBC Beware!  $tst $iep $ko $brk $ba $bhc $hlf $ibm $msft $crm $nke $mcd $fb $ge $gm $wmt $tgt $luv $btc $f $pg $amzn $aapl $hd $tsla $nflx $intc $gp $ms $gs $jpm $bac $c $goog $fb $lyft https://t.co/2E1F7qxGMw'",130
2020-09-17 23:32:36,"b'@JerryCap @AutumnCapital @PythiaR @junkbondinvest Intrinsic value, and who determines that? a $FB ""independent"" valuations committee? https://t.co/U1Nu2vsH3q'",1985
2020-09-17 23:32:26,"b'@MerschMax_ @JulienThevenard imagine $fb giving out equity with every user account. presumably we might have a different facebook. but then again, zuck likes having difficult problems to solve.'",19033
2020-09-17 23:31:09,"b'Market Recap For September 17th, 2020 | Stocks Slide  https://t.co/lpG4U97n9N   $amzn $tsla $nvda $aapl $shop $dkng $sbux $wynn $aal $nclh $fb $qqq $ibb $crm $splk $ntap $wsm #stockstowatch #stocks $abt $wmt $aimt $ulta $wday $hpq $zm #NASDAQ $nkla $pton $spce $penn $rh'",0
2020-09-17 23:29:30,b'#Hertz Has Bad Greedy Management As The Stock Price Goes To Zero  $tst $iep $ko $brk $ba $bhc $hlf $ibm $msft $crm $nke $mcd $fb $ge $gm $wmt $tgt $luv $btc $f $pg $amzn $aapl $hd $tsla $nflx $intc $gp $ms $gs $jpm $bac $c $goog $fb $lyft $htz $uber $lyft https://t.co/pKglygwT1V',130
