timestamp,tweet_text,followers_count
2020-09-23 23:56,b'$FB Chart D1 https://t.co/D9HuaNxsFl',84
2020-09-23 23:55,b'$FB and $BABA have had very similar revenue growth and very similar price/sales ratios for the past 5 years: https://t.co/vzT2mGZOEG',71029
2020-09-23 23:51,"b""I've made  35k with them . If you  want to make Good profit in Trading.... \xe2\x8f\xac Choose this Professional  ChatRoom \xe2\x9c\x85https://t.co/9TuBjNvNDF  \xe2\x98\x91\xef\xb8\x8f $BABA $AMD $NFLX $FB $PENN $DAL $TSLA $AAPL $AAL $SPY $AMZN $NVDA $BA $IGAZ $QQQ $UBER $TWLO $TWTR $TVIX $DKNG $INO $PYPL $SPX  \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/yRnpklg710""",352
2020-09-23 23:50,b'Are you bullish or bearish?   $aapl $tsla $amzn $fb $spy $qqq $iwm $nflx $zm $msft $nflx $fsly $wmt $crm $lulu',199
2020-09-23 23:50,b'$gme $dkng $ino $penn $msft $boxl $ibio $lca $mark $tsla $ktov $spaq $nkla $idex $aapl $spy $kodk $xspa $vxrt $avgr $jcpnq $wkhs $evfm $aal  $srne  $nio $blnk $fb   WE ALERTED $NOVN at $.50 RAN TO $1.30 (160% GAIN!)  Daily Alerts  FREE TRIAL!  BEAT THAT  \xf0\x9f\x91\x87\xf0\x9f\x91\x87  \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',114
2020-09-23 23:50,"b'Best trading community, GET STOCKS &amp; OPTIONS ALERTS: https://t.co/3ts90sNtzD  $SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $NIO $INO $OXY $CCL $FB $USO $DAL $TWLO $UGAZ $DIS $ROKU $TVIX $CRON $DJIA $SPX $TLRY $SQ https://t.co/LlaImhX8Vk'",50
2020-09-23 23:47,b'@lwinthorpe3rd @GerberKawasaki OMG! @gerberkawasaki posted this video on $fb. Ross actually thinks this is a good look for him.....\xe2\x80\x9dbet your life? Bet your life?\xe2\x80\x9d $tsla #tslaq',26
2020-09-23 23:47,b'$SPOT 100% ROI \xf0\x9f\x8e\xb6 $QQQ 100% ROI \xf0\x9f\x93\x89 $SQ 150% ROI \xf0\x9f\x92\xb3 $DGLY 150% ROI \xf0\x9f\x93\xb7 $TQQQ 25% ROI \xf0\x9f\x92\xbe  5/7 plays strike big!  The rest of September is only $10!   Message me to join!  $AAPL $MSFT $AMZN $FB $NFLX $NVDA $GOOGL $SPY $DIA $AMD $ZM $BYND $BA $BABA $DAL $WMT $HD $GS $COST $MA $WORK $Z https://t.co/OjRAuvhrcg https://t.co/KNYsvOKf5h',673
2020-09-23 23:45,b'$nkla $evfm $spi $idex $opti $gme $boxl $jcpnq $tsla $avgr $lca $srne $novn $ibio $spaq $msft $wkhs $blnk $shll $vxrt $spy $nio $sunw $xspa $aal $aapl $ino $fb  WE ALERTED $GEVO at $.58 RAN TO $2.18 (275% GAIN!)   Daily Alerts   $15 ONE TIME FEE!  BEAT THAT \xf0\x9f\x91\x87\xf0\x9f\x91\x87 \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',4186
2020-09-23 23:44,"b""What's on your shopping list for these drops?   I'm  eyeing $FSLY $WYNN $CHWY $AAPL $MELI $SE $SBUX $MAR $PK $REML $SPAQ $RKT $MJ $LMNX $JPM $FB  and if they get low enough (need at least another 20% drop) i'll grab some airlines / cruisers $DAL $NCLH $ALK $RCL  (1/2)""",2587
2020-09-23 23:42,b'$SPOT $TSLA $QQQ $SQ $CHWY $DGLY $TQQQ were the plays today!  5/7 of these plays were wins!  71% Win Rate!  Stop missing out! The rest of September is only $10!  $AAPL $MSFT $AMZN $FB $NFLX $NVDA $GOOGL $SPY $DIA $AMD $ZM $BYND $BA $BABA $DAL $WMT $HD $GS $COST $MA $WORK $SHOP $F https://t.co/buwwaGVwIt',673
2020-09-23 23:41,"b'FED freedom in the room.  How long will it las?  Or how much armour still available? If it is few, FED should use it wisely.  $SPX $SPY $ES_F $DJI $QQQ $NDX $FB $AMZN $AAPL $MSFT $NFLX $GOOGL $TSLA #TRMX https://t.co/mv3mTqcnip'",8
