timestamp,tweet_text,followers_count
2020-09-20 23:45:26,"b""Tomorrow's Watchlist $spy $baba $ba $f $aapl $nio $wmt $dal $spx (needs to hold 3300 or I buy puts and sit out.) $googl $amzn If you guys like the content be sure to keep donating thanks for everything! Will do market analysis tomorrow! Enjoy your nights!""",917
2020-09-20 23:36:01,b'Where Will Electric Vehicles Be in 5 Years? @themotleyfool #stocks $F $TSLA $NSAN.Y $NKLA https://t.co/3lb3gnfEmN',98
2020-09-20 23:27:11,b'The Snowflake IPO was the first IPO Warren Buffett bought into since Dwight D. Eisenhower lived in the White House and Ford Motor Co. started trading in 1956. $SNOW $F $SPY $QQQ $DJIA $DIA #stockmarket #investing #finance #stocks $AAPL $TSLA $AMZN $INTC $NFLX $AMD #economy',21683
2020-09-20 23:26:14,b'@cbotnyse @agusnox So less than half of $F Ford\xe2\x80\x99s F-series lineup with less profit.',101
2020-09-20 22:44:15,b'3 Companies Tesla Should Be Worried About in 2021  $TSLA $SEDG $F  https://t.co/mLOXtYCPff',30185
2020-09-20 22:38:00,b'$SPY $FB $CHWY $PTON $DIS $F $ADBE $CSCO $JPM $CCL $MGM $IWM $HD $Vidt $QQQ Get instant updates and free trading analysis click here https://t.co/C3S4cBMx6B https://t.co/VZt2erX5TW',93
2020-09-20 22:35:27,b'$F Daily https://t.co/WVyB93rrXc',1209
2020-09-20 22:18:00,b'$AAPL $GOOG $GLD $QQQ $SPY $VFF $TLRY $KBH $LEN $GE $T $F $GM $TSLA $HTSC $GRNF $MTCH $RIOT $MARA $IRRZF $KOAN $INTC $IBO  Best discord group for the traders join here https://t.co/C3S4cBuVI1 https://t.co/Zt3zbY3Dxg',93
2020-09-20 22:08:00,b'$AAPL $GOOG $GLD $QQQ $SPY $VFF $TLRY $KBH $LEN $GE $T $F $GM $TSLA $HTSC $GRNF $MTCH $RIOT $MARA $IRRZF $KOAN $INTC $IBO  Best discord group for the traders join here https://t.co/C3S4cBMx6B https://t.co/PB9a6Um8Wj',93
2020-09-20 21:36:14,"b""Hey, @Ford! Why aren't you selling these in the U.S. yet? You do realize #vanlife is pretty popular here, right? Make it full electric like your upcoming F150 and you'll sell out immediately while taking market share from the RV companies. $F https://t.co/KXJrqt7LSG""",7262
2020-09-20 21:13:05,b'How To Play Snowflake Stock Now $SNOW Also $F $GM $AMZN $DELL https://t.co/qSK45Dfs9Y',4021
2020-09-20 21:11:14,b'@Tesla leads all other car makers in Electric Vehicle Sales with no other Automotive manufactures close  #ElectricCars #tesla #stocks #StockMarket  $TSLA $F $GM $NKLA $NIO $BLNK https://t.co/Qge8PiLa7g',16676
