,timestamp,tweet_text,followers_count
0,2020-09-23 23:50:00,b'Vaccine stocks up $NVAX $AZN $JNJ. I have a sense that some investors will likely buyin on these while selling the broader $SPX',92
1,2020-09-23 23:30:00,"b'Another great week! I made over 32k, A big thank you to https://t.co/cB9ml2RJ51  $VTVT $TTOO $GNUS $XSPA $TRVN $NAKD $SNDL $MVIS $IDEX $ONTX $NAOV $RMTI $AMRN $VBIV $OCGN $HTBX $ACST $INO $ZM $SPAQ $NKE $TWTR $ACB $WKHS $MNOV  $ROKU  $JNJ $WDC $CVNA $PLUG https://t.co/y6Q2k29eYh'",144
2,2020-09-23 23:29:00,"b'Johnson &amp; Johnson, a $380B company, thought they would reach Phase 1 trials by September, but bc of Op #WarpSpeed they have already reached Phase 3 trials. Amazing. Never be covered by #FakeNews.  #Trump #MAGA #MAGA2020 #COVID19 #Covid #coronavirus $JNJ #JNJ #Election2020 #'",8
3,2020-09-23 23:16:00,b'$GILD $JNJ $MRNA - U.K. to host first human challenge studies for COVID-19 vaccines https://t.co/Aibccsp7MG Great Dividend Stocks BUY PFE and JNJ !',170
4,2020-09-23 23:13:00,b'#bloody day $nasdaq $es_f $AAPL #daytrading #marketprofile #futures $spx $zb_f $nq_f $cl_f $GC_f $amzn $XOM $ibm $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f https://t.co/opPjhRLlh9',6110
5,2020-09-23 23:06:00,b'@RNAiAnalyst People will choose big pharm $jnj . Instead of $nvax',9
6,2020-09-23 23:00:00,b'$JNJ to the moooooon https://t.co/0NHN2bMyBZ',293
7,2020-09-23 23:00:00,b'Sooo.. Is this a correction or the beginning of a bubble-pop crash! $atnm $jd $appl $ktov $gme $rkt $tsla $amzn $nkla $jnj $mgi $nvda $plug $baba $msft $wmt',610
8,2020-09-23 22:54:00,"b'Even with phase 3 Rona trials announced today, $JNJ up very little. https://t.co/WmtipuHBF8'",249
9,2020-09-23 22:40:00,"b'September Sell-Off: S&amp;P 500 Craters 78 Points, Approaching Correction Levels as Apple, Oxy, Lead Tech Stocks, Energy Stocks Down @themotleyfool #stocks $AAPL $^SPX $PFE $JNJ $AMZN $NKE $OXY $XLE $XLK $TWTR $PTON https://t.co/rW1As6A6yH'",3488
10,2020-09-23 22:25:00,b'#Options Flow Grid Update $JNJ #OptionsTrading Johnson &amp; Johnson Shares \xe2\xac\x86\xef\xb8\x8f0.48% to $144.9 #OptionsFlow #stocks #stock #StockMarket #investing #Investment #healthcare https://t.co/5JE2nlalc3 https://t.co/SCSuLBOalK https://t.co/ZoM630zu1l',4538
11,2020-09-23 22:18:00,b'$JNJ news from White House they doing well..',5641
12,2020-09-23 22:08:00,b'Biotech updates 09/23/20:  $ACIU Alzheimer\xe2\x80\x99s fail -45% $RMTI offering -29% $ACET pulls offering +11%  Pipeline updates $ATNM $CYTK $DRRX $JNJ $MORF $PFE $SELB $VRNA $VTVT  https://t.co/MICTbuKbSw',21494
