timestamp,tweet_text,followers_count
2020-09-29 23:59:55,b'@HeroDividend $DIS $AMZN $KO $JNJ $ABBV',329
2020-09-29 23:56:20,b'@DvdndDiplomats $dmlp $dg $abbv $pg $pru $ori $artyx $rtx $bmy $tu $intc more $dmlp $xel $ul $stt $kmb $cvx $pep $blk $td $rilyi $pty $eto more $xel $jnj $cone $cfr more $artyx $wpc $txn $psx $fiscx $bgsax $aapl $t $stwd $rnp more $pep $mmm $abtx more $xel more $txn more $stwd $mcd more $jnj',27
2020-09-29 23:55:35,b'Trading group for help&gt;https://t.co/CmCIV7vIef  $SLV $GLD $ETSY $SFIX $HL $GE $PYPL $ALRN $HMHC $DAC $GM $X $WMT $SPY $CNK $MDNB $SPOT $JD $TNXP $JNUG $CVS $UVXY $VIX $GLD $SDC $DOCU $BILI $MPC $AZUL $TDOC $NVAX $JNJ $SRNE $BFRA $MSFT $BIGC $IDEX https://t.co/zkoOeWbDWG',457
2020-09-29 23:55:22,b'80k+ members Do join=&gt; https://t.co/CmCIV7vIef  one of the largest stocks and options trading communities with real traders providing analysis.  $BA $INTC $JNJ $MGM $SBUX $SPY $NFLX $AMZN $SNAP $NVDA $TSLA $NDX $SPY $AAPL $BABA $NFLX $ROKU $BA $COST $MCD $WMT $FB $VIX $ES https://t.co/U6PMNxZ7SH',457
2020-09-29 23:48:43,b'@BrianFeroldi $CVS $WMT $JNJ $APPL $TSLA',110
2020-09-29 23:44:20,"b'$NIO - Wedge breakout. Targets are $22.64, $23.43, $24.56. Should we fall, we should see a bounce at $18.85. \xf0\x9f\x99\x82  $PYPL $SPY $SQ $PINS $CRM $DOCU $AMZN $TSLA $ROKU $AMD $ES_F $QQQ $FDX $UPS $TTWO $TWLO $AAPL $FB $ZM $NVDA $BABA $INO $NKLA $JNJ https://t.co/M2p6ampYy1'",254
2020-09-29 23:40:23,"b'@BrianFeroldi $SPY, $TXN, $MSFT, $PG, $JNJ'",153
2020-09-29 23:34:14,b'Stocks to Watch for the Presidential Debate $abt $azn $mrna $pfe $bntx $cmcsa $dis $viac $twtr $jnj $spy $unh and more to come tomorrow #stocks #PresidentialDebate2020 #PresidentialDebate #COVID19 https://t.co/El1RCMjS54',572
2020-09-29 23:28:58,b'@HeroDividend $T  $WM $O $JNJ $AAPL',65
2020-09-29 23:27:10,b'$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube   baby smoove - beyonce  shot by @juddyremixdem productions x @diesel filmz  WATCH HERE --&gt; https://t.co/309mCAuJBh https://t.co/0QfecZfMks',4437
2020-09-29 23:25:10,"b'You are given $5,000   The catch is that you must invest it in an account that you aren\xe2\x80\x99t allowed to look at for 10 years  What 5 stocks are you choosing?  Mine are  \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb  $NVDA $AAPL $WM $JNJ $NKLA'",2385
2020-09-29 23:08:55,b'Top 10 holdings of the S&amp;P 500.  1. $AAPL 2. $MSFT  3. $AMZN  4. $FB  5. $GOOGL  6. $GOOG  7. $BRK.B  8. $JNJ 9. $PG 10. $V   The easiest way to invest in the best companies in the world.',4166
2020-09-29 23:04:25,"b'@Dividend_Dollar $AAPL, $V, $JNJ.  Don\xe2\x80\x99t over think it.'",6
2020-09-29 22:57:17,b'@Dividend_Dollar $AMZN $SBUX $JNJ',6
