timestamp,tweet_text,followers_count
2020-09-17 23:56:15,b'$TGT @Target  Target vs $NMGC @mercadomagico  MercadoMagico https://t.co/Fp1QWHwP4L $BABA $AMZN  $EBAY $JPM $MS $WFC $BAC $C $FB $GOOG  https://t.co/lXwIjkB64k',28324
2020-09-17 23:47:05,"b""Today's Stock Market Close   $GOOGL $AMZN $AAPL $TSLA $MSFT $FB $TWTR $C $GE $WMT $SPY $NFLX $SAM $FICO $JOBS $VZ $SNOW $JPM https://t.co/Xpva2YbVOY""",14301
2020-09-17 23:34:43,"b'8 Months! Stock Traders, The Media, Analysts &amp; The Liars At CNBC Beware!  $tst $iep $ko $brk $ba $bhc $hlf $ibm $msft $crm $nke $mcd $fb $ge $gm $wmt $tgt $luv $btc $f $pg $amzn $aapl $hd $tsla $nflx $intc $gp $ms $gs $jpm $bac $c $goog $fb $lyft https://t.co/2E1F7qxGMw'",130
2020-09-17 23:29:30,b'#Hertz Has Bad Greedy Management As The Stock Price Goes To Zero  $tst $iep $ko $brk $ba $bhc $hlf $ibm $msft $crm $nke $mcd $fb $ge $gm $wmt $tgt $luv $btc $f $pg $amzn $aapl $hd $tsla $nflx $intc $gp $ms $gs $jpm $bac $c $goog $fb $lyft $htz $uber $lyft https://t.co/pKglygwT1V',130
2020-09-17 23:27:14,b'$tsla LIFTOFF! $1000/SH BATTERY DAY BLOWOUT SPACEX MERGER AT $2000/SH  $msft $aapl $tsla $nflx $fb $amzn $shop $goog $ebay $jnj  $v $pg $jpm $unh $pypl $nvda $wmt $zm #DDTG $penn $pton $roku $fsly $crm DON\xe2\x80\x99T BET AGAINST @elonmusk @stoolpresidente  @jimcramer STRAIGHT \xf0\x9f\x91\x86UP\xf0\x9f\x91\x86\xf0\x9f\xa5\xb3 https://t.co/fNF72pAH8e',29
2020-09-17 23:23:35,b'$SPX The Market!\xf0\x9f\x92\xa5  Friday Jr.  \xf0\x9f\x8d\xb8   A day when you need PuTection!\xf0\x9f\x90\xa2  By nGiStrategy|https://t.co/JW1nSQaMnB|   $AAPL $JPM $SPX $MU $FB $ABT $UVXY $MRNA $AMD $TSLA $VXX  #PrimosTexMex @PrimosTexMex https://t.co/6pgW0ZS3uo',283
2020-09-17 23:04:19,b'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/sr8jSAXxqL https://t.co/3iHs510TIM',1757
2020-09-17 22:29:26,"b""$JPM $WFC $BAC - Fed considers keeping banks' dividend, buyback limits for rest of year https://t.co/c2HvPp8akd Great Dividend Stock BUY JPM !""",169
2020-09-17 22:04:07,b'$NURO BOUNCING AFTERHOURS! HUGE NEWS just out!\xf0\x9f\x92\xb8\xe2\x9c\x88  $SPY $SPX $QQQ $ES_F $NQ_F $RTY_F $ZB_F $GC_F $NDX $RUT $AAPL $NFLX $AMZN $TSLA $FB $MSFT $DIA $NDX $IWM $QCOM $GDX $DAX $BYND $TWTR $GLD $SLV $GE_F $BABA $TLT $LYFT $VXX $TVIX $VIX $XLE $XOM $JPM $GS $GOOG $DIS $IBM https://t.co/CHXVC2AW5l',18215
2020-09-17 21:56:49,b'$NURO BOUNCING AFTERHOURS! HUGE NEWS just out!\xf0\x9f\x92\xb8\xe2\x9c\x88  #stocks #blockchain #Crypto #bitcoin #XRP #ico #startup $TWTR $DWDP $PNC $CVS $BABA $NIO $TGT $MER $MGM $TLRY $CHK $AMZN $COST $LULU $YUM $VRUS $LDSR $FB $SQ $VALE $YELP $TE $PSSI $JD $BZUN $XOM $BP $C $S $F $jpm $nvda $v https://t.co/f6u1RIBMs1',18215
