timestamp,tweet_text,followers_count
2020-09-19 23:58:31,"b'Now this, #Trump says he has approved $ORCL bid for #TikTok \xe2\x80\x9cin concept\xe2\x80\x9d. The payment to the US will now be substituted for a $5Billion donation for education. $MSFT $WMT $SPY $QQQ $DIA https://t.co/JDuWtTFIUF'",479
2020-09-19 23:56:10,b'@WilliamNextLev1 True story here are a few more:  $FB -17% $MSFT -14% $WORK -25%',309
2020-09-19 23:55:27,b'$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube   Raj Barman | Bawra Man (Official Music Video) 2020 new song  WATCH HERE --&gt; https://t.co/5tpNuvSm4W https://t.co/pU9EUx7PMX',4439
2020-09-19 23:52:30,b'Some #Stocks I am currently in on my small account. Swining some holding some. $IPOC $IPOB $SHLL $WKHS $DKNGS $T  $TSLA $PCG $SRNE $CZR $PENN $F $GE $GM $SAM $WMT $DG $APPL $LMPX $MSFT going to add $GNUS monday for a day trade or a temporary swing  #StockMarket  #StocksToTrade',67
2020-09-19 23:51:58,b'@PandaOptions $nflx $msft',3
2020-09-19 23:50:00,b'$ibio $snow $gevo $lca $mara $tsla $ino $aal $idex $msft $avgr $spaq $penn $shll $xspa $fb $nkla $dkng $nio $novn $ktov $rkt $wkhs $aapl $evfm $vxrt $gnus $mrna $spy  WE ALERTED $SRNE at $7 RAN TO $19 (170% GAIN!)  Daily Alerts  FREE TRIAL!  BEAT THAT\xf0\x9f\x91\x87\xf0\x9f\x91\x87  \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',95
2020-09-19 23:44:47,b'Make Big profits with us. Everyone should join this room for good results. Free check out here:  https://t.co/LuDxoTAYi3  $CSCO $MCD $ABBV $XOM $ASML $ACN $PLD $AZN $COST $CVX $DHR $LLY $AVGO $MDT $AMGN $UPS $CHL $UNP $TMUS $NEE $BMY $SNY $AAPL $MSFT $AMZN $GOOGL $LIN $TXN https://t.co/TkvXVsBdk3',0
2020-09-19 23:43:03,"b'@MadMax66657821 so I was either lucky -- that this time period really rewarded low beta and quality growth (as well as high growth tech - her only tech stocks are $AAPL and $MSFT, natch) - in her account, or I tend to be too value oriented and willing to trade in my own. 2/2'",143
2020-09-19 23:40:16,"b'Most profitable trading community!!!! I made 35k by their alerts, Check out &amp; make profits.  https://t.co/LuDxoTAYi3  $ABBV $XOM $ASML $ACN $COST $DHR $AVGO $CVX $LLY $MDT $AMGN $AZN $CHL $UPS $UNP $TMUS $NEE $BMY $AAPL $MSFT $AMZN $GOOG $GOOGL $LIN $SNY $TXN $QCOM https://t.co/IGe9gXhMtu'",0
2020-09-19 23:40:13,b'VIDEO watchlist for next week: $SPY $SPX $AAPL $INDU $FB $MSFT $NFLX $TSLA $ORCL $BAC https://t.co/XYesYlwO6Z',2327
2020-09-19 23:40:00,b'$ktov $kodk $mark $nio $dkng $gnus $evfm $tptw $ino $fb $spaq $penn $lca $msft $idex $spy $srne $xspa $vxrt $wkhs  $ibio $nkla $jcpnq  $aal $snow $aapl $avgr $tsla  WE ALERTED $NOVN at $.50 RAN TO $1.30 (160% GAIN!)  Daily Alerts  $15 ONE TIME FEE!  BEAT THAT \xf0\x9f\x91\x87\xf0\x9f\x91\x87 \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',4157
2020-09-19 23:35:31,b'Time for chart requests!   *No penny stocks *Limit 2 per person *will post tonight and tomorrow            GO   $SPY $AMZN $AAPL $BA $NFLX $TDOC $SHOP $TSLA $DIS $AMD $ROKU $NVDA $FB $TTD $ATVI $TWLO $BYND $PYPL $DOCU $CRWD $ETSY $SQ $MSFT $BABA',3170
2020-09-19 23:35:22,b'$NURO how could u ignore a stock w/3.8 million O/S! At 1.73?!  $xrp $btc $spy $tsla $msft $goog $ba $fb $amd $v $qcom $nflx $bac $nvda $roku $cost $rvdo $spx $baba $nwbo $ttph $mvis $dirv $blxx $llit $mara $visl $tghi $frsx $solo $myo $mark $gnus $rmbl $sunw $vvpr $zom $dss $hgsh https://t.co/FnBp8wrj2L',18212
2020-09-19 23:35:21,b'Make Big profits with us. Everyone should join this room for good results. Free check out here:  https://t.co/LuDxoTAYi3  $HDB $AMD $UN $NOW $TD $AXP $BLK $SPGI $CAT $BHP $MDLZ $RIO $UVXY $NAK $PLAY $HTBX $SPXS $EEM $TMXP $ABEV $SIRI $VALE $MSFT $T $UAL $FB $VXX $PTON $CCL $C https://t.co/zED8TEgBs0',0
2020-09-19 23:33:46,b'@jvhak My top 5 holdings in order  $ENB $TD $AAPL $AQN $MSFT',643
2020-09-19 23:32:51,"b""Bill Gates says Elon Musk couldn't be confused with Steve Jobs and that electric cars are 'far easier' than other climate change technology https://t.co/S2k5oujZcr via @Yahoo $MSFT $TSLA $AAPL""",120
2020-09-19 23:31:29,b'$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube   Alpha Wolf - Restricted (R18+) (Official Music Video)  WATCH HERE --&gt; https://t.co/aZtxOXmNKG https://t.co/XEL6JiV09o',4439
2020-09-19 23:29:00,b'$mark $dkng $gnus $evfm $tptw $ino $fb $spaq $penn $msft $idex $srne $xspa $vxrt $wkhs $ktov $ibio $nkla $jcpnq $aal $snow $aapl $avgr $tsla $kodk $spy  $lca $nio  WE ALERTED $NOVN at $.50 RAN TO $1.30 (160% GAIN!)  Daily Alerts   FREE TRIAL!  BEAT THAT\xf0\x9f\x91\x87\xf0\x9f\x91\x87  \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',95
2020-09-19 23:29:00,b'$idex $wkhs  $gnus $opti $tsla $fb $avgr $lca $srne $ibio $nio $spy $snow $novn $shll $evfm $nkla $jcpnq $xspa $aal $gme $aapl $ino $spaq $ktov $msft $vxrt $kodk   WE ALERTED $GEVO at $.58 RAN TO $2.18 (275% GAIN!)   Daily Alerts  FREE TRIAL!  BEAT THAT\xf0\x9f\x91\x87\xf0\x9f\x91\x87  \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',95
2020-09-19 23:27:12,"b""I'd rather we spend time working out a deal on stimulus.  Who cares about TikTok?  It's not going to save businesses and families.  $SPY $SPX $ORCL $MSFT #stocks #stockmarket #trading #investing https://t.co/Ee5Afl7gSw""",1687
