timestamp,tweet_text,followers_count
2020-09-28 23:55:25,"b'Awesome place for trading!!! Make big profits with us, For a limited time, we are opening our trading chat-room!!..https://t.co/2J6Jd0p4EK   $BIDU $ETSY $FIT $NKE $AUPH $NBEV $INTC $RAD $ACB $JD $WMT $NVCN $PLUG $GE $DRYS $V $BPMX $JPM $CMG $ATVI https://t.co/ZTNHjBu5cQ'",1
2020-09-28 23:44:02,"b'Free alerts!!Option Sweeps , Trading Ideas. Profitable stocks &amp; options community https://t.co/U7GbBkMIMG  $BIDU $ETSY $FIT $NKE $AUPH $NBEV $INTC $RAD $ACB $JD $WMT $NVCN $PLUG $GE $DRYS $V $BPMX $JPM $CMG $ATVI https://t.co/1kqtGLwOW2'",1
2020-09-28 23:42:06,b'https://t.co/CmCIV7vIef Join now $TSLA $NVDA  $MU $AMZN $MSFT $BABA $NFLX $ADBE $AXP $IBM $CSCO $CVX $INTC $DD $DIS $MCD $MMM $PG $TRV $UNH $NKE $UTX $VZ $WBA $WYNN $XLNX $ACN $FB $NFLX $DLTR $EA $SPY $SPX $DJIA $HD $GS $BA $GDX $VZ $WDC $AMD $ADSK $V $CAT $JPM',460
2020-09-28 23:33:53,b'$NKE  A buy setup on the daily. I got long on a 4bar play/ triangle breakout on the 5min.   Sold 3/4 at 125.74 for +2.27 R. Raised Stop bar by bar on the 5min.  Stopped out last 1/4 at 125.93 for +3.33R. https://t.co/hpHmEWx83A',884
2020-09-28 23:28:53,b'Nike $NKE Has An Excellent #Technical Analysis Score (TA Score). Breakdown Of 3 Categories: #candle score Neutral; moving average score Excellent; #momentum score Excellent #stocks #stock #StockMarket #Investment #investing https://t.co/5JE2nlrW3B https://t.co/rUMGAY0oPH https://t.co/S1mQ9GGDX0',4558
2020-09-28 23:24:27,b'@rroberts66 Look at the circle i highlighted on $NKE  This is why. I have day traded this many of times and missed the Forrest because of the trees.  Not to mention the opportunity cost.  That is one example of why. https://t.co/AiQr0AuqYG',334
2020-09-28 23:13:50,b'See you at 7:30PM EDT on the FREE #YouTube #livestream for our series on ANALYZE MY TRADE w/ $NKE!  Bring your chart requests!  Subscribe FREE here to join the fun! https://t.co/xEy9hNpVvB \xf0\x9f\x98\x81\xf0\x9f\x91\x8d  #stocks #optionstrading #stockmarket #futurestrading #success https://t.co/2RlG6TKkkM',13859
2020-09-28 23:02:28,"b'https://t.co/PeDWhxu8af   $PINS, $AMZN, $AAPL, $FB gains for our members  $AAPL $TSLA $AMZN $FB $NFLX $AMD $SPY $MSFT $BABA $NVDA $TWTR $NIO $DIS $GOOG $SNAP $BA $GE $MU  $BAC $SQ $BTC.X $F $GOOGL $ACB $GPRO $ROKU $SBUX $JNUG $TOPS $ETH.X $INO $INTC $IBIO $NKE $WMT $GILD  $QQQ https://t.co/UBZ0LHwMfd'",7
2020-09-28 23:01:33,"b"". Join this FREE Discord to see why I'm investing heavily into $MMED! https://t.co/2cBl7hQVzW  $Alts $Crypto $Stocks $BTC $ETH $XRP $LTC $BCH $LINK $ICX $VET $ZIL $ADA $NKE $UTX $VZ $WBA $WYNN $XLNX $ACN $FB $NFLX $DLTR $EA $SPY $SPX $DJIA $HD $GS $BA $GDX $VZ $WDC $AMD $ADSK $V https://t.co/ytgyVHZCus""",32
2020-09-28 22:47:52,"b'Free alerts!!Option Sweeps , Trading Ideas. Profitable stocks &amp; options community https://t.co/Hgk9yDBrRk  $BIDU $ETSY $FIT $NKE $AUPH $NBEV $INTC $RAD $ACB $JD $WMT $NVCN $PLUG $GE $DRYS $V $BPMX $JPM $CMG $ATVI https://t.co/LdzLeQRMyc'",1
2020-09-28 22:14:35,"b""I added a small $NKE put today in the hopes it fills in that huge gap up from earnings. No huge loss if not, but this helps protect my account since I'm mostly in calls. https://t.co/eEqpuTE67i""",160
2020-09-28 22:12:23,"b""$NKE - Nice trade today. I tried to give it time for a bigger move but it ended up rolling over.   If you manage a trade well you can give yourself a shot at catching the big move, but if it doesn't come still make a nice profit on the day.  #stocks #trading #StockMarket https://t.co/LhrNdJSrDR""",334
2020-09-28 22:09:25,b'- $NKE has price target of $165 oh eeee',164
2020-09-28 22:00:33,"b'As it stands, SCANNER 1 is 3/4 on today\xe2\x80\x99s alerts for $ZM $QCOM $NKE and $MTCH, while our previous plays on $AMD and $AAPL continue to pay.   Follow and subscribe to notifications to stay updated!   Dm for further info. https://t.co/vIjC8McLud'",66
2020-09-28 21:58:56,"b'Will $SPCE go up or down  Tuesday Sept 29, 2020?   If anyone is interested in Japanese, please follow   @sugamo_sugiyama  $SPAQ  $TSLA  $NKLA $PINS  $SNAP $SPY $SPI $PTON $LULU $KODK $SNOW $NKE $COST $QQQ  $IPOB $WKHS $DIA $IWM'",633
2020-09-28 21:51:59,"b'$NKE Iffy so far, let\xe2\x80\x99s give it some time. https://t.co/jjIFK2VG4m'",66
2020-09-28 21:35:21,"b""$NKE:  New Insider Filing on NIKE, Inc.'s  Director  ELIZABETH J COMSTOCK:  https://t.co/5kUcQSlQWI""",4316
2020-09-28 21:32:12,"b""Monday's Top Flow in #consumer discretionary sector, Buy Flow &amp; Sell Flow $MCD $NKE $ORLY $LEN $DIS $TSCO $EXPE $TJX $GM $WYNN $AMZN $NFLX $HD $CMCSA $MAR $BWA $SBUX $DLTR $JCI $DHI #stock #stocks #StockMarket #Investment #investing #consumers https://t.co/5JE2nlrW3B https://t.co/zJaM3JKhQI""",4558
2020-09-28 21:30:27,"b'Best trading place,  https://t.co/6DGWVaHoY7  $je $spy $sunw $pola $aapl $sqqq $nio $nkla $tsla $gnus $twtr $ge $nndm $solo $spi $spxs $spxu $bac $cbat $uvxy $xlf $amzn $zom $hyg $sds $spi $nete $iwm $bbby $dkng $vxx $rad $kodk $oxy $penn $nke $tna $snap $wkhs $pton $csco $gevo https://t.co/Cv86m995ki'",19
2020-09-28 21:27:26,"b'Best trading place,  https://t.co/6DGWVaHoY7  $je $spy $sunw $pola $aapl $sqqq $nio $nkla $tsla $gnus $twtr $ge $nndm $solo $spi $spxs $spxu $bac $cbat $uvxy $xlf $amzn $zom $hyg $sds $spi $nete $iwm $bbby $dkng $vxx $rad $kodk $oxy $penn $nke $tna $snap $wkhs $pton $csco $gevo https://t.co/8jEHPDfELV'",19
2020-09-28 21:24:40,"b'Best trading place,  https://t.co/6DGWVaHoY7  $je $spy $sunw $pola $aapl $sqqq $nio $nkla $tsla $gnus $twtr $ge $nndm $solo $spi $spxs $spxu $bac $cbat $uvxy $xlf $amzn $zom $hyg $sds $spi $nete $iwm $bbby $dkng $vxx $rad $kodk $oxy $penn $nke $tna $snap $wkhs $pton $csco $gevo https://t.co/dpEDZb2sqi'",19
2020-09-28 21:23:31,"b'Best trading place,  https://t.co/6DGWVaHoY7  $je $spy $sunw $pola $aapl $sqqq $nio $nkla $tsla $gnus $twtr $ge $nndm $solo $spi $spxs $spxu $bac $cbat $uvxy $xlf $amzn $zom $hyg $sds $spi $nete $iwm $bbby $dkng $vxx $rad $kodk $oxy $penn $nke $tna $snap $wkhs $pton $csco $gevo https://t.co/unsmKYiQwN'",19
2020-09-28 21:20:49,"b'Best trading place,  https://t.co/6DGWVaHoY7  $je $spy $sunw $pola $aapl $sqqq $nio $nkla $tsla $gnus $twtr $ge $nndm $solo $spi $spxs $spxu $bac $cbat $uvxy $xlf $amzn $zom $hyg $sds $spi $nete $iwm $bbby $dkng $vxx $rad $kodk $oxy $penn $nke $tna $snap $wkhs $pton $csco $gevo https://t.co/iWrSqXpOi3'",19
2020-09-28 21:20:23,"b'Stocks in Insider Selling today: $NKE, Current Price: $124.35, Change today: 0.07%, Total Traded Volume: 7,506,514 https://t.co/DoDzamqyaa'",791
2020-09-28 21:19:20,b'3 Strong Stocks to Buy for the Fourth Quarter and Beyond. $NKE $AMZN $AAPL $FDX $LULU https://t.co/xzNQLNyQmB',19536
2020-09-28 21:18:22,b'$NKE Elizabeth Comstock sells $3.4M Worth Of Nike Stock https://t.co/Hvto9MFpTt',593
