timestamp,tweet_text,followers_count
2020-09-17 23:58:29,b'$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube   SM6 - Perfect (Official Music Video)  WATCH HERE --&gt; https://t.co/ROqLRcRFg7 https://t.co/1tQSU5Q3l9',4437
2020-09-17 23:57:22,b'$NVDA Dawn Hudson sells $4.1M Worth Of Nvidia Corporation Stock https://t.co/VPug4IUk7p',589
2020-09-17 23:54:46,b'$NURO BOUNCING AFTERHOURS! HUGE NEWS just out few have seen!  Eyes will B on this TINY FLOAT #BIO SOON. 2.50 break by open  $ZM $FB $SPY $AMD $QCOM $TWTR $SPAQ $NIO $NKLA $ATT $BA $NVDA $PYPL $AMZN $SQ $SNOW $CSCO $BP $TSLA $DJI $TSLA $WMT $MSFT $SPAQ $SHLL $TSLA $NKLA $WKHS $NIO https://t.co/zagRygodOq',18214
2020-09-17 23:54:27,b'$spx $spy $aapl $qqq $msft $amzn $googl $fb $tsla $nvda $snow   FINRA: FINRA: Release Real-Time Short Interest Data to the Market - Sign the Petition! https://t.co/zXHgNLkM2I via @Change',241
2020-09-17 23:51:27,b'Should You Invest in Bitcoin &amp; Blockchain ETFs? $GBTC $BLCN Also $OSTK $NVDA $SQ $DOCU https://t.co/6S6ocSP8pX',4024
2020-09-17 23:50:25,"b'@Blake0Nicholas I don\xe2\x80\x99t know Blake no doubt $nvda success Is less speculative then The rest .it\xe2\x80\x99s more mature ,with big pullback \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8for even China news can do the trick,regardless I\xe2\x80\x99m not thinking it will,but this my fantasy Price to start long I kind of thinking a lot of stock is expensive'",1090
2020-09-17 23:35:58,b'$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube   IWaata - NTN (Official Music Video)  WATCH HERE --&gt; https://t.co/4YGKESDOCw https://t.co/0IKY8ug9h9',4437
2020-09-17 23:34:41,b'Agreed. Long $NVDA also hearing re-sales of said chip are going for $10K+. Not a typo https://t.co/IoKmVqbxTt',616
2020-09-17 23:31:09,"b'Market Recap For September 17th, 2020 | Stocks Slide  https://t.co/lpG4U97n9N   $amzn $tsla $nvda $aapl $shop $dkng $sbux $wynn $aal $nclh $fb $qqq $ibb $crm $splk $ntap $wsm #stockstowatch #stocks $abt $wmt $aimt $ulta $wday $hpq $zm #NASDAQ $nkla $pton $spce $penn $rh'",0
2020-09-17 23:27:14,b'$tsla LIFTOFF! $1000/SH BATTERY DAY BLOWOUT SPACEX MERGER AT $2000/SH  $msft $aapl $tsla $nflx $fb $amzn $shop $goog $ebay $jnj  $v $pg $jpm $unh $pypl $nvda $wmt $zm #DDTG $penn $pton $roku $fsly $crm DON\xe2\x80\x99T BET AGAINST @elonmusk @stoolpresidente  @jimcramer STRAIGHT \xf0\x9f\x91\x86UP\xf0\x9f\x91\x86\xf0\x9f\xa5\xb3 https://t.co/fNF72pAH8e',29
2020-09-17 23:21:33,b'$QQQ 239.xx (Feb high) and 225.xx key levels to watch.   $SPY $NDX $QQQ $DJIA $IWM $VIX $VXX $DIA $DJI $XLK $IYW $AMZN $MSFT $TSLA $FB $GOOG $SHOP $SPOT $AAPL $W $NVDA $ZM $SQ $FSLY $PYPL https://t.co/WaEtW7YGPS',52
2020-09-17 23:20:48,"b""@AmitayYaniv You'll be able to get $ZM much cheaper, but you probably won't want it then. $TTD could reach 300 lowest probably. It consolidated 270-300 for too long. $TSLA will be 152 at some point, about double its multi year base. $NVDA is your best pick, will likely never reach that low.""",215
2020-09-17 23:10:52,b'$NVDA: We Think NVIDIA Can Manage Its Debt With Ease \xe2\x80\x93 Simply Wall St News  (Note: praises by this website are very RARE. This one on #nvidia was the first one I saw in a long time) https://t.co/xFtn40T0cR',3251
2020-09-17 23:06:56,b'$PENN 350%+ Gains on a safe option with the great b/o. Call went 11.00 today from Mon entry. We believe only in best setups along with great education to DT Team. $AAPL $SPY $NVDA $WKHS $QQQ $DKNG $PENN $BA $PLAY $TSM $FMCI $GSX $APPS $CAT https://t.co/udS492YBG9',1091
2020-09-17 23:06:09,"b""$NVDA Want to sell this stock, but don't want to sell while it's down  -3.67 % change recently https://t.co/2L34DgsKDY""",247
2020-09-17 23:02:14,"b'Options Trading Pro Cumulative P&amp;L for 9/14-9/17 $32,160.00\xf0\x9f\x92\xb0BOOM \xf0\x9f\xa4\x91 Join US $nflx $roku $spy $amd $nvda $tsla $ba $baba $shop For Transparency Daily Powerful Watchlist, Swing &amp; Day Option Trading Alerts. $wmt $fb $aapl $amzn \xf0\x9f\x92\xa5JOIN A SERVICE WHERE THEY SHOW BOTH PROFIT &amp; LOSS!\xf0\x9f\x92\xa5 https://t.co/uieXk6xhFC'",3124
2020-09-17 22:56:59,b'Did you end green today? $msft $pypl $aapl $baba $nflx $fb $ba $bynd $spy $wmt $sq $gild $spot $tsla $cvx $nke $snap $nvda $mrna #stock #stockoptions #daytrade #discord #money #life  \xf0\x9f\x9a\xa8NEW LINK\xf0\x9f\x9a\xa8 https://t.co/2DbQobMq66',87
2020-09-17 22:54:24,"b""@tkft7 Yes, $NVDA was definitely not meant to be in that section \xf0\x9f\x98\x89   Glad you like it! If you sign up for a free account, you'll also get access to two free weeks of alerts. Let us know your thoughts!""",5425
2020-09-17 22:52:58,b'Closing bell figures (17 Sep):  $SNOW -10.39% $NVDA -0.41% $AMZN -2.25% $TSLA -4.15%  All favorites were down (from previous day).',7
2020-09-17 22:52:12,"b'@CaptSolutions this is very cool info, thank you. btw $NVDA is a super mega cap.'",121
2020-09-17 22:50:24,b'$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube   THE WANDERING - SALT OF THE EARTH [OFFICIAL MUSIC VIDEO] (2020) SW EXCLUSIVE  WATCH HERE --&gt; https://t.co/Yc1PjmfMnq https://t.co/1wP9uAMlp9',4437
2020-09-17 22:50:17,b'ABOUT TO GO DOWN IN 10MIN!! #TRICKTRADES $SPY $QQQ $AAPL $BABA $NVDA $FB $TSLA $AMD $TWTR $MU $AMZN $NFLX $MSFT $GOOGL #Stock #Market #Trading https://t.co/XnLUpyd8UM',811
2020-09-17 22:47:18,"b""\xf0\x9f\x93\x88Stocks trending during after hours  Lg cap: $AAPL $AMZN $TSLA $DKNG $ORCL $FB $ZM $SHOP $PTON  Sm cap: $KODK $TNXP $NVDA $PHIO $LEAS $MRNA $PENN $ZI $PRTY $EPAZ $BONZ $SINT $SPAQ $TAT $PPCB $NAK  Find out WHY they're trending: click/search stocks on Cap https://t.co/9jLC9lq5Lg https://t.co/JscM02DBGp""",5425
2020-09-17 22:40:55,"b""$BA  27k 170c sold today. OI 28k @175 &amp; 22k @180. I know what I'd do. Think 180. Clean the books plan. Push higher, clear inventory out then Dump. Premium collection day. 170 pin, poss. 175. #knowyourlevels #EpicMove #patience  $SPX $SPY $QQQ $TSLA $BA $AAPL $AMZN $NVDA $GS #BANG https://t.co/QOo8uYceNm""",204
2020-09-17 22:40:30,b'Super Volatile day.  Top 10 for 17 Sept 2020 are $NVDA X2 $SHOP $TSLA x7 along with a bunch of others that had great scalp opportunities. #stocks #OptionsTrading #OptionsScalping #OptionsFlow @BlackBoxStocks https://t.co/wulcVedzv6',46
2020-09-17 22:37:37,"b'Stock market rally is up against the ropes, again; take these steps now https://t.co/vwKuU0fUGo $TSLA $AAPL $AMZN $NVDA $NFLX $FB $GOOGL $NOW $ADBE https://t.co/FcBOMCAYHL'",8687
2020-09-17 22:34:59,"b'$PENN Amazing break out, we had to roll over our calls as we were too ITM on this play today. Expecting more here.  $AAPL $SPY $TSLA $NVDA $WKHS $QQQ $DKNG $PENN $BA $PLAY $TSM $FMCI $GSX $APPS $CAT https://t.co/htk6LjfEP6'",1091
2020-09-17 22:34:13,b'$NVDA Nvidia\xe2\x80\x99s RTX 3080 is already sold out pretty much everywhere online in the US https://t.co/wq4aqMMVjr',4757
2020-09-17 22:29:14,b'09/17/20 Most Bearish Flow: $BBBY $NVDA $GM $GEO',208
2020-09-17 22:25:54,"b'@AmitayYaniv I\xe2\x80\x99ll take $NVDA at $340, too. And a young Jessica Lange if you can arrange it...'",184
2020-09-17 22:24:00,b'STOP using Robinhood and get Webull!!  Benefits  - Trade 16 Hours A Day! - Receive a FREE 3-Month Subscription of Level 2 Market  - Better Charts and Indicators - FREE Stock worth up to $1600!  SIGN UP NOW!  https://t.co/8PqlKsm8ms -  $ZM $NVDA $BYND $SNAP $TGT $PYPL $V $FB c',150
2020-09-17 22:14:34,b'Need Tech leaders to RUN higher   Mrkt needs them to LEAD Badly !! Cmon Man !!  $AAPL $AMZN $GOOGL $FB $NVDA $NFLX   ....',24874
2020-09-17 22:13:56,b'Truly doubt that China will approve the Arm deal with $nvda. It will likely suffer the same fate as $nxpi deal.',120
2020-09-17 22:07:20,b'$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube   Davo 92 / Rubi - Horinel em ( OFFICIAL MUSIC VIDEO 2020 )  WATCH HERE --&gt; https://t.co/YiqKSH1Dnf https://t.co/mx0S6OBsVc',4437
2020-09-17 22:01:46,"b'#FWSells $NVDA SEAWELL A BROOKE, Director of NVIDIA CORP sold 10000 shares on 2020-09-15. https://t.co/mMIpHJB91W'",392
2020-09-17 22:01:00,"b'$FB  One of the weaker names going into today with weak indices. Held the 250 - 252.5 zone which was major breakout zone before strong rally and closed under 255.  If FB 255+, can see 260+  Under 250 no good to 240 -- $AAPL $AMZN $BABA $FB $GOOGL $NFLX $NVDA $TSLA $ZM $SHOP $SPOT https://t.co/32x8LBFhcs'",2059
2020-09-17 22:00:05,b'Notable activity on social media in the past week  $NFLX - Down $MSFT - Up $ADBE - Up $FIS - Up $NVDA - Up $GOOG - Down $HIVE - Up $FE - Down $SNAP - Up $NAVI - Down',713
2020-09-17 22:00:01,"b'Good evening!  $ES resisted heavily off the 3400 level yesterday and flushed down to range-low near 3300 test.  If ES can test back above 3360, still possible to retest 3400 former high, 3420+ over time.  Under 3320 no good -- $AAPL $AMZN $BA $FB $GOOGL $NFLX $NVDA $TSLA $ZM https://t.co/rBccSG64YL'",2059
2020-09-17 21:59:43,b'$NURO BOUNCING AFTERHOURS! HUGE NEWS just out!\xf0\x9f\x92\xb8\xe2\x9c\x88  $xrp $btc $spy $tsla $msft $goog $ba $fb $amd $v $qcom $nflx $bac $nvda $roku $cost $rvdo $spx $baba $nwbo $ttph $mvis $dirv $blxx $llit $mara $visl $tghi $frsx $solo $myo $mark $gnus $rmbl $sunw $vvpr $zom $dss $hgsh https://t.co/GCbA53I8g7',18214
2020-09-17 21:59:39,"b'#FWSells $NVDA HUDSON DAWN E, Director of NVIDIA CORP sold 48000 shares on 2020-09-16. https://t.co/mMIpHJB91W'",392
2020-09-17 21:56:49,b'$NURO BOUNCING AFTERHOURS! HUGE NEWS just out!\xf0\x9f\x92\xb8\xe2\x9c\x88  #stocks #blockchain #Crypto #bitcoin #XRP #ico #startup $TWTR $DWDP $PNC $CVS $BABA $NIO $TGT $MER $MGM $TLRY $CHK $AMZN $COST $LULU $YUM $VRUS $LDSR $FB $SQ $VALE $YELP $TE $PSSI $JD $BZUN $XOM $BP $C $S $F $jpm $nvda $v https://t.co/f6u1RIBMs1',18214
2020-09-17 21:48:47,"b'Where to Invest $5,000 Right Now @themotleyfool #stocks $JPM $CAT $PG $RDS.A $DIS $CVX $NVDA $RDS.B $ADBE $SPCE https://t.co/jyYnWRNGwC'",471
2020-09-17 21:47:34,b'$TSLA $AAPL among other scalps made the day for the team. 3 day trial still available folks!!  Give us a try and Join our team now! https://t.co/cghbKWMYNC   $SPX $IWM $AMZN $AAPL $FB $TTD $GOOGL $SHOP $ES_F $LCRX $NVDA $AMD $FSLY $BA $BABA $MSFT $BA $DIS $ROKU $TSLA $NVAX https://t.co/3NRHjMqfY2',237
