timestamp,tweet_text,followers_count
2020-09-28 23:52:00,"b'$XLE SPDR Select Sector Fund - Energy Select Sector Option Alert: Jan 15 $58.2 Puts at the Bid: 1050 @ $27.4 vs 8845 OI; Ref=$31.14 [9/28/2020, 7:33:28 AM] [+$500k Sweeps Above Midpoint] Other Sweeps on: $JD $YUM $PBI $JPM $PFE $ET $AXP $GME $NIO $EWZ $ANTM $SQ'",755
2020-09-28 23:34:02,b'$RDY short ratio on 2019-05-31 is 11.69 https://t.co/t8zqM5yE5L $TEVA 1.69 $PFE 2.86',217
2020-09-28 23:29:00,b'$thor $xbit $arql $fate $achv $obsv $agio $abeo $rckt $dtil $am $cgc $sesn $sgmo $bmy $galt $dd $dplo $tho $jt $jnj $pfe $lly $mrk $roku $tsla $fb $mu $siri $spy   WE ALERTED $SUNW at $0.70 RAN TO $8 (1000% GAIN)  Daily Alerts  FREE TRIAL!  BEAT THAT  \xf0\x9f\x91\x87\xf0\x9f\x91\x87  \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',128
2020-09-28 23:28:29,b'Owns $PFE but has no idea what this means for Rev and EPS.. Analyst Model please.. https://t.co/FLTlxC5DNA',596
2020-09-28 22:57:43,b'$PFE: Pfizer announces that the FDA approves XELJANZ for the treatment of active polyarticular course juvenile... https://t.co/vtgvheS7Wq',26068
2020-09-28 22:51:03,b'From \xe2\x81\xa6@sarahzhang\xe2\x81\xa9   The vaccines that are furthest along are also the ones that create the most challenges in rolling out.  1 example: the $PFE one has to be frozen at -94 degrees. Whu? https://t.co/srUNTtvoSk',488
2020-09-28 22:49:31,b'Free stock chatroom link below https://t.co/NrFvsr0dVj  $AMZN $AAPL $AMD $FB $BOXL $BA $PFE $MCD $UPS $MMM $SINT $SOLO $GE $SPOT $V $APHA $EBAY $MA $V $RTX $AZN $F $SAP $QCOM $CNC $MO $NAK $PG $ABBV $GOOG $NAKD $RPM $GILD $PHUN $KHC $NOVN $ABCB $BUD $MRNA $CLF $WAFU $INO https://t.co/i5DhopflHA',98
2020-09-28 22:32:34,b'#Pfizer urged to hold off on #coronavirus #vaccine until late November: report https://t.co/ltJwbrdBZK $SPY $SPX $DIA $DJI $VXX $VIIX $PFE $TLT $IEF $TYX $GDX $GLD',1096
2020-09-28 22:18:01,b'Short sale volume(not short interest) for $NVAX on 2020-09-25 is 37%. https://t.co/LriMbfGFi2 $EBS 34% $AGEN 49% $PFE 41% $NVS 30%',3354
2020-09-28 22:13:58,b'Biotech updates 09/28/20:  $INO COVID vaccine partial clinical hold -28% $BIIB aducanumab AdCom Nov 6 $AQST CRL (Fri) -35% $MNK BK imminent (reports) -25% $GNFT deal +31% $ABEO CEO resigns -41% $BEAM offering  Pipe updates $APTX $AUPH $IMUX $PFE $PTN $SRNE https://t.co/HLgSr7JSfu',21517
2020-09-28 22:07:46,b'@CNBCFastMoney what are your thoughts on $PFE ? It has been around $37 despite the good news around Covid 19 vaccine development.',1
2020-09-28 21:57:34,b'New Free Options and Stock Discord!  LINK IN BIO! JOIN NOW!  https://t.co/NrFvsr0dVj $APPL $ZM $FB $SPY $AMD $QCOM $MSFT $TWTR $SPAQ $NIO $NKLA $ATT $BA $DJI $INTC $ATVI $PFE $MRNA $GILD $PYPL $VOO $BIGC $AMZN $SQ $FSLY $ETSY $SHOP $LYFT $UBER $CSCO $TSLA $BP',98
2020-09-28 21:50:02,"b'Most importantly, fatality rates are steadily decreasing as therapeutics and treatment options continue to improve. We are perhaps less than 6 weeks away from the approval of $pfe covid vaccine.'",661
2020-09-28 21:43:19,b'$BA : Short of the century .  $SPY $DJIA $DJI $QQQ $FB $GOOG $AMZN $MSFT $SQ $SHOP $DIS $NFLX $INTC $NVDA $AMD $CRM $ADBE $INTC $WMT $HD $PG $T $PYPL $TWTR $MU $AAPL $TSLA $PFE $ETSY $ATIV $PENN $SBUX $MCD $JPM $BAC $WFC $C $BRK.B $XOM $CVX $NIO $KO $V   https://t.co/GoBiVIKsh1',198
2020-09-28 21:30:17,"b'Don\xe2\x80\x99t just invest to invest, do your research &amp; SAVE\xe2\x9c\xa8  If you invest $5,000 in $PFE you\xe2\x80\x99d get around $200 per year   Or invest same amount in $ENB and get around $360 per year  Same price MORE returns a year AND $ENB has been increasing their dividends for OVER 15 YEARS!\xf0\x9f\x92\x9c'",147
2020-09-28 21:26:28,b'$ALT Altimmune Presents Highlights of Intranasal COVID-19 Vaccine and Therapeutic Programs \xe2\x80\x93 AdCOVID\xe2\x84\xa2 and T-COVID\xe2\x84\xa2 \xe2\x80\x93 at the World Vaccine Congress  $MDGS $APDN $BNTX $JNJ $BMRA $PFE $MRNA $HTBX $SRNE $VXRT $NVAX $INO $CODX $AIM $ALT $ABIO $VBIV $BMRA https://t.co/cpNABjOEpb',3032
2020-09-28 21:08:29,b'Pfizer $PFE announces that the FDA approves XELJANZ for the treatment of active polyarticular course juvenile idiopathic arthritis.   #lionvest #invest #finance #stocks #trade #market #bull #bear #buy #sell',8
2020-09-28 21:03:00,"b'$SPWR SunPower Option Alert: Mar 19 $11 Puts at the Ask: 3100 @ $2.3 vs 20 OI; Earnings 10/28 After Close [est] Ref=$11.68 [9/28/2020, 10:52:53 AM] [+$500k Sweeps Above Midpoint] Other Sweeps on: $PFE $BLDP $FISV $KODK $MO $CNHI $FOXA $MRK $IWM $AER $OMF $HLT'",755
2020-09-28 20:56:12,b'U.S. FDA Approves Pfizer\xe2\x80\x99s XELJANZ\xc2\xae for the Treatment of Active Polyarticular Course Juvenile Idiopathic Arthritis $PFE https://t.co/COinoKkwr3',1302
2020-09-28 20:51:45,b'How long will the market bounce up last? $spy $dia $uso $iwm $gld $xlk $xle $xlb $xli $xlu $xlv $xlp $xly $jpm $axp $xom $cvx $wba $dis $nke $wmt $lmt $ba $cat $ibm $aapl $amzn $twtr $jnj $pfe $mrk $hd $vz $ups $sina $tsla $nflx $pypl $sq $wynn $fslr $zm $amd',37
2020-09-28 20:38:51,b'Largest CALL OI decreases $SEAS $MU $PFE $ADBE $AAPL $TJX $FITB $OUT $KO $BGCP $MDT $GS $T $AIR $SPG $MLCO $COOP $DOCU $FCX $PCG #BlackBoxStocks #trading #learntotrade #stocks #stockstowatch #daytrading #scalptrading #optionstrading #swingtrading #wallstreet #StockMarket #money https://t.co/pA4Arj1MPL',6284
2020-09-28 20:36:01,b'2020-09-25 Short sale volume (not short interest) for $TEVA is 40%. https://t.co/y580JzqiX2 $SNY 33% $RDY 52% $PFE 41% $NVS 30%',3354
2020-09-28 20:34:09,b'$NAKD bouncing AFTERHOURS! NO R/SPLIT!!\xf0\x9f\x92\xb8\xf0\x9f\x93\x88  $THOR $XBIT $ARQL $FATE $ACHV $OBSV $AGIO $ABEO $RCKT $DTIL $AM $CGC $SESN $SGMO $BMY $GALT $DD $DPLO $THO $JT $JNJ $PFE $LLY $MRK $ROKU $TSLA $FB $MU $SIRI $SPY $UBER $AMZN $JPM #CRYPTO #BLOCKCHAIN #ICO #BITCOIN $FNMA $DRYS $AMD $F $M https://t.co/IFRyox5kk3',18230
2020-09-28 20:20:36,b'$PFE Below Avg Volume Daily appearances since 2010: 275 Close 5 days later \xc2\xb1: Avg: 0.06 SD: 0.77 Worst: -4.18 Best: 3.09  10 days later: Avg: -0.00 SD: 1.28 Worst: -5.86 Best: 3.21  30 days later: Avg: -0.15 SD: 2.38 Worst: -9.98 Best: 4.87',288
2020-09-28 20:20:28,b'$ALT HIT $13.50 IN AFTER HOURS!  $MDGS $APDN $BNTX $JNJ $BMRA $PFE $MRNA $HTBX $SRNE $VXRT $NVAX $INO $CODX $AIM $ALT $ABIO $VBIV $BMRA $IBIO $TNXP $DGLY $ABBV $OAS $XSPA $GILD $VIR $BCRX $TNXP $CLSN $SRPT $IFRX $BOXL $BIOC $TTOO $HOTH $AAL $UAL $DAL $LK $SQQQ $FRSX $MRVL $AAPL https://t.co/6VTdSIdZMe https://t.co/RETtc5XNiS',3032
2020-09-28 20:16:09,b'$NAKD \xf0\x9f\x94\xa5AFTERHOURS 20 cents by open?\xf0\x9f\x92\xb8\xf0\x9f\x93\x88\xf0\x9f\x9b\x92  #bitcoin $GE $BAC $F $FCX $JCP $CHK $AUY $PBR $CLF $WFC $AA $ABBV $KMI $DIS $TSM $BK $PM $JPM $NOK $GGP $ORCL $PFE $KEY $BB $C $IBM $WMB $BABA $RF $MRO $NBR $ABX $ITUB $S $XOM $X $DE $TLSS $ZOM $SHIP $GNC $APHA $MS $CSWC $WORK https://t.co/mCxTzJzeHP',18230
2020-09-28 20:15:50,b'$NAKD hot afterhours 20 cents by open? YES\xf0\x9f\x92\xb8  $RDUS $UTHR $PTLA $ALDR $OPK $GLPG $ARWR $ONCS $MTEM $SGYP $NEPT $ASMB $JNJ $MRK $AAPL $GOOG $INTC $CLDX $MSFT $CMCSA $PFE $MU $NFLX $NOK $XO $DIS $NVDA $BAC $AMD $WMT $CHK $AKS $VZ $CTL $FCX $T $JPM $WFT $BIDU $HPQ $F $ZOM $AAL $JNJ https://t.co/YcrHF6VfNw',18230
2020-09-28 20:12:09,"b'September 2020 Dividend Income: $1,131.41  Companies/Funds that paid me: $PSX $V $PFE $JNJ $MSFT $CVX $IBM $PH $NEE $O $MCD $IP $BLK $BAC $WMFFX $AMEFX $ICAFX  Total YoY Growth = 19.78% (78% YoY growth for my dividend portfolio and 8.3% growth for my mutual funds)'",216
2020-09-28 20:03:56,"b'*Trump: 4 vaccines are now in the final stage of trials: Pfizer, Astrazeneca, Moderna and Johnson &amp; Johnson   $PFE $AZN $MRNA $JNJ'",8099
2020-09-28 20:03:32,b'TRUMP: 4 VACCINES ARE NOW IN THE FINAL STAGE OF TRIALS.   $PFE $AZN $MRNA $JNJ  VACCINE PUMP OVERLOAD',373
2020-09-28 20:03:21,b'REMINDER (23RD SEPT. 2020): JOHNSON &amp; JOHNSON ENTERS LATE-STAGE TRIAL TESTING ITS CORONAVIRUS VACCINE - CNBC ARTICLE. $PFE $AZN $MRNA $JNJ  https://t.co/7IagRRt6pD',16569
2020-09-28 20:01:56,b'TRUMP: 4 VACCINES ARE NOW IN THE FINAL STAGE OF TRIALS. $PFE $AZN $MRNA $JNJ',16569
2020-09-28 20:00:22,b'$BIIB losing a legal challenge against Pfizer $PFE and privately held EMD Serono seeking billions of dollars in royalties from US sales of their Rebif multiple sclerosis treatment',2561
