timestamp,tweet_text,followers_count
2020-10-01 23:49:45,"b""@saxena_puru @ycharts @saxena_puru Don't make me feel bad \xf0\x9f\x99\x82, I have $BAC and $PFE from this list .. Added them because they were discounted and provide ongoing dividends. Plus, every once in a while, you see rotation going on. I see your bigger point though.""",3634
2020-10-01 23:43:47,b'@jq1234t @matthewherper All am saying is $PFE and its guidance is not the problem here. Trying to give them credit instead of pointing fingers at them.',5787
2020-10-01 23:35:00,"b'Inovio Pharma $INO Will Confirm Pfizer $PFE Buyout Offer On The Table, Talks In NYC https://t.co/BnESoqsmxY  $GLBH $CKNQP $PGOL $SHLAF $TWCF $TXMC $NVSEF $BYDIF $CPFXF $PSPW $CNBB $CORX $APYRF $CUBS $CXDO $RVSDF'",4483
2020-10-01 23:34:08,"b'Sorrento Therpt $SRNE Share Price To Rise, Announcement Of Joint Venture With Pfizer $PFE https://t.co/BnESoqsmxY  $GLBXF $GLGLF $MKTY $TRSWF $VOIL $AILLL $CZSVF $DVDCF $MTLFF $KGTFF $CMSSU $DVNHF $AWAEF $EPTI $PTEEF'",4483
2020-10-01 23:34:02,b'short ratio interest of $GSK is 2.34 at 2019-05-31 https://t.co/qCKiZPHEWL $TEVA 1.69 $MRK 1.89 $PFE 2.86',218
2020-10-01 23:32:52,b'Amazon Workers Had Covid-19; CDC Funds Stalled: Virus Update $PFE $MCO $AMZN https://t.co/Y1RrzSEkBO',1310
2020-10-01 23:22:53,"b'$477.10 of shares acquired by Bourla Albert (Chairman &amp; CEO), reported in a new form 4 filed with the SEC  $PFE https://t.co/SA0iZX1FRR'",1310
2020-10-01 23:17:52,"b'$146.80 of shares acquired by Johnson Rady A (Executive Vice President), reported in a new form 4 filed with the SEC  $PFE https://t.co/SG5rjk5ONA'",1310
2020-10-01 23:12:52,"b'$1,174.40 of shares acquired by Damico Jennifer B. (SVP &amp; Controller), reported in a new form 4 filed with the SEC  $PFE https://t.co/6P5l4sXFBi'",1310
2020-10-01 23:07:53,"b'$440.40 of shares acquired by Young John D (Group President), reported in a new form 4 filed with the SEC  $PFE https://t.co/sEPAhoMELO'",1310
2020-10-01 23:06:03,b'$PFE [15s. delayed] filed SEC form 4: Insider DAMICO JENNIFER B.:  Transacted Derivative Securities on 2020-09-30.  https://t.co/7cK5trSiQN',1445
2020-10-01 23:06:00,b'$PFE [15s. delayed] filed SEC form 4: Insider YOUNG JOHN D:  Transacted Derivative Securities on 2020-09-30.  https://t.co/5ji797DdaR',1445
2020-10-01 23:05:55,b'$PFE [15s. delayed] filed SEC form 4: Insider JOHNSON RADY A:  Transacted Derivative Securities on 2020-09-30.  https://t.co/EbJ3kIjbax',1445
2020-10-01 23:05:53,b'$PFE [15s. delayed] filed SEC form 4: Insider BOURLA ALBERT:  Transacted Derivative Securities on 2020-09-30.  https://t.co/abgBbCtIUq',1445
2020-10-01 23:01:03,b'Imagine having Big Pharma pay for your medications  $PFE $GILD $NVO $MRK $BMY $LLU $SNF $NVS $GSK $XLV',120
2020-10-01 22:56:30,"b'Pfizer to buy 9.9% of CStone for $200 million, eyes collaboration | Reuters   Interesting play for $PFE #Pfizer #tyi  https://t.co/dPvbtAfMwZ'",314
