timestamp,tweet_text,followers_count
2020-09-18 23:58:02,b'$TSLA Come on Tesla 3 more minutes you can do it! Break 450 let\xe2\x80\x99s go\xf0\x9f\xa4\xaa https://t.co/uLuhyhLP1i',119
2020-09-18 23:57:59,b'Ticker: $BOOB ?   $ZM $FB $SPY $AMD $QCOM $MSFT $TWTR $SPAQ $NIO $NKLA $WMT $BA $ATVI  $PYPL $AMZN $SQ $FSLY $ETSY $SHOP $LYFT $UBER $CSCO $BP $TSLA $CRM $BIGC $SHOP $APPL $ROKU $ORCL $DIA $QQQ $SNOW $FROG https://t.co/bORb2yG9UJ',750
2020-09-18 23:57:38,b'$TSLA 20 day 1 hour chart leading into Monday....are you #bullish or #bearish on it.  Currently has a very nicely upward channel. #RSI sitting at 58. #MACD also looking good. https://t.co/3BlBV3tC8U',1012
2020-09-18 23:57:05,b'$Tsla could go another 10% on Monday ahead of battery day announcement on Tuesday. Google Tsla battery day.',1413
2020-09-18 23:57:00,b'I predict $TSLA price to hit $540 before the battery \xf0\x9f\x94\x8b day event starts \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd\xf0\x9f\x98\x8don Tuesday of next week',1942
2020-09-18 23:56:53,"b'$TSLA think we will split again when we get back to $2,000?'",213
2020-09-18 23:56:44,b'But battery day.  Great tech coming in five years. Just wait $tsla https://t.co/soQopAcFI0',1748
2020-09-18 23:56:40,"b""A major market move is going to happen. Haven't seen this many Darkpools since the crash and the bounce!!  $SPY $QQQ $AAPL $TSLA $NFLX""",364
2020-09-18 23:55:51,b'ARK with a pretty significant $TSLA dump today.',105
2020-09-18 23:55:43,"b'Notable open interest changes for September 17th $TSLA, $KODK, $C, $BAC'",8368
2020-09-18 23:55:39,"b'@tedstein He\'s sat in Trump admin from day one &amp; has reaped benefits from this in all ways. That\'s how (2nd pic).  The rise of new ""Third Reich"" is with these psychos if those in the positions where action matters don\'t do their part. https://t.co/UZgchDIqud  #tesla $tsla $tslaq #elections'",603
2020-09-18 23:55:02,"b""OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: https://t.co/0hVs8KfaZ8 It's FREE! No Credit Card Required! $AMZN $NVDA $TSLA $BABA""",3052
2020-09-18 23:55:00,b'$mark $tptw $ino $ktov $spaq $penn $nio $msft $idex $srne $aapl $xspa $vxrt $wkhs $ibio $nkla $jcpnq $aal $snow $cydy  $avgr $tsla $kodk $spy $lca $dkng $fb $evfm  WE ALERTED $NOVN at $.50 RAN TO $1.30 (160% GAIN!)  Daily Alerts  $15 ONE TIME FEE   BEAT THAT  \xf0\x9f\x91\x87\xf0\x9f\x91\x87 \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',4157
2020-09-18 23:54:59,b'$TSLA will let Tuesday trading hours tell me to sell before close or hold. Still holding 350cs 9/25 from 332.',21
2020-09-18 23:54:55,"b'$TSLA But wait, we didn\xe2\x80\x99t get added to the S&amp;P 500 the bears said?   Looks like the S&amp;P 500 needs TSLA over the boring companies like COCA-COLA to fix the trend right now \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'",10605
2020-09-18 23:54:29,b'$TSLA SuperCharger Version #4 leaks on Battery Day?',176
2020-09-18 23:54:01,b'Tesla | $TSLA  $TSLA  Long or short it with BTC on Trade8: https://t.co/I4uRFC0uZK https://t.co/BIfXN2u38l',3943
2020-09-18 23:53:47,b'$TSLA $475 monday premarket... keep waiting',213
2020-09-18 23:52:24,"b""@the_antrik @balazs_biro @TroyTeslike It's what matters.  Overall sales.  Your comparison is not intellectually honest.  Where was $TSLA in 2019?  Where will $TSLA be in 2021?  Picking the year they have peak demand due to pent up demand is not a fair assessment.""",79
2020-09-18 23:52:08,b'@Mark_Lexus Had it - just couldn\xe2\x80\x99t stomach that ramp - closed 1 min before the dump.  Gave up half my gains from $TSLA puts this week.  Frustrating',395
2020-09-18 23:51:22,b'via TheEconomist: Right now Tesla is king of the EV-industrial complex. But big carmakers could invest up to $500bn in electric vehicles over the next five years https://t.co/xi1cWrY5Uh $tsla',655
2020-09-18 23:51:04,"b'@ACE_Trader8 @balazs_biro @TroyTeslike Once all gigafactories are built, $TSLA will be massively overcapacity and structurally unprofitable with all that overhead.'",79
2020-09-18 23:50:00,b'$mark $ino $tptw $spaq $idex $srne $ibio $xspa  $vxrt $wkhs $nkla $jcpnq $cydy $tsla $kodk $nio $dkng $fb  $evfm $aapl $snow $ktov $msft $avgr $spy $lca $mark $aal  WE ALERTED $NOVN at $.50 RAN TO $1.30 (160% GAIN)  Daily Alerts  FREE TRIAL!   BEAT THAT\xf0\x9f\x91\x87\xf0\x9f\x91\x87  \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',94
2020-09-18 23:48:55,b'$SPY $TSLA $AAPL $WMT $JPM $NVDA $AMD $SHOP $AMZN $BIGC $CRWD $HD $MSFT $ORCL $NEE $QQQ $NFLX $PTON $VXX $ZM $DOCU $PENN $TGT $BA $W $FB $CHGG $BAC $GOOGL $GOOG $BE $LYFT $FDX $CRM $SBUX $PDD $TTWO $NKLA $BYND $DIS $NIO $QCOM $ATVI $SNE',198
2020-09-18 23:48:30,b'$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube   SM6 - Perfect (Official Music Video)  WATCH HERE --&gt; https://t.co/ROqLRcRFg7 https://t.co/7a3uHVcNlg',4438
2020-09-18 23:48:21,b'@Joshuatrader1 Hey thanks for the reply! You see the price on $tsla rising any more before Tuesday?',4
2020-09-18 23:47:36,"b""I've  made 36k  with them . If you really want to make a huge profit on trading .... Choose this professional chat:  https://t.co/OOE8VoIYjZ   $SPY $FDX $UVXY $DKNG $BA $TSLA $AMZN $NVDA $BA $BABA $AMD $NFLX $FB $USO $DAL $UGAZ $DIS $QQQ $TSLA $AAPL $AAL $UBER $TWLO $TWTR $TVIX https://t.co/owKeQSodDz""",23
2020-09-18 23:44:43,b'@JonahLupton @colt191812 @ARKInvest I just looked and $ZM has a 500 PE ratio lol. $TSLA 1000 PE. It truly is hard to believe but investors are paying big premiums for the best companies',397
2020-09-18 23:44:32,b'@RemySabol @2ktoose If it comes in the form of a tweet and not an official form... it\xe2\x80\x99s face value.  $NKLA  $Tsla   Both have CEOs who tweet and what they say has not been factual.   Want to see confirmation. Then I\xe2\x80\x99ll buy. Have to be more cautious. Don\xe2\x80\x99t trust the heard mentality.',3945
2020-09-18 23:43:17,"b'Playing $tsla for battery day, if i lose I\xe2\x80\x99ll delete my Twitter \xf0\x9f\x9a\x95'",19
2020-09-18 23:42:46,b'@WhyteStocks $TSLA going to the moon!! \xf0\x9f\x8c\x99\xf0\x9f\x8c\xa0',118
2020-09-18 23:42:42,b'End the week strong!!! $ZM lotto 1500% $Tsla lotto 116%',445
2020-09-18 23:42:39,"b""@the_antrik @balazs_biro @TroyTeslike Those are not all the EVs. There are three companies that have sold similar volumes in 2020(SAIC/BYD + $TSLA is only there because of pent up demand, which will dissipate in 2021). The biggest EV companies in China sell small vehicles, that's why $TSLA is talking about Model 2. https://t.co/S8OC7kqrJ0""",79
2020-09-18 23:42:30,b'Here you go....this is the next wave of the green revolution: recycling toxic chemicals from EV batteries.  $TSLA $AMZN @jbstraubeltesla @elonmusk   Tesla co-founder wins Amazon funding for electric battery project https://t.co/Gha0l65MeX via @financialtimes',729
