timestamp,tweet_text,followers_count
2020-09-28 15:06:44,b'$SPI alert @ 3.88 ran to $46! \xf0\x9f\x94\xa5 $SUNW alerted @ .78 ran to $8!\xf0\x9f\x94\xa5 $CBAT alerted at 1.40 ran 100%  $PLM given at 1.50 \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5  Join us! For free! Screenshots don\xe2\x80\x99t lie \xf0\x9f\x93\x88 https://t.co/E31hutEMwG   $PPSI $TSLA $AAPL $FEDU $BOXL $DKNG $SPY https://t.co/IdyYyCjnOq',292
2020-09-28 15:06:30,b'@TomasSin4 Let\xe2\x80\x99s say $TSLA close $424.94 today. Is that specific enough\xf0\x9f\xa4\xa8',1009
2020-09-28 15:06:17,b'$TSLA holding around $420 for a while\xf0\x9f\x98\x8b',2063
2020-09-28 15:06:04,b'\xf0\x9f\x94\x8b\xf0\x9f\x9a\x99 $PLL $TSLA $LAC #Lithium  https://t.co/mNoFboCPCO',9687
2020-09-28 15:06:01,"b'@WallStCynic It might be true in order to avoid the \xe2\x80\x9ccomp\xe2\x80\x9d. After all, if the claims from battery day were true, why would $TSLA have any interest in this?'",6598
2020-09-28 15:05:59,"b'$ASPS Waiting for a break above $14.00 Come join our free Discord community for discussion, trade setups and education.  https://t.co/YvBxbH2ngI  $aapl $msft $nvda $mrna $srne $fb $snap $amzn $tsla $nio $pfe $aim $ino $NKLA $DNR $IBIO $MVAX $AZN $TSLA $NKLA $GNUS $IBIO $INO $NIO https://t.co/mcNOKRlREo'",1885
2020-09-28 15:04:57,b'Stocks to trade watch list: $AMZN $DKNG $MELI $SNOW $ISRG $TSLA $SHW $BA $TTD $SHOP $ULTA $W $GOOG $U $FDX $AVGO $SPCE $PLL $AMBO',78
2020-09-28 15:04:51,b'$tsla is heading to 2100 from current levels by May 2021',27403
2020-09-28 15:04:49,b'$PAND Presentation Thursday. Had nice run up before last presentation. $26 pt. $CGM $ROKU $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL $NOVN $GOOG $AYRO $SOLO $CEMI $APT $NBY $CLSN $CHFS $MARK $SLULU $NIO $DLPN $WKHS $CARV $BA $BIGC $CRM $BABA $W $JAGX $INO  $BYFC $TSLA $FREE  $AMZN https://t.co/62MSjylVY4',5
2020-09-28 15:04:43,"b'#rpiFTI I have been a passive investor with only a trade for $TSLA since putting my portfolio into the benchmark of 80% $VTI and 20% $BND. I bought $TSLA as it spiked as it is a volatile stock, so implicit cost. My costs are low relative to the value of my portfolio'",1
