timestamp,tweet_text,followers_count
2020-09-17 22:19:18,b'@vikramaityad @calvinfroedge $VLO? $48 at the Moment with a 98 cent dividend.',6
2020-09-17 21:45:28,"b""Refiners will print a few more bad quarters but I think you won't get a chance to buy much cheaper. Shares will have already moved after the recovery. Some of these are still sitting around 52 week lows. Fuel demand will recover, personal opinion.  $PBF $HFC $VLO $MPC $PSX""",7000
2020-09-17 20:52:56,"b""Thursday's Top Flow in #energy sector, Buy Flow &amp; Sell Flow $MPC $COP $KMI $HAL $NOV $MRO $HES $SLB $CVX $SE $WMB $VLO $PSX $PXD $EOG $XOM $NBL $OKE $APA $EQT #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas https://t.co/5JE2nlrW3B https://t.co/Sxf6pkmbIU""",4540
2020-09-17 18:45:35,b'Day trader alert! #ENERGY sector value =  The most overvalued symbol is $OXY.  The most undervalued is $VLO.  Check the link in our bio to see how we get our data.  #SectorSifter #XLE #Alpha #Trading #DayTrading #SwingTrading',475
2020-09-17 16:41:49,"b'Today Top Flow in #energy sector, Buy Flow &amp; Sell Flow $SLB $COP $WMB $OXY $EQT $CVX $HAL $SWN $NOV $BTU $XOM $SE $HES $EOG $OKE $MPC $COG $KMI $VLO $CNX #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas https://t.co/B7BWRcVOEf https://t.co/TbkVxROpBS'",4002
2020-09-17 15:45:06,"b'Today Top Flow in #energy sector, Buy Flow &amp; Sell Flow $OXY $COP $SLB $EQT $CVX $WMB $HAL $NOV $RIG $RRC $SE $XOM $HES $EOG $VLO $MPC $PSX $OKE $COG $KMI #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas https://t.co/5JE2nlrW3B https://t.co/8czUZP3BLI'",4540
2020-09-17 13:12:28,b'$VLO in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/jkNLD5RAxq #ValeroEnergy #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/IZHywij56k',6357
2020-09-17 09:34:02,b'$MUSA short ratio is 6.00 at 2019-05-31 https://t.co/s4S0HRAkll $VLO 1.33 $MPC 1.42',215
2020-09-17 08:42:46,b'$XOI US ARCA Oil top: $VLO $EOG $COP $XOM. Selected by our stock screener: https://t.co/aYMMPANBJT #stocks  #valueinvesting #valuation',1854
2020-09-17 03:19:25,"b'Wed (9/16/20) highest % above the opening 30-min high, G/L % in final 30-Min &amp; Trading range % (Min $5, Vol 750K, Opt Vol in any strike 500): $GME $INO $SRNE $GE $PEIX $QRTEA $TGI $PLCE $KIRK $FOSL $NVAX $OXY $WVE $MRSN $VXRT $RAD $OVV $SSSS $CODX $FANG $JMIA $AAL $PDCE $EOG $VLO https://t.co/PnajF4lNDh'",2368
2020-09-17 02:43:13,"b'Top 20 S&amp;P 500 gainers for Wednesday September 16, 2020  $GE $OXY $FANG $FTI $HP $OKE $ADS $NTRS $EOG $CXO $UAA $AAL $SPG $VLO $UA $VNO $SYY $NVR $L $IVZ https://t.co/amhV1Zzu1x'",316
2020-09-17 01:19:41,"b'Tomorrow\xe2\x80\x99s #watchlist for #NYSE, #NASDAQ between $40 and $50: $ADM $ADS $ALK $ARCH $ARWR $BBL $CMCSA $EOG $GDX $HTHT $HXL $IP $JCI $LUV $MTZ $NAV $NVTA $PCVX $QURE $REG $REGI $STX $TFC $VLO $XOP $ZYME'",467
