,date_time,ticker,headline,neg,neu,pos,compound
0,2020-09-25 20:39:00,FB,"As Zoom and Videoconferencing Boom, TVs Are Getting Left Behind",0.0,1.0,0.0,0.0
1,2020-09-25 17:56:00,FB,Google Policy Limits Ads for Election as It Does for Disasters,0.265,0.735,0.0,-0.5574
2,2020-09-25 17:44:00,FB,A Right-Leaning Court Will Tackle Some Big Business Cases. The Outcomes Arent Obvious.,0.0,1.0,0.0,0.0
3,2020-09-25 17:33:00,FB,"Apple Gives In, Allows Facebook Pay for Paid Online Events",0.135,0.865,0.0,-0.1027
4,2020-09-25 17:14:00,FB,"Apple Decides to Waive 30% Cut of Paid Events on Facebook, but Only for 3 Months",0.1,0.9,0.0,-0.1406
5,2020-09-25 16:25:00,FB,"Alphabet Inc. Cl A stock rises Friday, still underperforms market",0.0,1.0,0.0,0.0
6,2020-09-25 16:09:00,FB,"Market Recap: Friday, September 25",0.0,1.0,0.0,0.0
7,2020-09-25 16:08:00,FB,"Facebook Stock Looks Poised to Rally Back to $300, Says 5-Star Analyst",0.0,0.846,0.154,0.25
8,2020-09-25 16:06:00,FB,Apple Temporarily Stops Taking 30% Cut of Facebook Paid Events,0.316,0.684,0.0,-0.4019
9,2020-09-25 15:33:00,FB,Tech Companies Wager Billions On Race To Win Over These Consumers,0.0,0.725,0.275,0.5859
10,2020-09-25 14:14:00,FB,Republican AG Slams Democrats Who Would Shun DOJs Google Suit,0.0,1.0,0.0,0.0
11,2020-09-25 13:50:00,FB,Ex-Facebook and Pinterest exec explains how tech addiction made him rethink his life's work,0.0,1.0,0.0,0.0
12,2020-09-25 13:24:00,FB,Antitrust investigations into Google & Facebook heat up,0.0,1.0,0.0,0.0
13,2020-09-25 12:08:00,FB,Facebook events service gets temporary exemption from Apple App Store fees: blog post,0.0,1.0,0.0,0.0
14,2020-09-25 12:00:00,FB,"Apple Temporarily Waives 30% Fee for Facebook Paid Live Events, but Not for Gaming Creators",0.0,1.0,0.0,0.0
15,2020-09-25 12:00:00,FB,Apple to Let Facebook Online Events Temporarily Avoid 30% Cut,0.35,0.65,0.0,-0.5106
16,2020-09-25 12:00:00,FB,Apple is (temporarily) waiving its App Store fee for Facebook's online events,0.0,1.0,0.0,0.0
17,2020-09-25 12:00:00,FB,Facebook events service gets temporary exemption from Apple App Store fees -blog post,0.0,1.0,0.0,0.0
18,2020-09-25 10:45:00,FB,Trump administration asks the U.S. court to allow WeChat ban to move forward,0.218,0.667,0.115,-0.4019
19,2020-09-25 09:15:00,FB,Better Buy: Facebook vs. Twitter,0.0,0.58,0.42,0.4404
20,2020-09-25 08:25:00,FB,"Social media deal earns advertisers' 'likes', but not yet all their dollars",0.0,1.0,0.0,0.0
22,2020-09-25 07:37:00,FB,Facebook critics launch rival oversight board,0.306,0.6940000000000001,0.0,-0.29600000000000004
24,2020-09-24 23:29:00,FB,"Google, Facebook CEOs Could Face Subpoena From Senate Panel",0.0,1.0,0.0,0.0
25,2020-09-24 16:25:00,FB,"Alphabet Inc. Cl A stock rises Thursday, outperforms market",0.0,1.0,0.0,0.0
26,2020-09-24 15:10:00,FB,The rotation to more value and cyclical sectors has already begun: Wealth Consulting Group CEO,0.0,0.688,0.312,0.7089
27,2020-09-24 15:06:00,FB,"Facebook suspends fake Russian accounts, warns of U.S. election hack-and-leak threat",0.4970000000000001,0.503,0.0,-0.7845
29,2020-09-24 15:00:00,FB,"Facebook suspends fake Russian accounts, warns of US election hack-and-leak threat",0.4970000000000001,0.503,0.0,-0.7845
30,2020-09-24 14:43:00,FB,"Alphabet, Facebook, Twitter CEOs Asked to Appear at Senate Hearing",0.0,1.0,0.0,0.0
