,date_time,ticker,headline,neg,neu,pos,compound
0,2020-09-26 17:27:00,GOOG,A Right-Leaning Court Will Tackle Some Big Business Cases. The Outcomes Arent Obvious.,0.0,1.0,0.0,0.0
1,2020-09-26 12:26:00,GOOG,"This Week in Apps: Redesigning the iOS 14 home screen, app makers form 'fairness' coalition, latest on TikTok ban",0.16699999999999998,0.833,0.0,-0.5574
2,2020-09-26 10:49:00,GOOG,TikTok Judge Schedules Sunday Hearing as Trumps Ban Looms,0.426,0.574,0.0,-0.6369
3,2020-09-26 08:32:00,GOOG,Opinion: Why Mr. Market doesnt care if democracy is collapsing,0.376,0.624,0.0,-0.5897
4,2020-09-26 07:55:00,GOOG,3 Cash-Cow Stocks to Buy Ahead of the Next Market Crash,0.231,0.769,0.0,-0.4019
5,2020-09-25 20:05:00,GOOG,Why Rival Bike Peddlers Could Help Boost Pelotons Stock,0.0,0.565,0.435,0.6597
6,2020-09-25 17:56:00,GOOG,Google Policy Limits Ads for Election as It Does for Disasters,0.265,0.735,0.0,-0.5574
7,2020-09-25 17:14:00,GOOG,"Apple Decides to Waive 30% Cut of Paid Events on Facebook, but Only for 3 Months",0.1,0.9,0.0,-0.1406
8,2020-09-25 16:25:00,GOOG,Apple Inc. stock outperforms competitors on strong trading day,0.0,0.708,0.292,0.5106
9,2020-09-25 16:25:00,GOOG,"Amazon.com Inc. stock rises Friday, outperforms market",0.0,1.0,0.0,0.0
10,2020-09-25 16:25:00,GOOG,"Alphabet Inc. Cl A stock rises Friday, still underperforms market",0.0,1.0,0.0,0.0
11,2020-09-25 16:09:00,GOOG,"Market Recap: Friday, September 25",0.0,1.0,0.0,0.0
12,2020-09-25 15:33:00,GOOG,Tech Companies Wager Billions On Race To Win Over These Consumers,0.0,0.725,0.275,0.5859
13,2020-09-25 14:34:00,GOOG,Google settles shareholder lawsuits over sexual-harassment scandals,0.49,0.51,0.0,-0.5859
14,2020-09-25 14:14:00,GOOG,Republican AG Slams Democrats Who Would Shun DOJs Google Suit,0.0,1.0,0.0,0.0
15,2020-09-25 14:12:00,GOOG,U.S. judge expected to decide by Sunday if TikTok will remain in U.S. app stores,0.0,1.0,0.0,0.0
16,2020-09-25 13:33:00,GOOG,Google Reaches $310 Million Settlement In Misconduct Case,0.0,0.8540000000000001,0.146,0.0516
17,2020-09-25 13:24:00,GOOG,Antitrust investigations into Google & Facebook heat up,0.0,1.0,0.0,0.0
18,2020-09-25 13:20:00,GOOG,Google to block U.S. election ads after polls close,0.266,0.7340000000000001,0.0,-0.4404
19,2020-09-25 13:18:00,GOOG,Google to block election ads after Nov.3,0.326,0.674,0.0,-0.4404
20,2020-09-25 12:55:00,GOOG,Alphabet settles shareholder suit over sexual harassment claims,0.33299999999999996,0.667,0.0,-0.5423
21,2020-09-25 09:45:00,GOOG,Google to Increase Push for Apps to Give Cut of In-App Purchases,0.146,0.6940000000000001,0.16,0.0516
22,2020-09-25 07:55:00,GOOG,Amazon Unveiled New Hardware at Its Virtual Product Event. Heres Whats New.,0.0,0.866,0.134,0.1779
23,2020-09-25 07:31:00,GOOG,The Company Tesla Should Worry About in 2021,0.293,0.7070000000000001,0.0,-0.4404
24,2020-09-25 07:30:00,GOOG,"[video]4 Thoughts on Amazon's Echo, Fire TV and Cloud Gaming Launches",0.19399999999999998,0.8059999999999999,0.0,-0.34
25,2020-09-25 06:00:00,GOOG,The #MeToo movement blew up the way Hollywood operates: Jessica Alba,0.0,1.0,0.0,0.0
26,2020-09-25 00:48:00,GOOG,Justice Department asks judge to allow U.S. to bar WeChat from U.S. app stores,0.0,0.6940000000000001,0.306,0.6486
27,2020-09-24 23:30:00,GOOG,"Google Services, Including Gmail, YouTube Disrupted As Servers Crash",0.252,0.748,0.0,-0.4019
28,2020-09-24 23:29:00,GOOG,"Google, Facebook CEOs Could Face Subpoena From Senate Panel",0.0,1.0,0.0,0.0
29,2020-09-24 22:56:00,GOOG,"Amazon Launches Luna, a Cloud-Based Video Game Service",0.0,0.779,0.221,0.1779
30,2020-09-24 21:15:00,GOOG,Google Meet and other Google services go down (Updated),0.0,1.0,0.0,0.0
31,2020-09-24 19:40:00,GOOG,"Amazon Chases Google, Microsoft in the Game-Streaming Market",0.0,0.805,0.195,0.1779
32,2020-09-24 17:21:00,GOOG,Microsoft's Xbox boss: Video games undergoing the 'same transformation' as TV and music did,0.0,1.0,0.0,0.0
33,2020-09-24 16:56:00,GOOG,Alphabet to Help Employees Tackle Student Loans,0.0,0.69,0.31,0.4019
34,2020-09-24 16:36:00,GOOG,PayPal and Square Could Gain as EU Mulls iPhone Payments Rules,0.0,0.746,0.254,0.5267
35,2020-09-24 16:25:00,GOOG,"Apple Inc. stock rises Thursday, outperforms market",0.0,1.0,0.0,0.0
36,2020-09-24 16:25:00,GOOG,Amazon.com Inc. stock outperforms market on strong trading day,0.0,0.708,0.292,0.5106
37,2020-09-24 16:25:00,GOOG,"Alphabet Inc. Cl A stock rises Thursday, outperforms market",0.0,1.0,0.0,0.0
38,2020-09-24 16:22:00,GOOG,"Microsoft Bolsters Cloud Offerings With Azure, Teams Enhancements",0.0,1.0,0.0,0.0
