,timestamp,tweet_text,followers_count,scaled_followers_count,neg,neu,pos,compound
0,2020-10-07 23:21:48,"Exxon’s Market-Value Crown in Energy Passes to Chevron, NextEra $XOM $CVX ",1297,0.005063103366163479,0.0,0.826,0.174,0.27458323983963584
1,2020-10-07 23:15:27,$CVX - Chevron workers to reapply for jobs in global restructuring - Reuters  Great Dividend Stock BUY CVX !,171,0.0006675332888311142,0.0,0.774,0.226,0.659239770930682
2,2020-10-07 23:13:36,"$CVX $XOM $XLE - Chevron passes Exxon as largest U.S. oil company, but both lag NextEra  Great Dividend Stocks BUY CVX, NEE and XOM !",171,0.0006675332888311142,0.10300000000000001,0.6990000000000001,0.198,0.5919949126936724
3,2020-10-07 23:09:19,  And $CVX cuz that supply shock is gonna catch everyone by surprise,693,0.002705266486315568,0.177,0.68,0.14300000000000002,-0.1283462741102484
4,2020-10-07 23:07:41,"$CVX $XOM $XLE - Chevron passes Exxon as largest U.S. oil company, but both lag NextEra ",56040,0.2187635409713195,0.18100000000000002,0.8190000000000001,0.0,-0.580984579981028
5,2020-10-07 22:58:52,"$CVX plan to require employees to re-apply for jobs as part of restructuring probably necessary, and something I expected to see earlier than this from E&amp;Ps.  Almost ""Dutch auction""-like  ",364,0.0014209480534182778,0.0,1.0,0.0,0.0
6,2020-10-07 22:31:29,"#Energy Sector (Oct 7), Top 10 StockMarket Buy Flow Stocks Animated $CVX $HES $OXY ... #stocks #stock #StockMarket #Investment #investments #investors #invest #trader #trading #Markets #Options #OptionsTrading #StocksToTrade #optionstrade #UOA ",4581,0.017882865474475634,0.0,0.9420000000000001,0.057999999999999996,0.20591770368548645
7,2020-10-07 22:28:17,$QQQ #NASDAQ100 : Pushing narrative .  $SPY $DJIA $DJI $QQQ $FB $GOOG $AMZN $MSFT $SQ $SHOP $DIS $NFLX $INTC $NVDA $AMD $CRM $ADBE $INTC $WMT $HD $PG $T $PYPL $TWTR $MU $AAPL $TSLA $PFE $ETSY $ATIV $PENN $SBUX $MCD $JPM $BAC $WFC $C $BRK.B $XOM $CVX $NIO  ,202,0.0007885480955782751,0.0,1.0,0.0,0.0
8,2020-10-07 22:24:12,Chevron looking to make some deep cuts. $CVX ,109,0.000425503675336792,0.239,0.7609999999999999,0.0,-0.2961259490878997
9,2020-10-07 22:19:41,$CVX - Chevron workers to reapply for jobs in global restructuring - Reuters ,56040,0.2187635409713195,0.0,1.0,0.0,0.0
10,2020-10-07 22:19:08,$.INX 3360.95 $RRC 7.03 $EQNR 14.29 $TOT 34.27 $TRP 41.37 $CVX 72.3 $COP 33.3 $EC 9.93 $PBR 7.17 $DVN 9.73 $KMI 12.27 $CEO 97.13 $EOG 35.99 $RDS.A 25.3 $MRO 4.04 $XOM 33.39 $BP 16.93 $OXY 10.13 ,2323,0.009068303099150164,0.0,1.0,0.0,0.0
11,2020-10-07 22:15:00,"With the US energy industry having already laid off 107,000 workers this year, 15% of $CVX's workforce may soon be out of work. The double blow of the pandemic and declining oil demand has devastated oil producers worldwide. ",1697,0.006624584743546202,0.129,0.8220000000000001,0.049,-0.5301891687844258
12,2020-10-07 22:11:29,$XOM and $CVX tie up possible?  Why not create a super-major US champion? ,801,0.003126866458208903,0.113,0.622,0.265,0.5356697466886836
13,2020-10-07 22:08:57, $CSCO $TD $BUD $AMD $MCD $BLK $TSM $CAT $SPGI $CVX $ORCL $AZN $DIS $HON $WFC $TXN $COST $CHTR $SAP $ADBE $PM $TM $MDT #money #robinhood ,4331,0.016906939613611432,0.0,1.0,0.0,0.0
14,2020-10-07 21:51:51, Bullish $CVX,126,0.0004918666338755577,0.0,1.0,0.0,0.0
15,2020-10-07 21:18:02,Short sale volume (not short interest) for $CVX at 2020-10-06 is 43%.  $XOM 41% $RDS.A 67% $COP 42% $BP 49%,3432,0.013397510217943763,0.0,1.0,0.0,0.0
16,2020-10-07 21:10:48, A rebounding economy in combination with the need for oil across many industries makes me bullish for integrated oil names. Plus bigger names like $CVX $XOM have plenty of cash. Really like that $XOM dividend as well,1121,0.004376051560115082,0.0,0.823,0.177,0.7300809518790475
17,2020-10-07 20:52:00,"$SPY SPDR S&amp;P 500 Option Alert: Nov 20 $324 Puts Sweep (21) near the Ask: 1623  $6.8 vs 7242 OI; Ref=$340.75 [10/7/2020, 11:02:00 AM] [+$500k Sweeps Above Midpoint] Other Sweeps on: $HD $CLF $ENPH $FSLR $BLNK $ALXN $JKS $SPG $TEAM $AMRN $CVX $TSLA",770,0.0030058516514617412,0.0,0.95,0.05,0.2968897320888327
19,2020-10-07 20:42:57,Hey Friends...here's our watch lists for tomorrow. $CHS $CPE $ACB $CVE $ADBE $CVX $AAL. Bookmark our watch lists here:  ,17456,0.06814304730898202,0.0,1.0,0.0,0.0
20,2020-10-07 20:37:00,Regeneron and Gilead Stock Jump as President Trump’s Health Remains in Focus   $regn $gild $oil $gush $ptr $snp $xom $tot $su $cvx,6354,0.024804131679724555,0.0,1.0,0.0,0.0
22,2020-10-07 20:32:43,"Wednesday's Top Flow in #energy sector, Buy Flow &amp; Sell Flow $CVX $HES $OXY $SWN $APA $DVN $HAL $COG $NOV $CNX $COP $VLO $EOG $PSX $WMB $KMI $SE $SLB $PXD $RRC #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas  ",4581,0.017882865474475634,0.0,0.955,0.045,0.20591770368548645
23,2020-10-07 20:30:24,Largest $Notional Sell On Close Order Imbalances $VSLR $CVX $C $UNP $DTE $T $CPB $CVS $KO $MRK ,5356,0.020908235643154662,0.0,1.0,0.0,0.0
24,2020-10-07 20:26:55, $KO $DHR $CVX $RY $NFLX $RTX $DIS $ZM $ADBE $ORCL $AVGO $TD $V $DCUE $AXP $NVS $WFC $PYPL $ABT $LLY $AMT $SHOP $SBUX #money #robinhood ,4331,0.016906939613611432,0.0,1.0,0.0,0.0
25,2020-10-07 20:20:32,$CVX Piercing Line Daily appearances since 2010: 53 Close 5 days later ±: Avg: -0.37 SD: 3.56 Worst: -10.23 Best: 8.44  10 days later: Avg: 0.19 SD: 5.27 Worst: -9.84 Best: 13.02  30 days later: Avg: 0.42 SD: 8.07 Worst: -30.16 Best: 19.15,301,0.001175014736480499,0.20199999999999999,0.591,0.207,0.07729071113765629
26,2020-10-07 20:20:19, And $CVX is worth less than half of $WMT. Decadence is sad.,441,0.001721533218564452,0.207,0.667,0.127,-0.29650957383269505
27,2020-10-07 20:13:27,$CVX now bigger than $XOM ,8199,0.032006464532902366,0.0,1.0,0.0,0.0
28,2020-10-07 20:12:14, Not sure about the accuracy of this information. NextEra Energy $nee is worth $145bn and is more valuable than both Exxon Mobil $xom and Chevron $cvx,797,0.0031112516444350754,0.063,0.7020000000000001,0.23600000000000002,0.6651630709654249
29,2020-10-07 20:05:33, 3 biggest energy/utility companies in order: 1. NextEra $NEE 2. Chevron $CVX 3. ExxonMobil $XOM ,4825,0.018835369114679097,0.0,1.0,0.0,0.0
30,2020-10-07 20:04:11,$XOM $CVX CHEVRON TOPS EXXON AS BIGGEST U.S. OIL FIRM BY MARKET VALUE,53,0.00020689628250321083,0.0,0.659,0.341,0.6909429239519532
31,2020-10-07 19:57:05," LOL, more like $XOM roared past $CVX on the down elevator.",168,0.0006558221785007436,0.0,0.5870000000000001,0.413,0.745488587522983
32,2020-10-07 19:50:36,#Options Flow Grid Update $CVX #OptionsTrading #Chevron Shares ⬆️2% to $73.75 #OptionsFlow #stocks #stock #StockMarket #investing #Investment #energy #Oil #oilandgas #OilPrices #oilprice  ,5029,0.019631724617144283,0.0,0.905,0.095,0.3018109904866747
