,timestamp,tweet_text,followers_count,scaled_followers_count,neg,neu,pos,compound
0,2020-10-07 23:58:39,And that is *after* the recent episode of crazed momoramming of $SQ. TL; DR: These repeated $GS vs $SQ comparisons aren’t very good ones.,868,0.020071220459695692,0.055999999999999994,0.8240000000000001,0.12,0.4085385237941082
1,2020-10-07 23:55:25,Wealth created for $GS partners / now shareholders on a total return basis vs $SQ - I’d punt the latter becomes a rounding error. Harder to measure though. ,868,0.020071220459695692,0.09300000000000001,0.727,0.18,0.3684497248300421
2,2020-10-07 23:46:58,"Best trading community, GET STOCKS &amp; OPTIONS ALERTS:  $NIO $BYND $USEG $SHOP $GS $UNFI $GDDY $BLINK $DKNG $MU $NOVS $MYOV $APDN $MXC $BZUN $AAPL $GNUS $TSLA $AAL $SRNE $NAOV $SUNW $OXBR $OPK $SPY $AMD $LONE $INO $WKHS $CZR $UAL $NKLA $PLUG ",132,0.0030523054155297603,0.0,0.905,0.095,0.6388440133191511
3,2020-10-07 23:40:36,$DXY - What do you think?  $gdx $gld $slv $f $ge $aapl $msft $dis $tsla $sq $amzn $bac $spce $race $gbpusd $ubs $docu $ibb $crm $okta $fb $ibm $intc $gs $jpm $ms $ma $spx $spy $qqq $ko $zm $xlf $uup $vix $gold #forex #forexsignals #forextrading $xle $usd $tlt $agg $googl $axp $v ,53,0.001225546871386949,0.0,1.0,0.0,0.0
5,2020-10-07 23:24:04,$GS  new alert at   #stocks #daytrading  #NYSE #NASDAQ #market 1411,6487,0.1500023123525875,0.0,0.804,0.196,0.3404006844563659
6,2020-10-07 23:18:55,$GS inside day - higher high weekly - although gets faded constantly because banks are trash  just a trade idea - don't think I'm ready to touch banks yet - id rather crap retail lol ,5940,0.1373537436988392,0.136,0.782,0.081,-0.2601128011839245
7,2020-10-07 23:17:22,"If Ocean Spray can rebrand, so can Goldman Sachs 😂 $gs    Churn out those TikToks  ! 🧃 ",272,0.006289599038061324,0.0,1.0,0.0,0.0
13,2020-10-07 23:06:39,Correct Answer:  $DXY is not in a Head &amp; Shoulders Pattern  $gdx $gld $slv $f $ge $aapl $msft $dis $tsla $eur $amzn $bac $usdchf $gbpusd $ubs $mrna $ibb $jnj $baba $fb $usdinr $gs $jpm $ms $jnj $spx $spy $qqq $eurusd $usdjpy $xlf $uup $vix $gold #forex #forexsignals #forextrading ,53,0.001225546871386949,0.0,1.0,0.0,0.0
15,2020-10-07 23:00:05,Negative sentiment on social media for $GS Goldman Sachs over the last 7 days.  Learn more at  ,732,0.01692642094066503,0.198,0.802,0.0,-0.5815802201359662
16,2020-10-07 22:53:06,I'm Paying A New Tax To Support $AMZN Son Of A $aapl $amzn $ba $bhc $brk $ko $ibm $pep $msft $nflx $tsla $goog $mcd $shak $crm $tst $dis $f $ge $gm $hlf $iep $ge $gm $tgt $kr $jpm $bac $c $ms $gs $dal $luv $ual $nke $sbux  $tst $abbv $pfe $mrk $googl $orcl ,131,0.003029181889654535,0.0,0.9490000000000001,0.051,0.4031174282014522
17,2020-10-07 22:50:00,Look At What's Near My House  $aapl $amzn $ba $bhc $brk $ko $ibm $pep $msft $nflx $tsla $goog $mcd $shak $crm $tst $dis $f $ge $gm $hlf $iep $ge $gm $tgt $kr $jpm $bac $c $ms $gs $dal $luv $ual $nke $sbux  $tst $abbv $pfe $mrk $googl $orcl  ,131,0.003029181889654535,0.0,1.0,0.0,0.0
18,2020-10-07 22:43:29, is out w/ a new podcast discussing how fintech can better serve Millennials/Gen Z than traditional banks. Read the key takeaways &amp; why it should matter to banks from an investment standpoint in tonight's report by signing up on ! $PYPL $GS $XLK $SPY,2994,0.06923183647042501,0.0,0.9009999999999999,0.099,0.5445597743143874
