,timestamp,tweet_text,followers_count,scaled_followers_count,neg,neu,pos,compound
0.0,2020-10-07 23:54:45, The real question to ask is what kind of HBV patent mote is being built. $JNJ is a global giant. Noone better equipped to build and enforce ..... $ARWR #SilentBeneficiary,107.0,0.00100538397211234,0.0,0.9059999999999999,0.094,0.4408427711013183
1.0,2020-10-07 23:38:29,$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube #musicnews360 #socialmediaradio #themusicofnow  comethazine - derek jeter  WATCH HERE --&gt;  ,4331.0,0.04069456059082752,0.0,1.0,0.0,0.0
3.0,2020-10-07 23:34:12,80k+ members Do join=&gt;  one of the largest stocks and options trading communities with real traders providing analysis.  $BA $INTC $JNJ $MGM $SBUX $SPY $NFLX $AMZN $SNAP $NVDA $TSLA $NDX $SPY $AAPL $BABA $NFLX $ROKU $BA $COST $MCD $WMT $FB $VIX $ES ,487.0,0.004575906489894482,0.0,1.0,0.0,0.0
4.0,2020-10-07 23:28:35,$atnm 🙏 !! Exciting times!! Big news coming within weeks!! Only 13.5 milllion float👀  $plug $ktov $ibio $regn $jnj $abbv $lly $cytk $imtx $halo $snbp $aytu ,607.0,0.0057034399165625275,0.0,0.846,0.154,0.6599425972732483
5.0,2020-10-07 23:25:43,Individual equities  INSTITENTION SCORE 10 or MORE last 30 days. $UNP $UPS  $FDX $NEE  $JNJ  $KO $PEP $EXC We will update....when the new equity appears. ,594.0,0.005581290462006822,0.0,1.0,0.0,0.0
6.0,2020-10-07 23:18:44,"Meanwhile: Dying in a Leadership Vacuum   The Food and Drug Administration has been shamefully politicized, appearing to respond to pressure from the administration rather than scientific evidence.""  #FDA $REGN $LLY $JNJ $PFE $MRNA $AZN #COVID19 #vaccines",10128.0,0.09516382121078297,0.134,0.866,0.0,-0.6843678718746183
7.0,2020-10-07 23:16:17,"#Trump calls catching #COVID19 #blessingindisguise,’ touts experimental #antibodytreatment by #Regeneron: 'I feel like perfect'  $REGN $LLY $SPY $DIA $MRNA $PFE $BNTX $AZN $MRK $JNJ $IBB $HQL $HQH $THQ $THW",1094.0,0.010279346406457009,0.033,0.7809999999999999,0.18600000000000003,0.7343720569028536
9.0,2020-10-07 23:07:16,$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube #musicnews360 #socialmediaradio #themusicofnow  matthaios - nararahuyo  ft. dudut  WATCH HERE --&gt;  ,4331.0,0.04069456059082752,0.0,1.0,0.0,0.0
10.0,2020-10-07 23:06:39,Correct Answer:  $DXY is not in a Head &amp; Shoulders Pattern  $gdx $gld $slv $f $ge $aapl $msft $dis $tsla $eur $amzn $bac $usdchf $gbpusd $ubs $mrna $ibb $jnj $baba $fb $usdinr $gs $jpm $ms $jnj $spx $spy $qqq $eurusd $usdjpy $xlf $uup $vix $gold #forex #forexsignals #forextrading ,53.0,0.0004979939301117198,0.0,1.0,0.0,0.0
11.0,2020-10-07 22:55:25,$atnm . Was right about $plug will he be right about $atnm.? I am willing to bet my childrens college fund on it... Lets go!!!! Welcome the opportunity.  Big readouts by December 5th!!  13.5 million float👀 $axgt $tril $ktov $halo $regn $lly $abbv $tara $cytk $jnj ,607.0,0.0057034399165625275,0.0,0.858,0.142,0.7931983030621929
12.0,2020-10-07 22:50:18,"   Remdesivir from $GILD is a treatment, Given FDA emergency use approval May 1 for all to have access to for severe &amp;vulnerable cases of #SARSCoV2 #Covid19. But you are correct no approved #Vaccine yet. Im betting on $MRNA $JNJ $PFE $NVAX , wish I owned $REGN",206.0,0.0019355990491134766,0.142,0.6920000000000001,0.165,0.2965729373185376
13.0,2020-10-07 22:46:32,"  Treatment! And $GILD 's Remdesivir has been available to all since May 1 when it got FDA emergency approval . Also check out these other treatment &amp; #vaccine stocks Im long, $NVAX $MRNA $RLFTF $PGE $JNJ",206.0,0.0019355990491134766,0.068,0.8420000000000001,0.08900000000000001,0.20068770048953746
14.0,2020-10-07 22:46:13,$REGN up $19 $JNJ $MRNA $LLY $PFE  #covidstocks,618.0,0.005806797147340431,0.0,1.0,0.0,0.0
15.0,2020-10-07 22:42:51,$GILD -Its Remdesivir #SARSCoV2 #Covid19 therapy which got FDA emergency use approval May 1(for anyone to get) also given to   $NVAX $RLFTF $MRNA $JNJ $PFE,206.0,0.0019355990491134766,0.091,0.8009999999999999,0.10800000000000001,0.12824775667828653
16.0,2020-10-07 22:29:54," Hate the Trump admin all one likes, they did pre purchase #SARSCoV2 #Covid19 #vaccines &amp; therapy doses some in the millions from $GILD $NVAX $MRNA $JNJ $PFE And Remdesivir got FDA emergency use approval May 1(even Fauci likes it) ",206.0,0.0019355990491134766,0.129,0.6940000000000001,0.17800000000000002,0.3406581036766986
17.0,2020-10-07 22:28:59, Here is a summary for you!  -Regeneron x4 -China x4 -Ily Lilly x 2 -JnJ x 1 -Pfizer x1 -Moderna x 1  $REGN $LLY $JNJ $PFE $MRNA #China,38.0,0.00035705225177821417,0.0,0.81,0.19,0.6902463660537269
18.0,2020-10-07 22:21:11,72k+ members 👏💪 Do join     one of the largest stocks and  $INTC $JNJ $MGM $SBUX $SPY $NFLX $AMZN $SNAP $NVDA $TSLA $NDX $QQQ $AAPL $BABA $NFLX $ROKU $AMD $COST $MCD $WMT $FB $VIX $ES ,31.0,0.00029127946855591155,0.0,0.937,0.062,0.2960862187226925
19.0,2020-10-07 22:18:40," The Trump admin in all fairness pre purchased #vaccine &amp; therapy doses from $MRNA $ABT $PFE $GILD $NVAX $JNJ . And yes Remdesivir got FDA approval May 1 for anyone to get! See CNN link, ",206.0,0.0019355990491134766,0.0,0.836,0.16399999999999998,0.727705825589371
20.0,2020-10-07 22:18:21,"Trump sounds like a Penny Pumper calling out $JNJ $REGN lolol...  ""Phase 3 data coming out soon could be yuge!!""",3473.0,0.032632696590150986,0.0,0.846,0.154,0.4892613716444135
21.0,2020-10-07 22:11:38, $JNJ pump tomorrow thank you DTrizzle lol #spy #jnj #Pfizer #dtrizzle,393.0,0.0036926719723378468,0.0,0.629,0.371,0.6509950670412582
22.0,2020-10-07 22:08:37, He must've bought stock in $REGN $LLY $JNJ $MRNA,170.0,0.0015973390211130635,0.0,1.0,0.0,0.0
23.0,2020-10-07 22:03:48,$REGN $LLY $PFE $JNJ 🐂⛽️ ,392.0,0.003683275860448946,0.0,1.0,0.0,0.0
24.0,2020-10-07 22:02:41,$JNJ  Pot. cont. Uptrend INTRAWEEK 60m-15m-4m combo chart #Stocks #Trading ,747.0,0.007018895581008579,0.0,1.0,0.0,0.0
25.0,2020-10-07 22:02:05,$DXY  This isn't a Head+Shoulders Pattern  $gdx $gld $slv $f $ge $aapl $msft $dis $tsla $eur $amzn $bac $usdchf $gbpusd $ubs $ba $mrna $ibb $jnj $baba $fb $usdinr $twtr $gs $jpm $ms $jnj $pton $spx $spy $qqq $eurusd $usdjpy $xlf $uup $vix $gold #forex #forexsignals #forextrading ,53.0,0.0004979939301117198,0.0,1.0,0.0,0.0
27.0,2020-10-07 21:58:07,"#Johnson &amp; Johnson $JNJ Has A Neutral #Fundamental Analysis Score (FA Score). Check various FA Indicators' value, score, 5-year chart like P/E, P/B, P/S, D/E, ROE, ROA, ROIC, Gross Margin, EBITDA, etc #stocks #stock #StockMarket #Investment #investing  ",3988.0,0.03747169421293469,0.076,0.805,0.12,0.2098805237392767
28.0,2020-10-07 21:51:50,Scan results - Cup with Handle today: $ELF $NEOG $ABM $MRK $HLI $NAD $APG $AMT $VZ $RTRX $JNJ $LASR $XEL $SJM $AMGN $DRE $HDS $BBY $HLF $LVGO ... ,8604.0,0.08084414669209881,0.0,1.0,0.0,0.0
30.0,2020-10-07 21:32:50,INSTITENTION 10/7/2020 MAJOR INSTITENTION   LONG 20.   SHORT 6 Most likely we will leap tomorrow.  Phenomenal performances our  stocks $ups $fdx $nee $exc $jnj $mcd $pep   $spy $qqq  $tsla $bntx $amzn $aapl $orcl $wmt $msft $csco ,594.0,0.005581290462006822,0.0,1.0,0.0,0.0
31.0,2020-10-07 21:30:14,Weekly #UpsideReversal Mid-week Scan - Flag set on following stocks as of today This may change in next 2 days based on stock performance Most of them are #upcomingERStocks - $FUTU $NCNO $DXCM $BMY $GRVY $DT $PS $AMZN $BKNG $TSLA $PDD $MSFT $DIS $JNJ $CORT #stocks #stockstowatch ,57.0,0.0005355783776673212,0.0,1.0,0.0,0.0
