,timestamp,tweet_text,followers_count,scaled_followers_count,neg,neu,pos,compound
2,2020-10-07 23:55:00,$opti $aapl $boxl $fb $ibio $ino $gme $nio $optt $lca  $tsla $wkhs $spy $blnk $shll $wwr $idex $vxrt $sunw $ppsi $srne $nkla $novn $aal $msft $gild $xspa $spaq  $avgr  WE ALERTED $SPI at $5 RAN TO $32 (540% GAIN!)  Daily Alerts   $15 ONE TIME FEE!   BEAT THAT 👇👇 🚨LINK IN BIO🚨,4350,0.009232454092417929,0.0,1.0,0.0,0.0
3,2020-10-07 23:53:24,$FSLY working together with GCP will see GCP start to seriously compete in the Infrastructure-as-a-Service segment in the cloud. Everyone is focused on $MSFT Azure as it eats AWS market share but $GOOG is making solid moves to be a leader in next gen edge computing.,1628,0.003455272474127905,0.027999999999999997,0.86,0.111,0.4512538360316153
4,2020-10-07 23:53:16,**Most profitable trading community. Get up to 574% profits   $SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $NIO $INO $OXY $CCL $FB $USO $DAL $TWLO $UGAZ $DIS $ROKU $TVIX $CRON $DJIA $SPX $TLRY $SQ $MSFT $GLD $SRNE,132,0.00028015722763199226,0.0,0.871,0.129,0.7004961941065108
6,2020-10-07 23:52:00,"$IWM iShares Russell 2000 ETF Option Alert: Nov 20 $153 Puts Sweep (38) near the Ask: 3082  $4.432 vs 8780 OI; Ref=$160.32 [10/7/2020, 10:30:54 AM] [+$500k Sweeps Above Midpoint] Other Sweeps on: $MSFT $FEZ $SNAP $SPG $RPD $ELY $SPY $IWM $GE $SLV $STM $NVTA",770,0.0016342504945199548,0.0,0.951,0.049,0.2964837381463779
7,2020-10-07 23:50:05,I've  made 98k  with them . If you really want to make a huge profit on trading .... Choose this professional chat:    $TSLA $NKLA $ROKU $AAPL $JPM $AMZN $MSFT $ZM $FB $NVDA $DAL $AMD $RMTI $SLV $HSBC $BAC $CLSK $ILMN $QQQ $BA $UAL $AAL $TQQQ $MVIS $GOOG ,132,0.00028015722763199226,0.0,0.861,0.139,0.6998960260121742
8,2020-10-07 23:50:00,$opti $aapl $boxl  $fb $ibio $ino $gme $nio $shll $optt $lca $tsla $wkhs  $wwr $vxrt $blnk $sunw $ppsi $gild $srne $nkla $novn $aal $msft $xspa $spaq $avgr $spy $idex  WE ALERTED $SPI at $5 RAN TO $32 (540% GAIN!)  Daily Alerts   FREE TRIAL!  BEAT THAT  👇👇  🚨LINK IN BIO🚨,213,0.000452071890042533,0.0,0.912,0.08800000000000001,0.6828085390649539
9,2020-10-07 23:49:13,"Out the next two days, so here's the unusual weekly options expiring Friday to watch.  $AMZN 3205C 3170P $NFLX  500 510P 550C $FISV 105C $INTC 52P $FB 260 262.50 265C 257.50 255P $AMD 90C 86.50P $FCX 17P $RKT 22C $ZM 490C $LYFT 27C $MSFT 210C $BABA 292.50C 287.50P $PTON 120C",226,0.0004796631321578049,0.0,1.0,0.0,0.0
10,2020-10-07 23:47:27,"“Most winning trading community, Get next winning alerts here:   $SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $NIO $INO $OXY $CCL $FB $USO $DAL $TWLO $UGAZ $DIS $ROKU $TVIX $CRON $DJIA $SPX $TLRY $SQ $MSFT $GLD $BYND $SRNE $SPCE ",132,0.00028015722763199226,0.0,0.858,0.142,0.7785180463702659
14,2020-10-07 23:45:00,Become a profitable trader with best trading community..     $WWR $GRNQ $AAPL $SCHW $FCEL $OAS $NIO $NAKD $XLF $GE $PACD $AAL $SQQQ $SPY $TSLA $BAC $plug $rad $srac $jks $dphc $hyln $gpro $arkk $jd $crps $AMD $NNOX $AAL $INO $NKLA $WKHS $PTON $VXRT $MSFT ,8,1.697922591709044e-05,0.0,0.8490000000000001,0.151,0.7964135222555203
15,2020-10-07 23:44:11,"CHECK IT OUT !!  Day trading, options trading, swing trading  with entry,exit ⏬  🎯    ✅ ☑️  $SPY $ES $ADBE $AMZN $MSFT $AAL $ROKU $BABA $CRM $GOOGL $FB $INTU $MRVL $ATVI $TWTR $ORCL $LRCX $AMD $NVDA $TSLA $NDX $QQQ $AAPL $BABA $NFLX $ROKU $BA $COST $WM ",35,7.428411338727068e-05,0.0,1.0,0.0,0.0
