,timestamp,tweet_text,followers_count,scaled_followers_count,neg,neu,pos,compound
0,2020-10-07 23:54:44,"10/7/2020 Trade Review:  $AMD didn’t work out, next play: NEVER hold weeklys overnight  $BYND and $NKE again pushed or broke all time highs if you took them!   $AAPL $ZM and $SPCE all had great days, I expect more of the same  $NFLX crushed but i was out; Don’t focus on the past!",2,2.640577758413541e-05,0.07,0.8420000000000001,0.08800000000000001,0.25790681005003896
1,2020-10-07 23:49:06, $BLK $ABT $C $NVO $SHOP $BAC $NKE $WMT $HDB $AMGN $QCOM $SNY $DCUE $ABBV $ORCL $PG $AMD $SNE $TMUS $NEE $PYPL $MDT $CMCSA #money #robinhood ,4331,0.05718171135844523,0.0,1.0,0.0,0.0
2,2020-10-07 23:21:00,"$NKLA Nikola Option Alert: Oct 16 $40 Puts Sweep (3) near the Ask: 445  $14.7 vs 2563 OI; Earnings 11/9 Before Open [est] Ref=$25.43 [10/7/2020, 10:34:35 AM] [+$500k Sweeps Above Midpoint] Other Sweeps on: $TPR $USO $NVDA $NOMD $ROIC $XLP $WPM $CAR $AR $UNP $RDFN $NKE",770,0.01016622436989213,0.0,0.953,0.047,0.29900920241348805
3,2020-10-07 23:06:56,$NKE  new alert at   #stocks #daytrading  #NYSE #NASDAQ #market 1352,6489,0.08567354537172732,0.0,0.804,0.196,0.32135936943003124
4,2020-10-07 23:06:35,$NKE  new alert at   #stocks #daytrading  #NYSE #NASDAQ #market 1348,6489,0.08567354537172732,0.0,0.804,0.196,0.32135936943003124
5,2020-10-07 22:55:50,"NIKE, Inc. $NKE Chairman Mark G. Parker Sells 75,000 Shares  #stocks",7986,0.10543826989345267,0.0,0.82,0.18,0.327209727888462
6,2020-10-07 22:55:46,"NIKE, Inc. $NKE Insider Heidi O’neill Sells 30,000 Shares  #stocks",7986,0.10543826989345267,0.0,0.804,0.196,0.327209727888462
7,2020-10-07 22:53:06,I'm Paying A New Tax To Support $AMZN Son Of A $aapl $amzn $ba $bhc $brk $ko $ibm $pep $msft $nflx $tsla $goog $mcd $shak $crm $tst $dis $f $ge $gm $hlf $iep $ge $gm $tgt $kr $jpm $bac $c $ms $gs $dal $luv $ual $nke $sbux  $tst $abbv $pfe $mrk $googl $orcl ,131,0.0017295784317608693,0.0,0.9490000000000001,0.051,0.4025951175717247
8,2020-10-07 22:52:43,$NKE if it can break that double/triple top it will go crazy from here ,444,0.005862082623678061,0.14800000000000002,0.741,0.111,-0.15399748484968515
9,2020-10-07 22:50:00,Look At What's Near My House  $aapl $amzn $ba $bhc $brk $ko $ibm $pep $msft $nflx $tsla $goog $mcd $shak $crm $tst $dis $f $ge $gm $hlf $iep $ge $gm $tgt $kr $jpm $bac $c $ms $gs $dal $luv $ual $nke $sbux  $tst $abbv $pfe $mrk $googl $orcl  ,131,0.0017295784317608693,0.0,1.0,0.0,0.0
10,2020-10-07 22:48:50,"More retailing, consumer spending #stocks populate #IBD50 + Leaderboard + other key lists at   vs. months ago. Good! Very important for a recovery in US #GDP $COST $DG $FIVE $LOW $NKE $POOL $TGT $TSCO    ",3136,0.04140425925192432,0.0,0.846,0.154,0.6735802748841447
11,2020-10-07 22:14:11,$LOW moving on got my profit $NKE watching for buy zone $PZZA watching for buy zone,8,0.00010562311033654164,0.0,0.838,0.162,0.4404465164177922
12,2020-10-07 22:13:21,Stocks Closed Up As Billionaires Believe Stimulus Will Redistribute Wealth To Them  $aapl $amzn $ba $bhc $brk $ko $ibm $pep $msft $nflx $tsla $goog $mcd $shak $crm $tst $dis $ge $gm $hlf $iep $ge $gm $tgt $kr $jpm $bac $c $ms $gs $dal $luv $ual $nke $sbux  $tst $mrk $googl $orcl,131,0.0017295784317608693,0.0,0.94,0.06,0.4947542387874467
13,2020-10-07 21:59:31,Best crypto server with instant updates and alerts and free analysis join here :  $STORJ $EOS $ADA $XLM $TRS  $ZEC $TUSD $MOGX $ICX $ZRX $REP $BTM $BTS $SNI $ULT $NKE $UTX $VZ $WBA $WYNN $XLNX,49,0.0006469415508113175,0.0,0.762,0.23800000000000002,0.8663601219946924
14,2020-10-07 21:59:18,"Step 1, Step 2. Like they say over at $NKE JUST DO IT! ",216,0.0028518239790866237,0.0,0.8109999999999999,0.18899999999999997,0.4210974808888185
15,2020-10-07 21:49:18,"Heidi O'neill, PRES: CONSUMER AND MKTPLC of NIKE, INC. - $NKE sold 30000 shares to now own a total of 128833, anomalous of their normal trading pattern.  ",370,0.00488506885306505,0.0,0.9159999999999999,0.084,0.29744598038050724
16,2020-10-07 21:46:22,$NKE Heidi O'neill sells $3.9M Worth Of Nike Stock ,597,0.00788212460886442,0.0,0.8079999999999999,0.192,0.22808372479898606
19,2020-10-07 21:41:22,$NKE Mark Parker sells $9.6M Worth Of Nike Stock ,597,0.00788212460886442,0.0,0.8079999999999999,0.192,0.22808372479898606
20,2020-10-07 21:33:38,Need more $NKE since all my son wears is Nike,66,0.0008713906602764685,0.0,1.0,0.0,0.0
22,2020-10-07 21:12:58,"#FWSells $NKE O'NEILL HEIDI, PRES: CONSUMER AND MKTPLC of NIKE, Inc. sold 30000 shares on 2020-10-06. ",409,0.00539998151595569,0.0,0.872,0.128,0.2975983945287229
24,2020-10-07 21:10:49,"#FWSells $NKE PARKER MARK G, EXECUTIVE CHAIRMAN of NIKE, Inc. sold 75000 shares on 2020-10-05. ",409,0.00539998151595569,0.0,0.8640000000000001,0.136,0.2975983945287229
25,2020-10-07 21:02:18,$NKE  Nike - Update.. Strong. ,316,0.004172112858293393,0.0,0.47600000000000003,0.524,0.5127302808254447
26,2020-10-07 20:43:17,CONCENTRATION BUILDS WEALTH. DIVERSIFICATION PROTECTS IT. $tsla $nio $nerd $lit $aapl $nke ,60,0.0007921733275240622,0.0,0.589,0.41100000000000003,0.7891246286687527
27,2020-10-07 20:41:08,"Wednesday's Top Flow in #consumer discretionary sector, Buy Flow &amp; Sell Flow $AMZN $NFLX $MCD $NKE $SBUX $CCL $HD $DHI $DIS $TSCO $CMCSA $GM $JCI $WYNN $GRMN $F $BWA $LEN $RL $CMG #stock #stocks #StockMarket #Investment #investing #consumers  ",4581,0.06048243355646216,0.0,0.9540000000000001,0.046,0.21453559630847235
29,2020-10-07 20:33:18,Largest $Notional Buy On Close Order Imbalances $BA $AMT $GRUB $V $ELAN $MCD $CTVA $NKE $CRM $BABA ,5356,0.07071467237031462,0.0,1.0,0.0,0.0
30,2020-10-07 20:30:01,"FULL CONSUMER NOTE UP:  ""once a month we publish entire note to show what we bring on a daily basis. Thursdays focus is on the retail generals. $MELI $AMZN going toe to toe. $ETSY continues its steady ascent. $SBUX turning the corner?"" $NKE $DECK $WSM $HIBB ",10410,0.1374420723254248,0.0,1.0,0.0,0.0
31,2020-10-07 20:21:01,$NKE Below Avg Volume Daily appearances since 2010: 177 Close 5 days later ±: Avg: 0.43 SD: 2.30 Worst: -8.65 Best: 6.17  10 days later: Avg: 0.81 SD: 3.10 Worst: -10.86 Best: 10.54  30 days later: Avg: 1.94 SD: 7.16 Worst: -36.64 Best: 21.18,301,0.003974069526412379,0.19899999999999998,0.598,0.204,0.07750679816743904
32,2020-10-07 19:58:06,03:58:04 PM MAXR Automated Exit.  Closing my $NKE position of 200 shares that was opened today for a 1.13% gain.,200,0.002640577758413541,0.0,0.752,0.248,0.6825977053379279
33,2020-10-07 19:54:40,"Sold $NKE for $70 profit. Probably could’ve held, but being cautious. ",174,0.0022973026498197806,0.127,0.7170000000000001,0.155,0.0902067572384838
34,2020-10-07 19:26:38, $COST $T $AMD $V $PFE $TOT $CHTR $SHOP $BAC $MRK $CMCSA $AXP $PM $HD $NKE $ADBE $BA $TM $QCOM $IBM $RTX $BUD $JD #money #robinhood ,4331,0.05718171135844523,0.0,1.0,0.0,0.0
35,2020-10-07 19:20:31,$NKE ready to break ATH,143,0.0018880130972656816,0.0,0.615,0.385,0.3618819503307323
36,2020-10-07 19:14:15,$NKE slowly ramping up to test ATH...it has been a tease all day. Maybe this last hour 🚀,174,0.0022973026498197806,0.133,0.867,0.0,-0.3189310017031727
37,2020-10-07 19:12:10,$RMSL UNKNOWN #BIOTECH OVERSOLD!! MICROSCOPIC FLOAT💸📈 $IWM $BA $ADBE $CRM $CMG $BYND $CGC $CRON $ADSK $ADI $AUPH $ARWR $BBY $BOX $BMY $DE $CVNA $DKS $CCXI $TLT $GLD $KRE $SMH $LRCX $ROKU $FB $SHOP $TSLA $EXPE $BKNG $ADBE $UBER $SPLK $DIA $SCHW $MCD $JNJ $NKE $DLTR $WMT $TGT $HD ,113,0.0014919264335036507,0.0,1.0,0.0,0.0
38,2020-10-07 19:08:29,"$NKE Nike #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #UOA   ",3451,0.04556316922142565,0.0,0.875,0.125,0.47970438203879
39,2020-10-07 19:05:02,Current DOW 30 Earnings Reported: $NKE $WMT $HD $CSCO $DIS Source: Finscreener ,338,0.004462576411718884,0.0,1.0,0.0,0.0
40,2020-10-07 18:46:42,"AllStar Health Brands Inc., $ALST Announces Negotiations for Several QuikLAB Covid-19 Mobile Testing Units   $SPI $BSY $ACET $JKS $BOIL $AMWL $MNOV $NMTR $ACIU $SUNW $PRTY $PECK $UAA $ZSL $POAI $TTOO $TWTR $MBI $LSF $GDRX $NKE",30807,0.4067413950172298,0.0,1.0,0.0,0.0
43,2020-10-07 18:41:43,$PG $NKE $CCL all teetering back and forth around a higher dollar price. Hoping for a strong final hour to close these positions. ,174,0.0022973026498197806,0.0,0.757,0.243,0.7285699092961541
44,2020-10-07 18:39:44,"These are all my open contracts right now, number shown is my total return. $PG $NKE $CCL are bigger positions, everything else is pretty small. Will probably close those three today to protect cash. ",174,0.0022973026498197806,0.0,0.8140000000000001,0.18600000000000003,0.7285699092961541
45,2020-10-07 18:36:31,$BTDG featured in a sports stocks article along with $NKE! ,232,0.0030630701997597072,0.0,1.0,0.0,0.0
46,2020-10-07 18:34:55,Oregon state senator pumping the 🍄 $MMED up 23% today  $NKE ,322,0.004251330191045801,0.0,1.0,0.0,0.0
49,2020-10-07 18:06:22,I Doubt Donald Trump Tweeted This.   $aapl $amzn $ba $bhc $brk $ko $ibm $pep $msft $nflx $tsla $goog $mcd $shak $crm $tst $dis $f $ge $gm $hlf $iep $ge $gm $tgt $kr $jpm $bac $c $ms $gs $dal $luv $ual $nke $sbux  $tst $abbv $pfe $mrk $googl $orcl ,131,0.0017295784317608693,0.052000000000000005,0.948,0.0,-0.361824723729552
51,2020-10-07 17:46:03," $CTSH, $CVS, $DD, $EXAS, $EXPI, $HOLX, $NKE, $OSTK, $PGR, $PTCT    Moving",149,0.001967230430018088,0.0,1.0,0.0,0.0
54,2020-10-07 17:38:06,Discover The Amazing Secrets To A Ten Step Trading Strategy    $SPCE $PLL  $OXBR $INO $UBER $SRNE $PLUG $JKS $FSLY $NIO $NKE $COP,124,0.0016371582102163956,0.0,0.84,0.16,0.5868592109953658
55,2020-10-07 17:36:43,Top 100 #dividend #stocks that have at least 5 consecutive years of dividend increases.     $FSLY $JKS $BABA $PLUG $ASAN $PLTR $NKE $COP $WMT $TSLA $AMZN $PPSI $BA $NIO $AYX $TWTR,124,0.0016371582102163956,0.0,0.94,0.06,0.2026311971059268
56,2020-10-07 17:30:52, Or $NKE a Google 😂😂😂 - I suggest the price of the sport shoe to be the price / share 🤣,8978,0.11853553557518386,0.0,0.872,0.128,0.3310865185302544
57,2020-10-07 17:25:42, New SPAC idea right here. Tech companies disrupting footwear. Watch out $nke,621,0.008198993939874045,0.0,1.0,0.0,0.0
58,2020-10-07 17:09:29,$NKE #NKE Ascending triangle with a volume shelf starting to kick in.   ,75741,1.0,0.0,1.0,0.0,0.0
59,2020-10-07 17:02:27,Top 10 Buy Signals  $TSLA $NVDA  $MU $AMZN $MSFT $BABA $NFLX $ADBE #FF $AXP $IBM $CSCO $CVX $INTC $DD $DIS $MCD $MMM $PG $TRV $UNH $NKE $UTX $VZ $WBA $WYNN $XLNX $ACN $FB $NFLX $DLTR $EA $SPY $SPX $DJIA $HD $GS $BA $GDX $VZ $WDC $AMD $ADSK $V $CAT $JPM $AAPL $gold ,505,0.006667458839994191,0.0,0.966,0.034,0.20364882692333086
60,2020-10-07 16:58:59,"Markets rallying, we getting our stimulus $$$ now?   $SPY $MSFT $AMZN $FB $SBUX $JPM $CMG $JNJ $BABA $NKE $CCL $UNH $NVDA $DIS $VZ $TSLA $QQQ $MSI $WMT $NOW $NFLX $DECK $MELI $BKNG $PLNT $BA $CCL $WYNN $RCL $AAL $IGC",568,0.007499240833894456,0.0,1.0,0.0,0.0
61,2020-10-07 16:57:35,"$118ish $pton is worth more 33 $spwh (110 stores, some with curbside pick-up selling ~one billion a year) $nke $ua $golf $ely $addyy $skx",446,0.005888488401262196,0.0,0.9209999999999999,0.079,0.22763256492520564
62,2020-10-07 16:56:39," $NKE as an underrated ecommerce play  Sales -0.5% last Q (-35% for $ADDYY, -41% for $UAA)  Digital sales up 83% (still only ~30% of total) - lots will stick. Will translate to margin expansion  Brand will continue thriving in this new normal",5,6.601444396033853e-05,0.0,0.9420000000000001,0.057999999999999996,0.3400224449109466
63,2020-10-07 16:55:18,"small accounts can make money too fam', congrats to us on the Swings/DT. Don't get trapped by the ups and downs one trick is having a ""CASH ACCOUNT"" on Webull to get in and out as much aa you want, no BS💰 $FSLY $NIO $AMD $NVDA $SHOP $SQ $NKE $FB $GE $SDC  ",1903,0.02512509737130484,0.06,0.809,0.131,0.6375252980552145
64,2020-10-07 16:48:33,"#Lunchtime Market Update for 10/7/20!  Chart Requests: $SQ, $NKE, $CRM, $ZM Other Charts Reviewed: $SPX, $SPY, $ES_F, $MES_F, $QQQ, $IWM, $AAPL, $TSLA, $BA, $FB, $NFLX    #stocks #optionstrading #stockmarket #futurestrading #success #WednesdayVibes",13919,0.1837710090967904,0.0,1.0,0.0,0.0
65,2020-10-07 16:46:52,"OMG, and now $NFLX again, right after $DIS.   Maybe $NKE is next?  Or $TSLA?  LOL",288,0.0038024319721154994,0.0,0.782,0.218,0.6006753752921139
66,2020-10-07 16:10:08,"You can build a portfolio that pays you a dividend EVERY month  January, April, July, October $PM $MO $NKE $CSCO $JPM  February, May, August, November $LOW $SBUX $AAPL $VZ $T $AXP $MA $ABBV $BMY $CVS $CAT  March, June, September, December $TGT $HD $MCD $MSFT $QCOM $AVGO $XOM $JNJ",4974,0.06567116885174476,0.0,1.0,0.0,0.0
67,2020-10-07 15:51:13,So proud of $NKE,2908,0.03839400060733288,0.0,0.469,0.531,0.5457798867192141
68,2020-10-07 15:41:57," $CTSH, $EXAS, $EXPI, $LVGO, $NKE, $QDEL, $RL, $TDOC, $TEL    Moving",149,0.001967230430018088,0.0,1.0,0.0,0.0
69,2020-10-07 15:20:33,"$LEVI, $NKE both using Covid to take greater control of their distribution &amp; capture more margin. Life will get harder for almost all but the strongest retail partners. $KSS $M $DDS",7991,0.10550428433741303,0.0,0.838,0.162,0.7526273167769107
70,2020-10-07 15:19:13,#US Stocks: Semiconductor $INTC +2.5%. Sportswear $NKE +1.9%. Airline $SAVE +2.6%. Pharma $LLY +3.2%. Auto $GM +2.8%. Chemical $CE +4.8%. Financial svc $AMP +2.5%. Gold $RGLD +1.2%. Retail $HD +1.6%. Hospitality $H +3%. Entertain $SIRI +4.5%. Cruise $NCLH +3.6%.,3418,0.04512747389128741,0.0,0.943,0.057,0.3325595621922077
71,2020-10-07 15:06:00,McDonald's With A V Shape Recovery   $aapl $amzn $ba $bhc $brk $ko $ibm $pep $msft $nflx $tsla $goog $mcd $shak $crm $tst $dis $f $ge $gm $hlf $iep $ge $gm $tgt $kr $jpm $bac $c $ms $gs $dal $luv $ual $nke $sbux  $tst $abbv $pfe $mrk $googl $orcl ,131,0.0017295784317608693,0.0,1.0,0.0,0.0
