,Values
RMSE - Baseline,0.7057503789759005
R2 - Baseline,0.8994792376748764
Linear RMSE - Baseline,0.2741470824284729
Linear R2 - Baseline,-0.009041460152936498
SGD RMSE - Baseline,8239273883060.023
SGD R2 - Baseline,-9.114222648684895e+26
Linear RMSE - Only Headlines,0.14266149372644354
Linear R2 - Only Headlines,0.7267530717621553
SGD RMSE - Only Headlines,14334262253013.426
SGD R2 - Only Headlines,-2.758623593424949e+27
Linear RMSE - Only Twitter,0.9383450206388304
Linear R2 - Only Twitter,-8.657471879339178
SGD RMSE - Only Twitter,13443151407515.066
SGD R2 - Only Twitter,-1.982168292959517e+27
Linear RMSE - All,0.7081966857187418
Linear R2 - All,-4.501056743301449
SGD RMSE - All,10747492381901.354
SGD R2 - All,-1.2669300484489255e+27
XGB RMSE - All,0.48956655276623073
XGB R2 - All,-1.6288258882831625
RF RMSE - All,1.0425329900927154
RF R2 - All,-10.921144665570655
