,Values
RMSE - Baseline,18.349880102468237
R2 - Baseline,0.8786775948751061
Linear RMSE - Baseline,4.066521739408099
Linear R2 - Baseline,0.05416757612510048
SGD RMSE - Baseline,5457077715545837.0
SGD R2 - Baseline,-1.7032887525163903e+30
Linear RMSE - Only Headlines,5.757551105739211
Linear R2 - Only Headlines,-0.8960230132058262
SGD RMSE - Only Headlines,5457078498536904.0
SGD R2 - Only Headlines,-1.7032892412981313e+30
Linear RMSE - Only Twitter,22.67409874885748
Linear R2 - Only Twitter,-8.444230821538289
SGD RMSE - Only Twitter,9046867309013236.0
SGD R2 - Only Twitter,-1.5034983871074738e+30
Linear RMSE - All,20.409819780869093
Linear R2 - All,-6.652174502912478
SGD RMSE - All,9046872809962020.0
SGD R2 - All,-1.503500215512789e+30
XGB RMSE - All,15.773674406225245
XGB R2 - All,-3.5705900470179666
RF RMSE - All,43.614935898299535
RF R2 - All,-33.94435289166723
