,Values
RMSE - Baseline,1.25644290431457
R2 - Baseline,0.8183595281281402
Linear RMSE - Only Headlines,0.1476940249507223
Linear R2 - Only Headlines,-7.668564789190496
SGD RMSE - Only Headlines,139652394485439.25
SGD R2 - Only Headlines,-7.750292984785329e+30
Linear RMSE - Only Twitter,0.3561097790431611
Linear R2 - Only Twitter,-49.39519699482486
SGD RMSE - Only Twitter,139662616830493.44
SGD R2 - Only Twitter,-7.751427645871114e+30
Linear RMSE - All,0.2195916516668721
Linear R2 - All,-18.162536627887725
SGD RMSE - All,139655816729566.45
SGD R2 - All,-7.750672838202562e+30
XGB RMSE - All,0.6085434006670145
XGB R2 - All,-146.16497520443968
RF RMSE - All,0.4421040342900904
RF R2 - All,-76.67304004084558
