,Values
RMSE - Baseline,6.591213251782933
R2 - Baseline,0.8099922703990887
Linear RMSE - Only Headlines,1.0812310263816973
Linear R2 - Only Headlines,-21.0185292369459
SGD RMSE - Only Headlines,561782197760544.75
SGD R2 - Only Headlines,-5.944115681146602e+30
Linear RMSE - Only Twitter,0.7573872056238016
Linear R2 - Only Twitter,-9.804066187366782
SGD RMSE - Only Twitter,561782925938455.44
SGD R2 - Only Twitter,-5.94413109059375e+30
Linear RMSE - All,0.7292035922998072
Linear R2 - All,-9.01495278565093
SGD RMSE - All,561781813199359.8
SGD R2 - All,-5.944107543204899e+30
XGB RMSE - All,3.212712169510769
XGB R2 - All,-193.3994106637713
RF RMSE - All,4.478123085341961
RF R2 - All,-376.6968475938606
