,Values
RMSE - Baseline,2.5594108683173364
R2 - Baseline,0.7959759837945254
Linear RMSE - Baseline,1.5182058907237297
Linear R2 - Baseline,-28.11201509544449
SGD RMSE - Baseline,632896598857950.6
SGD R2 - Baseline,-5.05913708036433e+30
Linear RMSE - Only Headlines,1.7234891516690614
Linear R2 - Only Headlines,-36.51699381400297
SGD RMSE - Only Headlines,720688588039479.6
SGD R2 - Only Headlines,-6.560035864278121e+30
Linear RMSE - Only Twitter,1.5337283611059465
Linear R2 - Only Twitter,-28.7103535792515
SGD RMSE - Only Twitter,680332272714371.8
SGD R2 - Only Twitter,-5.845922711716148e+30
Linear RMSE - All,1.7987497708775981
Linear R2 - All,-39.865086888284374
SGD RMSE - All,581937987278551.1
SGD R2 - All,-4.2772470820535653e+30
XGB RMSE - All,9.21615754986879
XGB R2 - All,-1071.7800886615212
RF RMSE - All,6.016984682744853
RF R2 - All,-456.26581535504545
