,Values
RMSE - Baseline,6.213040759078192
R2 - Baseline,0.8142633268034878
Linear RMSE - Baseline,2.0802275819495883
Linear R2 - Baseline,-57.03733802620571
SGD RMSE - Baseline,92986266604423.72
SGD R2 - Baseline,-1.1596405842323117e+29
Linear RMSE - Only Headlines,1.9996919617476163
Linear R2 - Only Headlines,-52.63051723111896
SGD RMSE - Only Headlines,91942297390159.02
SGD R2 - Only Headlines,-1.133747876276304e+29
Linear RMSE - Only Twitter,1.073134557025613
Linear R2 - Only Twitter,-14.445221617420156
SGD RMSE - Only Twitter,237563960031220.1
SGD R2 - Only Twitter,-7.569146235782614e+29
Linear RMSE - All,1.1071974276958376
Linear R2 - All,-15.441291147478324
SGD RMSE - All,237563960031220.1
SGD R2 - All,-7.569146235782614e+29
XGB RMSE - All,2.3216544675351773
XGB R2 - All,-71.29045393822605
RF RMSE - All,2.025458425309702
RF R2 - All,-54.02150307661724
