,Values
RMSE - Baseline,0.6635230306245858
R2 - Baseline,0.9456109876626441
Linear RMSE - Baseline,0.640455161442262
Linear R2 - Baseline,-2.061290317001778
SGD RMSE - Baseline,21294232279807.07
SGD R2 - Baseline,-3.3841611228606815e+27
Linear RMSE - Only Headlines,0.09795312085091343
Linear R2 - Only Headlines,0.8711814787488872
SGD RMSE - Only Headlines,21864152565521.13
SGD R2 - Only Headlines,-6.41810847239155e+27
XGB RMSE - Only Headlines,1.670813675344718
XGB R2 - Only Headlines,-36.479845934882164
SVR RMSE - Only Headlines,0.030715943739423237
SVR R2 - Only Headlines,0.9873331250998184
Linear RMSE - Only Twitter,0.7716614234158465
Linear R2 - Only Twitter,-3.4440674031344454
SGD RMSE - Only Twitter,19334984596457.656
SGD R2 - Only Twitter,-2.7900675539138853e+27
XGB RMSE - Only Twitter,1.03351509316574
XGB R2 - Only Twitter,-6.971879115045189
SVR RMSE - Only Twitter,0.6761401999229094
SVR R2 - Only Twitter,-2.411933619385808
Linear RMSE - All,0.16283782389101914
Linear R2 - All,0.6439980847030701
SGD RMSE - All,10619033477797.17
SGD R2 - All,-1.513950704712305e+27
XGB RMSE - All,0.1972646082267272
XGB R2 - All,0.47755557025782003
RF RMSE - All,0.5994921414097376
RF R2 - All,-3.8251269406387616
SVR RMSE - All,0.01993767665597167
SVR R2 - All,0.994663078050984
