,Values
RMSE - Baseline,18.349880102468237
R2 - Baseline,0.8786775948751061
Linear RMSE - Baseline,4.066521739408099
Linear R2 - Baseline,0.05416757612510048
SGD RMSE - Baseline,5457077715545837.0
SGD R2 - Baseline,-1.7032887525163903e+30
Linear RMSE - Only Headlines,6.516742708853916
Linear R2 - Only Headlines,-1.4290091489716068
SGD RMSE - Only Headlines,5775395426651272.0
SGD R2 - Only Headlines,-1.9077938761991377e+30
XGB RMSE - Only Headlines,39.99963524001424
XGB R2 - Only Headlines,-90.51242483152416
Linear RMSE - Only Twitter,8.126768106187425
Linear R2 - Only Twitter,-2.7774935914106584
SGD RMSE - Only Twitter,5457079752098704.0
SGD R2 - Only Twitter,-1.7032900238335386e+30
XGB RMSE - Only Twitter,45.79756608686911
XGB R2 - Only Twitter,-118.96451352531436
Linear RMSE - All,10.758013099623737
Linear R2 - All,-5.619605966186891
SGD RMSE - All,5775397626101421.0
SGD R2 - All,-1.9077953292938664e+30
XGB RMSE - All,49.41722054322546
XGB R2 - All,-138.67691397456147
RF RMSE - All,31.727382429109305
RF R2 - All,-56.575336919363394
