,Values
RMSE - Baseline,0.5700960697835048
R2 - Baseline,0.6861012568191269
Linear RMSE - Baseline,0.1400482191311587
Linear R2 - Baseline,-1.5236193073373347
SGD RMSE - Baseline,5279902547929.059
SGD R2 - Baseline,-3.586909948462283e+27
Linear RMSE - Only Headlines,0.3788460745678623
Linear R2 - Only Headlines,-2.9476861098619
SGD RMSE - Only Headlines,14281369969993.822
SGD R2 - Only Headlines,-5.609921321129556e+27
XGB RMSE - Only Headlines,0.608515560244181
XGB R2 - Only Headlines,-9.184985292973346
Linear RMSE - Only Twitter,0.10012906862097709
Linear R2 - Only Twitter,-0.28999792881742703
SGD RMSE - Only Twitter,17763950451177.41
SGD R2 - Only Twitter,-4.0602031736059954e+28
XGB RMSE - Only Twitter,0.25160826004521
XGB R2 - Only Twitter,-7.145513147133082
Linear RMSE - All,0.3950166396347811
Linear R2 - All,-3.2918823712262997
SGD RMSE - All,13228428862953.312
SGD R2 - All,-4.8131961726065705e+27
XGB RMSE - All,0.6465543172521598
XGB R2 - All,-10.498125967096179
RF RMSE - All,0.391695294995726
RF R2 - All,-3.2200125257143917
