,Values
RMSE - Baseline,1.2858035568411175
R2 - Baseline,0.936880579234946
Linear RMSE - Baseline,2.8331052616861494
Linear R2 - Baseline,-13.374302725516264
SGD RMSE - Baseline,117620258872047.27
SGD R2 - Baseline,-2.4775682529144824e+28
Linear RMSE - Only Headlines,0.1726172495054443
Linear R2 - Only Headlines,-10.841036829609413
SGD RMSE - Only Headlines,139654653674606.1
SGD R2 - Only Headlines,-7.750543743386959e+30
XGB RMSE - Only Headlines,1.2765851872291
XGB R2 - Only Headlines,-646.6210389831496
SVR RMSE - Only Headlines,0.22587284828719298
SVR R2 - Only Headlines,-19.274465060767724
Linear RMSE - Only Twitter,3.561616950686327
Linear R2 - Only Twitter,-21.717251430975576
SGD RMSE - Only Twitter,11719421927610.266
SGD R2 - Only Twitter,-2.4596524531146665e+26
XGB RMSE - Only Twitter,3.0563329514385194
XGB R2 - Only Twitter,-15.728719265925612
SVR RMSE - Only Twitter,1.2413751233415569
SVR R2 - Only Twitter,-1.7597353825110686
Linear RMSE - All,1.1029563198319146
Linear R2 - All,-482.4348718837184
SGD RMSE - All,139651585041474.86
SGD R2 - All,-7.750203141575392e+30
XGB RMSE - All,2.6290834205192697
XGB R2 - All,-2745.819237220272
RF RMSE - All,0.6148510938068912
RF R2 - All,-149.2315843500112
SVR RMSE - All,0.5321966185081579
SVR R2 - All,-111.55520128981065
