,Values
RMSE - Baseline,6.196272048224226
R2 - Baseline,0.9297751733755807
Linear RMSE - Baseline,2.888092311720429
Linear R2 - Baseline,-2.142148535773935
SGD RMSE - Baseline,5954753356576402.0
SGD R2 - Baseline,-1.3357713554398562e+31
Linear RMSE - Only Headlines,1.8694232683992649
Linear R2 - Only Headlines,-64.82132116852539
SGD RMSE - Only Headlines,561782824665327.1
SGD R2 - Only Headlines,-5.94412894748591e+30
XGB RMSE - Only Headlines,10.003262522585432
XGB R2 - Only Headlines,-1883.6670603932114
SVR RMSE - Only Headlines,1.7116157287806355
SVR R2 - Only Headlines,-54.17773191097746
Linear RMSE - Only Twitter,3.115848840585544
Linear R2 - Only Twitter,-2.657272592762651
SGD RMSE - Only Twitter,6023598540806020.0
SGD R2 - Only Twitter,-1.36683663057167e+31
XGB RMSE - Only Twitter,13.655228802495419
XGB R2 - Only Twitter,-69.24291616624396
SVR RMSE - Only Twitter,4.128893986584549
SVR R2 - Only Twitter,-5.422025630253011
Linear RMSE - All,2.6892333853663666
Linear R2 - All,-135.20978127934174
SGD RMSE - All,561783074240871.75
SGD R2 - All,-5.944134228920243e+30
XGB RMSE - All,12.424163844807968
XGB R2 - All,-2906.2718779708407
RF RMSE - All,7.093668080482226
RF R2 - All,-946.7483442726233
SVR RMSE - All,1.8562161778614996
SVR R2 - All,-63.894578230123685
