,Values
RMSE - Baseline,1.5385422131948554
R2 - Baseline,0.8618815728497335
Linear RMSE - Baseline,0.35047309585064135
Linear R2 - Baseline,-1.5983889900192225
SGD RMSE - Baseline,45387332384517.95
SGD R2 - Baseline,-4.357768083630952e+28
Linear RMSE - Only Headlines,0.8312148338465742
Linear R2 - Only Headlines,-9.76662365366623
SGD RMSE - Only Headlines,134423782299293.75
SGD R2 - Only Headlines,-2.8158219147853158e+29
XGB RMSE - Only Headlines,3.241915349341137
XGB R2 - Only Headlines,-162.77827925287238
SVR RMSE - Only Headlines,0.3567997058074181
SVR R2 - Only Headlines,-0.983818508345834
Linear RMSE - Only Twitter,0.37269615759771624
Linear R2 - Only Twitter,-1.9383574624175242
SGD RMSE - Only Twitter,8270236093646.874
SGD R2 - Only Twitter,-1.4468736685016172e+27
XGB RMSE - Only Twitter,0.7809596164281958
XGB R2 - Only Twitter,-11.901848908744409
SVR RMSE - Only Twitter,0.3687186640863928
SVR R2 - Only Twitter,-1.8759745651067061
Linear RMSE - All,1.1057665269195813
Linear R2 - All,-18.05372271595718
SGD RMSE - All,16375579945531.053
SGD R2 - All,-4.178749539254656e+27
XGB RMSE - All,3.629746213819415
XGB R2 - All,-204.30781657442728
RF RMSE - All,0.5315939496115321
RF R2 - All,-3.4036523022149723
SVR RMSE - All,0.23773670344291892
SVR R2 - All,0.11926463539118792
