,Values
RMSE - Baseline,0.5127573423305293
R2 - Baseline,0.8854607676599924
Linear RMSE - Baseline,0.5508095832769315
Linear R2 - Baseline,-1.5194498341511937
SGD RMSE - Baseline,18686247947750.734
SGD R2 - Baseline,-2.8996591764608847e+27
Linear RMSE - Only Headlines,0.32525216009490754
Linear R2 - Only Headlines,-0.6675607280283307
SGD RMSE - Only Headlines,14056558388132.07
SGD R2 - Only Headlines,-3.1145785011015164e+27
XGB RMSE - Only Headlines,0.29485759945210654
XGB R2 - Only Headlines,-0.37045863170472115
SVR RMSE - Only Headlines,0.2812038645706342
SVR R2 - Only Headlines,-0.24647579484674886
Linear RMSE - Only Twitter,0.5370728822388524
Linear R2 - Only Twitter,-1.395351153821848
SGD RMSE - Only Twitter,45717623451577.48
SGD R2 - Only Twitter,-1.735681491864e+28
XGB RMSE - Only Twitter,0.6947344621243695
XGB R2 - Only Twitter,-3.0081173174688276
SVR RMSE - Only Twitter,0.5410406092948685
SVR R2 - Only Twitter,-1.4308741026053409
Linear RMSE - All,0.13150769628531864
Linear R2 - All,0.7273888469872889
SGD RMSE - All,7942878946218.745
SGD R2 - All,-9.944825501160938e+26
XGB RMSE - All,0.4679454833505387
XGB R2 - All,-2.4516901183621655
RF RMSE - All,0.2354573183487397
RF R2 - All,0.12609209739268912
SVR RMSE - All,0.1916820678821954
SVR R2 - All,0.420832409164418
