,Values
RMSE - Baseline,0.9593981744500215
R2 - Baseline,0.8835652931991671
Linear RMSE - Baseline,0.9316079451773722
Linear R2 - Baseline,-2.734155693620781
SGD RMSE - Baseline,74558427157084.25
SGD R2 - Baseline,-2.39177063653154e+28
Linear RMSE - Only Headlines,0.837950792035534
Linear R2 - Only Headlines,-48.60059104132252
SGD RMSE - Only Headlines,113456718588108.84
SGD R2 - Only Headlines,-9.093064199824913e+29
XGB RMSE - Only Headlines,2.1663013980404164
XGB R2 - Only Headlines,-330.5030892906561
SVR RMSE - Only Headlines,0.7061817828425676
SVR R2 - Only Headlines,-34.227582447078284
Linear RMSE - Only Twitter,0.9271914757834322
Linear R2 - Only Twitter,-2.698834627165452
SGD RMSE - Only Twitter,18969720056668.426
SGD R2 - Only Twitter,-1.548274275123605e+27
XGB RMSE - Only Twitter,0.9007765429663414
XGB R2 - Only Twitter,-2.491083132067884
SVR RMSE - Only Twitter,0.9289197426059419
SVR R2 - Only Twitter,-2.7126365896533198
Linear RMSE - All,1.1028771450151273
Linear R2 - All,-84.92194386948186
SGD RMSE - All,113429608448800.36
SGD R2 - All,-9.088719198694077e+29
XGB RMSE - All,2.803546644181791
XGB R2 - All,-554.2203712604846
RF RMSE - All,0.4144325627102019
RF R2 - All,-11.132702894691718
SVR RMSE - All,0.7599611772316643
SVR R2 - All,-39.79741381499542
