,Values
RMSE - Baseline,2.411664951538662
R2 - Baseline,0.9407156239543236
Linear RMSE - Baseline,2.3925360161166163
Linear R2 - Baseline,-9.989707215205463
SGD RMSE - Baseline,654462636212168.4
SGD R2 - Baseline,-8.223162426294148e+29
Linear RMSE - Only Headlines,1.696797463171569
Linear R2 - Only Headlines,-30.631685261081497
SGD RMSE - Only Headlines,548013965574293.94
SGD R2 - Only Headlines,-3.299480535154279e+30
XGB RMSE - Only Headlines,5.59627069975654
XGB R2 - Only Headlines,-343.08025060779767
Linear RMSE - Only Twitter,2.5610652879967555
Linear R2 - Only Twitter,-11.592456336090107
SGD RMSE - Only Twitter,676133643245176.0
SGD R2 - Only Twitter,-8.77676047635288e+29
XGB RMSE - Only Twitter,3.514585802082448
XGB R2 - Only Twitter,-22.714690138998677
Linear RMSE - All,1.7365544590424127
Linear R2 - All,-32.13135006957655
SGD RMSE - All,14068550414900.947
SGD R2 - All,-2.174508054887298e+27
XGB RMSE - All,5.499355617161417
XGB R2 - All,-331.26601818655075
RF RMSE - All,6.548793474187158
RF R2 - All,-470.1778947144564
