,Values
RMSE - Baseline,0.70430350909911
R2 - Baseline,0.7040645677226971
Linear RMSE - Baseline,0.3522818767940543
Linear R2 - Baseline,-1.972122098372025
SGD RMSE - Baseline,7866399900023.273
SGD R2 - Baseline,-1.4819654721637818e+27
Linear RMSE - Only Headlines,0.5259906398692277
Linear R2 - Only Headlines,-0.493556982712138
SGD RMSE - Only Headlines,3748435897955.818
SGD R2 - Only Headlines,-7.585180880195278e+25
XGB RMSE - Only Headlines,0.493992485448513
XGB R2 - Only Headlines,-0.31736599845126934
SVR RMSE - Only Headlines,0.5437633469986674
SVR R2 - Only Headlines,-0.5961938204810562
Linear RMSE - Only Twitter,0.3817359419198715
Linear R2 - Only Twitter,-2.4898932978435653
SGD RMSE - Only Twitter,11613205266565.885
SGD R2 - Only Twitter,-3.229908718480237e+27
XGB RMSE - Only Twitter,0.47424595501429095
XGB R2 - Only Twitter,-4.386334430629894
SVR RMSE - Only Twitter,0.34873533396519213
SVR R2 - Only Twitter,-1.912580576167774
Linear RMSE - All,0.6287150198161209
Linear R2 - All,-1.1338969181785714
SGD RMSE - All,3383267410254.0767
SGD R2 - All,-6.179287696546451e+25
XGB RMSE - All,0.5179742500777992
XGB R2 - All,-0.44837862037694154
RF RMSE - All,0.8341096780369083
RF R2 - All,-2.7558832630798165
SVR RMSE - All,0.5285384519788822
SVR R2 - All,-0.5080611141837712
